Ticker,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
OTEX,23.703032,2.4899726,169.087,,943804480.0
TLT,-4528.0,0.6083364,,,
IUSV,22.299932,1.4071629,,,
LSCC,314.08694,14.370399,3.187,,136467248.0
BPYPP,6.789617,0.69855696,131.69,,953124992.0
NVMI,44.981686,8.965923,19.083,,140873632.0
MDGL,-30.835243,13.743495,17.809,,-219782000.0
PEGA,45.21311,15.112329,12.652,,463842752.0
MNDY,242.76001,7.871596,10.585,,247737376.0
FYBR,-55.17647,1.9725567,249.317,,-727875008.0
IDCC,25.854403,8.665112,44.867,,202142880.0
FIGR,148.54999,5.5768986,181.844,,
TECH,129.78261,4.821515,23.142,,313920256.0
MORN,23.491491,5.7686987,64.045,,438262496.0
ALGN,21.72804,2.3829198,3.144,,676427136.0
RGC,,1340.7142,0.0,,
RVMD,-12.162962,4.935377,7.119,,-396289984.0
MKSI,34.3038,3.5666342,183.98,,590750016.0
DOX,16.765182,2.6001508,23.654,,563537280.0
PPC,7.3066278,2.4083195,89.674,,976718720.0
CPB,15.047761,2.309913,184.734,,718875008.0
LBRDA,8.07124,0.8444211,32.802,,14500000.0
LBRDK,8.096306,0.8470435,32.802,,14500000.0
UMBF,13.148357,1.2810893,,,
AGNCM,,2.966272,669.943,,
AGNCN,,3.0690937,669.943,,
TTAN,97.88867,5.860446,10.64,,99254128.0
XP,10.057575,0.3926695,774.535,,
CAI,133.86737,19.39789,92.51,,
NTSK,,-1.492866,,,
TTEK,41.1875,4.9698343,61.514,,464584256.0
MMYT,105.49418,184.77597,2202.765,,99894000.0
WTFC,12.077505,1.3389218,,,
SOUN,-104.325,23.523111,1.22,,-4846250.0
FSV,59.955128,6.7925487,90.421,,207091248.0
RGEN,84.49438,4.1035714,33.276,,155349376.0
MARA,12.422043,1.747202,55.154,,201091376.0
SFD,10.233334,1.3407786,36.511,,
AAON,70.90136,10.201136,8.581,,-207260256.0
FIVE,30.608082,4.3808007,105.84,,273983264.0
ONB,12.666668,1.0559746,,,
GRFS,18.7451,1.2585572,126.869,,718491904.0
DSGX,57.121304,5.5308237,0.532,,219507872.0
QRVO,105.31176,2.4168422,45.073,,690428096.0
TSEM,42.488506,2.9793665,6.347,,-89548128.0
APA,8.00173,1.4050064,67.565,,2051250048.0
CORT,70.66965,13.106475,1.039,,166875872.0
PCTY,37.19776,6.710721,14.09,,345396000.0
LLYVA,47.05914,-15.739975,,,
LLYVK,48.47312,-16.212912,,,
BPOP,11.723301,1.3829397,,,
RIOT,-65.0147,2.436081,26.382,,-107555752.0
AAL,14.791073,-2.1184144,,,579500032.0
NICE,15.376491,2.146653,14.446,,532428128.0
LYFT,86.652176,11.184063,110.448,,969000512.0
JAZZ,6.2634506,2.2093878,146.588,,1356260480.0
SRAD,70.512825,29.60172,5.532,,200089744.0
APPF,41.066906,17.869228,8.701,,175103632.0
STEP,29.375565,33.122448,22.509,,1390065536.0
GH,-23.97417,-26.475143,,,-131174000.0
CIFR,31.760302,10.827376,25.275,,-303886112.0
HQY,56.689392,3.7660546,49.153,,288232512.0
MASI,31.771553,7.679725,61.584,,92862496.0
SAIA,27.675602,3.2645433,18.237,,-273304000.0
ZION,9.813795,1.2156328,,,
CIGI,69.9148,5.7187395,91.508,,284332640.0
MTCH,16.19307,-34.25131,,,823294272.0
TIGO,8.307624,2.212751,227.387,,1617250048.0
CFLT,64.85715,7.3391533,104.145,,174882128.0
COLB,10.363095,1.0276641,,,
DBX,17.71779,-5.9156084,,,835337472.0
IESC,30.221884,10.035824,8.836,,198331744.0
OLLI,36.662792,4.3310437,37.268,,76940872.0
HALO,15.135012,23.379286,462.233,,429682880.0
HSIC,20.379423,2.2425873,68.545,,333249984.0
LKQ,10.881387,1.1769699,90.494,,526124992.0
CGNX,62.861107,5.0457077,5.523,,166527632.0
CBSH,13.833334,2.1029634,,,
VFS,-4.2246757,-4.2269567e-05,,,-65802942283776.0
CVLT,95.21667,20.913973,8.476,,265180496.0
LIF,255.71053,61.616993,84.504,,21341500.0
PONY,-36.275238,9.184996,1.938,,-6420500.0
SITM,200.72069,6.8761077,0.477,,15738375.0
AMKR,25.19672,1.8099388,42.843,,344286240.0
CYTK,-11.581633,-20.248135,,,-292199616.0
WIX,48.051422,-64.1292,,,484327616.0
RNA,-16.765676,5.144304,0.431,,-259114752.0
ABVX,-31.589405,-125.361374,,,-88009752.0
GTLB,68.765625,8.466718,0.044,,52223876.0
SIRI,7.04886,0.6436645,92.162,,931124992.0
CHYM,-68.97051,5.101168,6.153,,
MRUS,-24.333334,8.519616,1.307,,-179212752.0
RYTM,-40.387638,-579.75806,85.327,,-33768376.0
FCFS,24.575123,3.311256,94.521,,576169856.0
WING,41.998333,-10.24016,,,59061876.0
AEIS,82.51102,5.6161923,54.681,,130742752.0
BOKF,13.132775,1.1855347,,,
WAY,66.44545,2.0056527,39.598,,299248864.0
SANM,27.882229,3.024974,14.732,,260805248.0
PNFP,11.849734,1.0671345,,,
QMMM,,525.9912,1.606,,-6274201.0
VRNS,196.29031,19.96391,220.691,,215856256.0
HLNE,23.24521,6.956372,37.92,,197093872.0
OLED,27.801758,3.946245,1.274,,103100248.0
MIDD,16.930027,1.8880266,66.337,,414878112.0
ROAD,86.67883,7.788928,176.006,,99696624.0
LNW,20.060759,9.481871,698.718,,378124992.0
LCID,-24.545456,2.7565086,64.158,,-2090154112.0
LFUS,61.633415,2.5334277,34.504,,308591360.0
EXLS,28.062067,6.2065277,32.328,,229935504.0
NUVL,-21.137383,6.8681507,0.0,,-121000128.0
GDS,154.56819,0.26144823,186.785,,-824753600.0
CRSP,-14.373016,3.7413492,12.591,,-239332128.0
WULF,156.9,37.092197,287.313,,-205312496.0
MKTX,28.925926,4.6377673,4.944,,359472128.0
AXSM,-59.893513,88.186775,297.375,,-33846500.0
CLSK,26.918604,3.030898,38.215,,-334503008.0
LEGN,-50.835823,6.0702195,37.46,,-259179872.0
CRUS,19.126959,3.2440119,7.323,,332173376.0
CHDN,15.116581,5.898706,478.733,,125600000.0
URBN,13.292157,2.3564377,45.735,,311148736.0
CCCS,inf,2.8508506,51.588,,255386624.0
ITRI,22.67607,3.758571,77.851,,246806368.0
SMTC,110.04762,10.880414,98.744,,126297248.0
LOPE,26.002424,7.689716,13.861,,205498368.0
CORZ,63.967743,-5.646355,,,-73454624.0
RRR,19.993174,16.896452,1149.62,,159793504.0
TTMI,64.51685,3.6238558,62.777,,-44177500.0
NXST,10.187043,2.620065,295.789,,1474249984.0
VLY,13.423078,0.81238365,,,
GGAL,4.87211,0.00781769,,,
RDNT,101.42667,6.124799,156.119,,143317744.0
PCVX,-9.41189,1.8737056,2.795,,-368423616.0
PI,inf,30.556416,155.79,,24460124.0
MAT,11.571428,2.6443093,123.473,,554698368.0
GLBE,1691.0,6.3167725,2.711,,176374000.0
GNTX,14.771187,2.3617887,0.532,,190359936.0
IRTC,-97.04891,55.301952,708.802,,47564876.0
BULL,77.5,7.4855123,15.015,,
OZK,8.173701,1.0153257,,,
CAMT,45.53125,9.034505,32.033,,44249248.0
GSAT,4458.5,15.64935,150.441,,-303579872.0
HUT,38.19231,4.501731,26.073,,-25400250.0
BRKR,71.230774,3.114961,132.746,,223200000.0
KRYS,38.916756,5.333137,0.93,,119934872.0
MTSR,-15.392701,12.30913,0.237,,
TGTX,92.1579,18.402523,92.075,,-86542496.0
OPEN,-27.667036,8.686163,346.117,,348500000.0
CWST,461.3158,3.5806203,79.979,,80841752.0
SLM,12.833496,2.5949156,269.94,,
CACC,14.261836,3.5708451,416.235,,
FROG,70.62121,6.5694156,1.675,,177626256.0
PTCT,9.689361,-26.252882,,,517716736.0
BTSG,123.76,3.6081634,155.462,,-368028864.0
JSM,16.417374,1.4368933,,,
BTDR,87.81035,7.6288195,88.534,,-421337888.0
UFPI,15.914947,1.7068874,11.827,,150662624.0
SNEX,17.41908,2.533449,844.931,,
CAR,13.313761,-1.9479886,,,226124992.0
ALGM,46.709675,5.8047705,36.254,,59261752.0
ALKS,15.579711,3.27644,4.474,,345668736.0
ACIW,21.584745,3.7803338,68.589,,285156000.0
ACT,8.095239,1.0142045,14.24,,592919232.0
ARWR,-8.921802,9.957684,137.222,,-48370124.0
SSRM,32.73077,1.5880816,8.729,,149453744.0
CHRD,21.351898,0.6415907,11.814,,686644352.0
UBSI,12.647887,0.94795734,,,
ATAT,26.539568,1.5524788,51.639,,1434805888.0
ABTC,51.363636,1.0228095,14.52,,
HWC,10.646319,1.1261989,,,
TMC,-94.6,45.92233,3.027,,-6891500.0
ACLX,-40.355556,12.817617,13.389,,-4536125.0
RUN,-28.893333,1.7053593,318.586,,-2981321216.0
REYN,16.091217,2.3316038,80.959,,296624992.0
SIGI,13.462356,1.5792454,26.793,,1042405760.0
OMAB,17.701723,4.636889,155.962,,2175064320.0
ENPH,29.317831,5.614608,140.21,,307361248.0
VSAT,-23.0,1.0755882,153.967,,623358528.0
DOOO,34.670105,10.118851,614.972,,348150016.0
SLMBP,34.94639,7.357676,269.94,,
UPST,132.1579,6.683524,212.942,,-223471008.0
FTDR,19.55193,18.96661,482.283,,278875008.0
PTGX,105.38356,7.1522875,1.688,,26000000.0
EOSE,-15.797297,-4.0779066,,,-83960872.0
STNE,12.760715,0.41319734,123.469,,-4030164480.0
MMSI,40.85787,3.2031994,55.143,,190721120.0
QUBT,-68.741936,8.49681,0.548,,-15276250.0
QLYS,25.957888,9.264742,10.891,,221283632.0
CLBT,48.387497,11.582884,5.468,,122917128.0
CZR,16.865671,1.206556,632.192,,186250000.0
FFIN,19.201754,2.6865487,,,
PECO,61.41818,1.8527862,92.248,,197524000.0
IEP,10.037037,1.8397827,210.809,,838374976.0
MRCY,83.473114,3.1085572,18.294,,162487632.0
BCPC,32.81422,3.6622639,16.379,,126151624.0
SHC,179.83331,8.991667,460.02,,218806880.0
VCTR,17.155,1.8631045,41.121,,273309120.0
DLO,32.583336,10.255738,13.545,,10224750.0
MZTI,27.381187,4.5754857,,,157678256.0
DJT,181.05554,1.9773085,41.51,,-1032224896.0
NMRK,44.390247,2.4975984,180.515,,-38506124.0
CROX,22.627716,3.2109666,124.8,,576841024.0
ENLT,201.65118,3.0498846,243.293,,-609407360.0
NAMS,-21.07672,5.7573347,0.042,,-85028000.0
WFRD,9.681356,2.9875898,115.01,,342500000.0
CALM,3.5603614,1.6654677,0.0,,881137472.0
SAIC,11.849332,2.9571228,161.173,,221500000.0
SLAB,117.51725,4.2158656,0.0,,104445128.0
LAUR,18.04491,4.223546,42.648,,287325760.0
LSTR,26.628931,4.775008,15.666,,182054000.0
BGC,31.0,4.7546015,188.354,,
PLUG,-6.54386,2.546075,56.235,,-469599008.0
KYMR,-19.729904,4.4563875,8.823,,-153841376.0
OPCH,21.353176,3.2106206,90.349,,194119632.0
FLY,-65.8463,-0.45602286,302.579,,
AKRO,-12.644707,4.1866627,3.543,,-161483376.0
OSIS,29.262342,4.500627,71.742,,41348248.0
DORM,19.098091,3.0568943,39.958,,98206496.0
IJT,21.136053,1.0915235,,,
CRNX,-11.540155,3.5790613,4.262,,-177600880.0
MENS,,-106.60784,,,-1727875.0
AVT,18.898182,0.8695725,57.422,,555693120.0
OS,157.27272,7.03252,3.431,,232938752.0
FELE,24.595856,3.3469648,27.344,,147005632.0
SBRA,23.072369,1.5506722,91.738,,286910496.0
IBOC,10.201966,1.386838,,,
CVCO,22.96658,3.9338791,3.552,,114097504.0
SPSC,50.38532,4.386231,1.137,,135221120.0
BANF,17.706858,2.3660967,,,
VEON,3.7750735,2.7106168,328.409,,623562496.0
SKYW,10.283383,1.5770385,99.769,,226931744.0
RUSHB,15.977208,2.0241103,80.639,,215367008.0
RUSHA,14.578347,1.8468924,80.639,,215367008.0
WSC,37.694916,3.917562,383.344,,477300864.0
DGNX,,563.5028,5.215,,-9849145.0
GLNG,20.333334,2.1170218,85.567,,-799868352.0
PLXS,25.298634,2.8190842,12.864,,257200496.0
VERX,36.65441,16.018637,141.868,,88519248.0
PAGP,10.230538,2.4952533,62.789,,1093374976.0
SMH,37.902786,,,,
VKTX,-23.397352,4.9894085,0.11,,-102103128.0
KC,-32.280487,0.5262844,162.118,,-1533871872.0
POWL,22.583334,6.597152,0.206,,46796876.0
INTR,19.304348,0.4206338,,,
VRRM,97.0,10.987766,298.957,,178601504.0
TMDX,56.773872,12.089888,163.1,,-7754500.0
PSMT,26.193684,3.0727057,20.748,,89246128.0
NOVT,62.76627,4.76121,64.157,,135185248.0
TCBI,32.90278,1.1816304,,,
LNTH,14.861703,3.2560308,52.751,,295474368.0
MIRM,-86.75287,14.80773,124.981,,3783500.0
FLNC,31.907694,6.6623836,78.626,,-247292128.0
LBTYK,-3.3383534,0.29387996,82.762,,-306024992.0
LBTYA,-4.904444,0.2908463,82.762,,-306024992.0
LBTYB,,0.2835982,82.762,,-306024992.0
USAR,-92.78571,-23.27957,,,-17649250.0
TFSL,45.793102,1.9613055,,,
CRVL,37.43005,10.824094,8.005,,90354000.0
QURE,-19.61438,-822.1918,,,-111588128.0
EBC,14.3,1.0018324,,,
USLM,29.582567,6.539573,0.795,,75423376.0
GBDC,9.735915,0.92172813,128.329,,543979648.0
BHFAL,,0.15994115,,,
APGE,-14.334211,5.1498537,1.751,,-138940496.0
TLX,545.985,8.756776,99.126,,13731112.0
TBBK,16.92258,4.231783,,,
ADMA,17.8,9.05988,21.044,,43691500.0
ACAD,16.165339,4.4084277,6.845,,53147376.0
NWE,16.035421,1.25453,110.891,,-186404992.0
MLCO,59.17857,-2.2648988,,,
ASO,10.203007,1.7427039,88.747,,103363000.0
HWKN,42.52099,7.362863,63.698,,63020752.0
LGND,30.765886,4.3103814,0.693,,87922624.0
IPGP,40.52381,1.7116537,0.801,,117052496.0
TENB,20.303448,10.155227,119.526,,269683744.0
SLNO,-29.32599,13.982356,21.974,,-22920500.0
WRD,-4.5739408,0.52727187,3.178,,
HSAI,208.81818,0.70079625,19.538,,-540569024.0
QFIN,3.729078,0.14471295,28.405,,-4854964736.0
AMBA,-458.74997,6.0107,0.597,,68888248.0
LGN,101.34848,,993.559,,
WGS,1337.7777,12.472807,41.274,,20209124.0
CARG,27.944,7.9368324,44.827,,160119376.0
EEFT,11.911724,2.6192715,190.179,,431600000.0
AAPG,23.403053,19.035088,253.905,,36215124.0
NSIT,26.134293,2.1328063,96.282,,167130624.0
ALHC,-33.960785,24.325842,233.853,,44121752.0
INDB,15.396164,0.9455319,,,
EXPO,33.98744,7.985242,18.777,,93405128.0
COMM,57.296295,-1.4036839,,,574800000.0
MLYS,-12.551873,9.129113,0.0,,-122116248.0
FIZZ,18.212122,6.6311145,13.866,,120760000.0
CATY,11.731884,1.1669029,,,
CGON,-24.623596,4.9840803,0.148,,
VLYPO,22.550539,1.9422021,,,
AUGO,7.9339995,21.157331,344.669,,55004500.0
PATK,26.996603,2.8922129,128.371,,217795248.0
FIBK,14.162162,0.9635896,,,
ZLAB,-15.26178,4.0469246,24.175,,-217036992.0
OTTR,11.546392,1.8514146,58.799,,-23654500.0
