Ticker,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow,AsOfDate,DataCollectedAt
AAON,66.14966,9.51747,8.581,,-207260256.0,2024-10-17,2025-10-18T00:28:06Z
ACGLO,4.6002984,0.36325073,11.84,,8082999808.0,2024-10-17,2025-10-18T00:28:06Z
AAL,14.119048,-2.0221653,,,579500032.0,2024-10-17,2025-10-18T00:28:07Z
ACHC,15.898027,0.70967084,74.737,,-267134000.0,2024-10-17,2025-10-18T00:28:07Z
ACIW,20.65678,3.6178107,68.589,,285156000.0,2024-10-17,2025-10-18T00:28:08Z
ACT,8.056689,1.009375,14.24,,592919232.0,2024-10-17,2025-10-18T00:28:08Z
ACLX,-38.66222,12.279785,13.389,,-4536125.0,2024-10-17,2025-10-18T00:28:08Z
ADMA,16.894117,8.598803,21.044,,43691500.0,2024-10-17,2025-10-18T00:28:09Z
ACLS,16.914286,2.5469406,7.037,,67295128.0,2024-10-17,2025-10-18T00:28:09Z
ACAD,15.706766,4.283371,6.845,,53147376.0,2024-10-17,2025-10-18T00:28:10Z
