Ticker,Name,MarketCap,Sector,Industry,AsOfDate,DataCollectedAt,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
AAON,"AAON, Inc.",9021977146.81659,Industrials,Building Products & Equipment,2024-10-17,2025-10-18T00:27:07Z,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,8914829572.982666,Financial Services,Insurance - Diversified,2024-10-17,2025-10-18T00:27:35Z,,,,,
AAL,"American Airlines Group, Inc.",8452407473.885192,Industrials,Airlines,2024-10-17,2025-10-18T00:27:04Z,,,,,
ACHC,"Acadia Healthcare Company, Inc.",5477999809.258057,Healthcare,Medical Care Facilities,2024-10-17,2025-10-18T00:27:36Z,,,,,
ACIW,"ACI Worldwide, Inc.",5359796026.027256,Technology,Software - Infrastructure,2024-10-17,2025-10-18T00:27:39Z,,,,,
ACT,"Enact Holdings, Inc.",5326662308.546333,Financial Services,Insurance - Specialty,2024-10-17,2025-10-18T00:27:46Z,,,,,
ACLX,"Arcellx, Inc.",5283570360.068115,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:27:40Z,,,,,
ADMA,ADMA Biologics Inc,3846727390.5468698,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:28:00Z,,,,,
ACLS,"Axcelis Technologies, Inc.",2946774908.1648254,Technology,Semiconductor Equipment & Materials,2024-10-17,2025-10-18T00:27:39Z,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,2559364390.271721,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:27:29Z,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,8695423761.898193,Financial Services,Insurance - Diversified,2025-10-17,2025-10-18T00:28:42Z,,,,,
AAON,"AAON, Inc.",7928042760.071686,Industrials,Building Products & Equipment,2025-10-17,2025-10-18T00:28:21Z,,,,,
AAL,"American Airlines Group, Inc.",7825569590.525752,Industrials,Airlines,2025-10-17,2025-10-18T00:28:19Z,,,,,
ABVX,Abivax SA,7217075827.406509,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:28:37Z,,,,,
ACT,"Enact Holdings, Inc.",5240874143.239441,Financial Services,Insurance - Specialty,2025-10-17,2025-10-18T00:28:51Z,,,,,
ACIW,"ACI Worldwide, Inc.",5030613461.25,Technology,Software - Infrastructure,2025-10-17,2025-10-18T00:28:45Z,,,,,
ACLX,"Arcellx, Inc.",4824370636.406982,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:28:46Z,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,3524398172.826233,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:28:38Z,,,,,
ADMA,ADMA Biologics Inc,3426737042.9126444,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:29:03Z,,,,,
AAPG,Ascentage Pharma Group Internat,3294621669.6942406,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:28:23Z,,,,,
ACLS,"Axcelis Technologies, Inc.",2603995030.5055237,Technology,Semiconductor Equipment & Materials,2025-10-17,2025-10-18T00:28:45Z,,,,,
ADPT,Adaptive Biotechnologies Corpor,2482064698.3242226,Healthcare,Biotechnology,2025-10-17,2025-10-18T00:29:06Z,,,,,
ACMR,"ACM Research, Inc.",2252188974.726059,Technology,Semiconductor Equipment & Materials,2025-10-17,2025-10-18T00:28:46Z,,,,,
ACHC,"Acadia Healthcare Company, Inc.",2231555480.22583,Healthcare,Medical Care Facilities,2025-10-17,2025-10-18T00:28:43Z,,,,,
