Ticker,Name,MarketCap,Sector,Industry,AsOfDate,DataCollectedAt,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
AAON,"AAON, Inc.",9021977146.81659,Industrials,Building Products & Equipment,2024-10-17,2025-10-18T00:27:07Z,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,8914829572.982666,Financial Services,Insurance - Diversified,2024-10-17,2025-10-18T00:27:35Z,,,,,
AAL,"American Airlines Group, Inc.",8452407473.885192,Industrials,Airlines,2024-10-17,2025-10-18T00:27:04Z,,,,,
ACHC,"Acadia Healthcare Company, Inc.",5477999809.258057,Healthcare,Medical Care Facilities,2024-10-17,2025-10-18T00:27:36Z,,,,,
ACIW,"ACI Worldwide, Inc.",5359796026.027256,Technology,Software - Infrastructure,2024-10-17,2025-10-18T00:27:39Z,,,,,
ACT,"Enact Holdings, Inc.",5326662308.546333,Financial Services,Insurance - Specialty,2024-10-17,2025-10-18T00:27:46Z,,,,,
ACLX,"Arcellx, Inc.",5283570360.068115,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:27:40Z,,,,,
ADMA,ADMA Biologics Inc,3846727390.5468693,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:28:00Z,,,,,
ACLS,"Axcelis Technologies, Inc.",2946774908.1648254,Technology,Semiconductor Equipment & Materials,2024-10-17,2025-10-18T00:27:39Z,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,2559364390.271721,Healthcare,Biotechnology,2024-10-17,2025-10-18T00:27:29Z,,,,,
