Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,627","11,454","8,980","8,267","11,629","9,632","12,564","14,789","24,896","24,191","26,694"
Market Cap Growth,-5.00%,27.55%,8.62%,-28.91%,20.73%,-23.33%,-15.05%,-40.60%,2.91%,-9.38%,-30.60%
Enterprise Value,"37,304","41,677","39,603","41,717","43,748","42,553","41,836","34,701","43,812","40,779","38,382"
Last Close Price,13.07,17.43,13.74,12.72,17.96,15.77,28.57,31.60,50.71,45.12,40.47
PE Ratio,14.46,13.54,10.92,65.09,-,-,7.45,10.47,19.42,9.36,3.51
Forward PE,7.66,7.20,9.98,7.73,-,-,5.57,5.65,10.92,10.42,5.92
PS Ratio,0.16,0.21,0.17,0.17,0.39,0.56,0.28,0.33,0.58,0.60,0.65
PB Ratio,-,-2.88,-1.73,-1.43,-1.58,-1.40,-106.47,-87.51,-31.92,6.39,4.74
P/FCF Ratio,9.78,8.81,7.44,-,23.45,-,-,-,-,30.51,272.39
P/OCF Ratio,2.29,2.88,2.36,3.80,16.52,-,3.29,4.19,5.25,3.71,4.27
PEG Ratio,1.41,-,-,-,-,-,0.74,0.65,13.29,-,0.32
EV/Sales Ratio,0.69,0.77,0.75,0.85,1.46,2.45,0.91,0.78,1.03,1.02,0.94
EV/EBITDA Ratio,8.09,7.42,6.29,10.17,-,-,6.74,5.87,6.15,5.31,4.32
EV/EBIT Ratio,15.75,12.37,9.79,23.11,-,-,10.76,9.24,8.59,6.96,5.27
EV/FCF Ratio,42.30,32.06,32.81,-,88.20,-,-,-,-,51.42,391.66
Debt / Equity Ratio,-9.10,-9.44,-7.82,-7.53,-6.29,-5.97,-283.42,-201.35,-32.13,6.43,3.65
Debt / EBITDA Ratio,3.84,3.64,3.78,5.17,41.45,-,3.17,3.42,3.52,3.17,2.31
Debt / FCF Ratio,40.89,28.88,33.69,-,93.10,-,-,-,-,30.70,209.81
Asset Turnover,0.86,0.87,0.83,0.75,0.47,0.28,0.76,0.79,0.82,0.81,0.90
Inventory Turnover,15.44,16.15,16.67,18.63,16.59,13.18,19.25,22.45,24.00,27.39,28.47
Quick Ratio,0.38,0.40,0.47,0.56,0.78,0.50,0.31,0.36,0.44,0.57,0.56
Current Ratio,0.54,0.54,0.62,0.71,0.91,0.67,0.45,0.48,0.60,0.74,0.73
Return on Equity (ROE),-,-,-,-,-,-,-,-,85.32%,54.86%,198.80%
Return on Assets (ROA),2.35%,3.37%,3.96%,1.72%,-5.37%,-11.67%,4.03%,4.14%,6.13%,7.35%,9.94%
Return on Capital (ROIC),4.46%,6.10%,6.89%,2.94%,-9.44%,-21.09%,7.24%,8.08%,12.17%,13.48%,19.82%
Return on Capital Employed (ROCE),6.30%,9.00%,9.90%,4.20%,-,-,9.30%,8.80%,13.60%,15.70%,20.90%
Earnings Yield,6.98%,7.39%,9.15%,1.54%,-17.14%,-92.25%,13.42%,9.55%,5.15%,10.68%,28.51%
FCF Yield,10.22%,11.35%,13.44%,-4.51%,4.26%,-90.05%,-4.39%,-1.43%,-4.93%,3.28%,0.37%
Dividend Yield,-,-,-,-,-,0.63%,1.40%,1.27%,0.79%,0.89%,0.99%
Payout Ratio,-,-,-,-,-,-,10.56%,13.17%,15.45%,8.67%,3.65%
Buyback Yield / Dilution,-7.28%,-0.23%,-9.85%,-1.73%,-33.09%,-8.92%,4.59%,5.29%,11.58%,19.10%,6.36%
Total Shareholder Return,-7.28%,-0.23%,-9.85%,-1.73%,-33.09%,-8.28%,5.99%,6.56%,12.37%,19.98%,7.34%
