Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,258,319.59,188.66,114.85,147.44,326.03,189.68,134.76,69.42,163.62,102.14
Short-Term Investments,589.02,436.4,250.21,301.98,373.27,305.93,507.75,338.76,271.92,365.42,112.99
Cash & Short-Term Investments,847.02,755.99,438.87,416.82,520.71,631.96,697.43,473.52,341.34,529.04,215.13
Cash Growth,49.83%,72.26%,5.29%,-19.95%,-17.60%,-9.39%,47.29%,38.72%,-35.48%,145.91%,-33.29%
Accounts Receivable,115.85,98.74,98.27,62.2,64.37,48.25,35.78,26.09,17.34,5.9,-
Other Receivables,23.59,5.96,4.08,0.89,0.98,2.04,2.09,1.7,1.09,1.24,1.64
Receivables,139.44,104.7,102.35,63.08,65.34,50.28,37.87,27.79,18.43,7.14,1.64
Inventory,29.1,21.95,35.82,6.64,7.88,9.68,6.34,4.07,5.25,4.18,-
Prepaid Expenses,60.87,55.68,39.09,21.4,23.89,25.69,18.61,20.73,8.46,7.55,2.22
Total Current Assets,"1,076",938.32,616.13,507.94,617.82,717.62,760.25,526.11,373.48,547.9,218.99
"Property, Plant & Equipment",53.38,50.79,56.47,61.59,66.32,56.44,12.7,3.31,2.66,3.08,2.2
Long-Term Investments,-,-,-,-,3.6,1.3,2.3,1.3,-,-,-
Other Intangible Assets,111.62,119.78,65.49,-,-,1.11,2.59,4.06,5.54,7.02,-
Other Long-Term Assets,89.35,78.87,10.87,18.28,12.38,6.15,5.34,5.43,2.83,3.16,0.7
Total Assets,"1,331","1,188",748.96,587.81,700.12,782.62,783.18,540.2,384.51,561.15,221.9
Accounts Payable,21.75,16.19,17.54,12.75,6.88,8.49,7.22,3.17,8.79,3.91,1.67
Accrued Expenses,323.05,254.44,196.16,103.58,80.89,92.39,64.17,56.4,40.24,36.03,20.23
Current Portion of Leases,11.78,9.96,9.41,9.31,8.3,5.09,3.43,-,-,-,-
Current Income Taxes Payable,-,12.02,1.56,-,-,-,-,-,-,-,-
Current Unearned Revenue,-,-,-,-,-,-,-,-,-,2.64,-
Other Current Liabilities,-,102.26,29.58,-,-,-,-,-,-,-,-
Total Current Liabilities,356.58,394.87,254.25,125.63,96.07,105.97,74.83,59.57,49.03,42.59,21.9
Long-Term Leases,43.03,42.04,47.8,52.7,56.13,44.46,6.36,-,-,-,-
Other Long-Term Liabilities,13.89,18.06,15.15,9.07,7.03,5.18,2.86,1.56,0.19,0.16,0.23
Total Liabilities,413.5,454.96,317.2,187.4,159.23,155.61,84.05,61.12,49.22,42.74,22.13
Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"3,003","2,937","2,863","2,771","2,695","2,613","2,403","1,948","1,559","1,452",862.33
Retained Earnings,"-2,087","-2,204","-2,431","-2,370","-2,154","-1,986","-1,704","-1,469","-1,224",-933.98,-662.59
Comprehensive Income & Other,0.99,0.29,0.02,-0.98,-0.19,0.04,0.3,-0.37,-0.4,0.11,0.01
Shareholders' Equity,917.27,732.79,431.76,400.41,540.89,627.01,699.14,479.08,335.29,518.41,199.76
Total Liabilities & Equity,"1,331","1,188",748.96,587.81,700.12,782.62,783.18,540.2,384.51,561.15,221.9
Total Debt,54.81,52,57.21,62,64.43,49.55,9.8,-,-,-,-
Net Cash (Debt),792.21,704,381.66,354.82,456.28,582.41,687.63,473.52,341.34,529.04,215.13
Net Cash Growth,53.54%,84.46%,7.56%,-22.23%,-21.66%,-15.30%,45.22%,38.72%,-35.48%,145.91%,-33.29%
Net Cash Per Share,4.70,4.23,2.33,2.19,2.84,3.70,4.67,3.74,2.78,4.57,2.14
Filing Date Shares Outstanding,169.18,166.79,164.77,162.23,161.2,160.05,155.34,143.88,124.7,121.41,112.64
Total Common Shares Outstanding,169.15,166.71,164.65,162.06,161.01,159.64,155.28,143.85,124.41,121.37,101.94
Working Capital,719.84,543.45,361.87,382.31,521.76,611.65,685.42,466.54,324.45,505.31,197.09
Book Value Per Share,5.42,4.40,2.62,2.47,3.36,3.93,4.50,3.33,2.69,4.27,1.96
Tangible Book Value,805.66,613.01,366.27,400.41,540.89,625.9,696.55,475.02,329.75,511.4,199.76
Tangible Book Value Per Share,4.76,3.68,2.22,2.47,3.36,3.92,4.49,3.30,2.65,4.21,1.96
Machinery,-,10.16,10.42,10.42,10.54,9.08,5.95,5.86,5.25,4.95,3.08
Construction In Progress,-,0.52,-,-,-,-,-,-,-,0.23,0.5
Leasehold Improvements,-,3.75,3.75,3.7,3.7,4.03,2.56,1.66,1.64,1.32,1.41
