Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,199.27,216.39,164.24,124.98,122.06,165.37,121.4,148.5,69.71,75.75,102.24
Cash & Short-Term Investments,199.27,216.39,164.24,124.98,122.06,165.37,121.4,148.5,69.71,75.75,102.24
Cash Growth,12.04%,31.76%,31.41%,2.39%,-26.19%,36.23%,-18.25%,113.03%,-7.98%,-25.91%,32.26%
Accounts Receivable,460.53,414.4,452.34,403.78,320.41,342.88,359.2,348.18,262.85,268.16,219.12
Other Receivables,-,-,-,-,-,-,-,-,7.92,4.61,12.05
Receivables,460.53,414.4,452.34,403.78,320.41,342.88,359.2,348.18,270.77,272.78,231.16
Prepaid Expenses,33.34,29.22,31.48,28.01,24.7,24.29,24.54,23.28,23.22,25.88,27.46
Other Current Assets,470.41,330.81,758.59,558.03,470.27,622.37,415.24,46.52,58.13,33.58,21.64
Total Current Assets,"1,164",990.82,"1,407","1,115",937.43,"1,155",920.38,566.48,421.82,407.99,382.5
"Property, Plant & Equipment",62.27,63.93,72.19,92.53,110.88,105.98,127.76,72.73,80.23,78.95,60.63
Long-Term Investments,-,18.6,18.5,17.9,19.3,19.3,18.5,-,-,-,-
Goodwill,"1,226","1,226","1,226","1,226","1,280","1,280","1,281",909.69,909.69,909.69,913.26
Other Intangible Assets,230.91,258.27,304.06,357.81,440.79,518.44,591.49,305.36,346.67,389.13,494.87
Long-Term Accounts Receivable,363.06,360.08,313.98,297.82,276.16,215.77,213.04,189.01,-,-,-
Long-Term Deferred Tax Assets,84.32,72.71,58.5,53.74,50.78,57.48,51.61,27.05,66.75,77.48,90.87
Long-Term Deferred Charges,-,19.3,23.6,24.2,21.1,15.7,17.1,22.3,-,-,-
Other Long-Term Assets,30.78,15.55,21.23,25.07,22.08,19.1,37.13,29.85,36.48,39.05,33.66
Total Assets,"3,161","3,025","3,445","3,210","3,159","3,387","3,258","2,122","1,862","1,902","1,976"
Accounts Payable,55.28,45.42,45.96,48,41.31,41.22,37.01,39.6,34.72,42.87,55.42
Accrued Expenses,47.98,64.38,63.06,58.08,64.26,61.26,44.64,57.84,65.49,62.36,43.62
Short-Term Debt,15.52,14.46,12.7,13.53,12.52,12.9,9.67,3.55,1.86,9.21,15.72
Current Portion of Long-Term Debt,45.73,34.93,78.01,71.32,48.77,39.87,40.15,20.77,17.79,90.32,89.71
Current Portion of Leases,8.56,9.27,9.35,11.22,11.52,13.44,15.05,-,-,-,-
Current Income Taxes Payable,16.74,-,-,-,-,-,-,-,9.9,11.33,4.73
Current Unearned Revenue,65.08,75.42,59.58,58.3,84.43,95.85,65.78,104.84,107.54,105.19,128.56
Other Current Liabilities,482.21,358.76,768.59,598.4,491.35,641.07,399.66,70.02,84.49,55.08,47.09
Total Current Liabilities,737.1,602.63,"1,037",858.84,754.16,905.61,611.95,296.62,321.78,376.37,384.86
Long-Term Debt,831.59,889.65,963.6,"1,028","1,020","1,123","1,347",657.89,668.34,655.3,842.95
Long-Term Leases,23.21,22.59,29.07,33.91,43.35,39.96,46.77,-,-,-,-
