Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,880.35,782.12,557.72,388.83,259.75,156.62,107.52,74.64,36.51,27.37,31.21
Revenue Growth (YoY),20.77%,40.23%,43.44%,49.69%,65.84%,45.66%,44.05%,104.47%,33.38%,-12.29%,-
Cost of Revenue,469.38,390.56,281.51,205.22,144.9,87.03,56.87,40.19,19.28,14.04,17.09
Gross Profit,410.98,391.55,276.22,183.62,114.86,69.6,50.65,34.45,17.23,13.33,14.12
"Selling, General & Admin",151.87,135.08,87.67,62.35,41.95,28.99,19.96,17.6,11.39,6.58,6.32
Research & Development,128.72,105.47,92.71,62.23,34.21,19.12,12.9,10.38,5.14,3.26,2.94
Operating Expenses,280.59,240.56,180.38,124.58,76.15,48.11,32.86,27.98,16.53,9.84,9.26
Operating Income,130.38,151,95.84,59.04,38.7,21.49,17.79,6.47,0.7,3.49,4.86
Interest Expense,-6.39,-4.15,-2.68,-1.66,-0.77,-0.98,-0.75,-0.5,-0.28,-0.18,-0.12
Interest & Investment Income,13.27,9.94,8.35,8.74,0.51,0.9,0.33,0.03,0.01,0.02,0.02
Earnings From Equity Investments,6.72,0.42,9.95,4.67,4.64,0.66,0.17,0.12,0.04,-,-
Currency Exchange Gain (Loss),2.32,4.32,-2.09,3.01,-0.83,-3.53,1.25,1.11,-0.93,-,-
Other Non Operating Income (Expenses),0.73,2.02,0.53,0.31,0.2,-11.82,0.15,0.14,0.14,-0.34,0.63
EBT Excluding Unusual Items,147.01,163.54,109.91,74.1,42.45,6.72,18.94,7.38,-0.33,2.98,5.39
Gain (Loss) on Sale of Investments,23.83,2.76,6.31,-6.74,0.61,12.57,-,-,-,-,-
Pretax Income,170.84,166.3,116.22,67.36,43.06,19.3,18.94,7.38,-0.33,2.98,5.39
Income Tax Expense,24.05,35.03,19.36,16.8,0.13,-2.38,-0.52,0.81,0.55,0.6,-2.53
Earnings From Continuing Operations,146.79,131.27,96.85,50.56,42.92,21.68,19.46,6.57,-0.87,2.39,7.92
Minority Interest in Earnings,-29.68,-27.64,-19.5,-11.3,-5.16,-2.9,-0.56,-,0.55,-1.36,-2.54
Net Income,117.11,103.63,77.35,39.26,37.76,18.78,18.89,6.57,-0.32,1.03,5.38
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,0.39,-
Net Income to Common,117.11,103.63,77.35,39.26,37.76,18.78,18.89,6.57,-0.32,0.65,5.38
Net Income Growth,29.77%,33.97%,97.00%,3.99%,101.05%,-0.60%,187.41%,-,-,-80.84%,-
Shares Outstanding (Basic),64,62,60,59,58,55,50,47,21,7,6
Shares Outstanding (Diluted),67,66,65,65,65,64,57,54,21,11,9
Shares Change (YoY),1.34%,2.11%,-0.72%,-0.02%,2.84%,10.70%,6.83%,160.90%,81.04%,20.61%,-
EPS (Basic),1.84,1.67,1.29,0.66,0.65,0.34,0.37,0.14,-0.02,0.10,0.88
EPS (Diluted),1.72,1.53,1.16,0.59,0.58,0.30,0.33,0.12,-0.02,0.06,0.32
EPS Growth,29.16%,31.52%,96.64%,2.76%,92.02%,-9.09%,167.64%,-,-,-81.44%,-
Free Cash Flow,-9.54,69.99,-137.2,-153.29,-49.25,-58.96,8.43,5.08,-8.75,-4.5,1.33
Free Cash Flow Per Share,-0.14,1.06,-2.12,-2.35,-0.75,-0.93,0.15,0.10,-0.42,-0.40,0.14
Gross Margin,46.68%,50.06%,49.53%,47.22%,44.22%,44.44%,47.11%,46.15%,47.18%,48.70%,45.25%
Operating Margin,14.81%,19.31%,17.18%,15.18%,14.90%,13.72%,16.55%,8.67%,1.92%,12.75%,15.58%
Profit Margin,13.30%,13.25%,13.87%,10.10%,14.54%,11.99%,17.57%,8.81%,-0.87%,2.36%,17.24%
Free Cash Flow Margin,-1.08%,8.95%,-24.60%,-39.42%,-18.96%,-37.65%,7.84%,6.80%,-23.97%,-16.43%,4.26%
EBITDA,143.74,160.97,103.93,64.4,41.06,22.55,18.58,6.89,0.94,3.67,5
EBITDA Margin,16.33%,20.58%,18.63%,16.56%,15.81%,14.40%,17.28%,9.23%,2.58%,13.41%,16.03%
D&A For EBITDA,13.35,9.97,8.09,5.37,2.35,1.06,0.79,0.42,0.24,0.18,0.14
EBIT,130.38,151,95.84,59.04,38.7,21.49,17.79,6.47,0.7,3.49,4.86
EBIT Margin,14.81%,19.31%,17.18%,15.18%,14.90%,13.72%,16.55%,8.67%,1.92%,12.75%,15.58%
Effective Tax Rate,14.08%,21.07%,16.66%,24.94%,0.31%,-,-,10.92%,-,19.95%,-
