Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,008","2,248","1,486","1,587","1,475","1,834","1,498",857,400,399,257
Market Cap Growth,-12.16%,51.26%,-6.36%,7.59%,-19.56%,22.37%,74.78%,114.21%,0.34%,55.34%,-2.77%
Enterprise Value,"2,108","2,075","1,623","1,693","1,587","1,767","1,337",811,398,384,245
Last Close Price,110.07,125.35,92.85,99.49,93.51,117.09,97.22,67.88,34.80,35.05,23.28
PE Ratio,23.62,30.54,23.77,34.48,32.69,55.34,59.37,52.17,33.48,32.80,22.09
Forward PE,16.43,21.73,20.01,25.30,24.28,34.65,34.17,31.41,20.81,23.67,18.31
PS Ratio,1.47,1.95,1.40,1.67,1.71,2.40,2.31,1.66,0.96,1.01,0.77
PB Ratio,1.91,2.32,2.10,2.51,2.57,3.54,3.15,3.19,2.27,2.53,1.81
P/TBV Ratio,-,-,-,-,261.94,-,10.47,7.85,5.77,5.71,4.11
P/FCF Ratio,20.82,20.36,14.46,16.39,42.33,17.88,202.54,30.78,8.14,-,135.64
P/OCF Ratio,19.46,19.31,13.24,15.10,37.35,16.76,124.67,25.82,7.58,-,62.53
PEG Ratio,1.22,1.50,1.52,2.02,1.62,2.19,2.28,2.36,1.39,1.58,1.22
EV/Sales Ratio,1.57,1.80,1.53,1.78,1.84,2.31,2.06,1.57,0.96,0.98,0.74
EV/EBITDA Ratio,13.43,15.60,15.00,19.07,19.65,29.83,27.23,22.67,13.00,12.75,11.26
EV/EBIT Ratio,14.90,17.37,17.26,22.66,23.95,37.45,34.69,29.90,16.61,16.36,14.38
EV/FCF Ratio,21.87,18.80,15.79,17.49,45.53,17.23,180.79,29.12,8.10,-,129.50
Debt / Equity Ratio,0.19,0.28,0.25,0.28,0.46,0.46,0.17,0.06,0.24,0.16,0.02
Debt / EBITDA Ratio,1.18,1.89,1.46,1.74,2.87,3.48,1.44,0.48,1.40,0.83,0.14
Debt / FCF Ratio,2.10,2.47,1.70,1.84,7.56,2.34,11.01,0.62,0.87,-,1.58
Asset Turnover,1.05,0.95,1.08,1.01,0.94,1.00,1.32,1.67,1.66,1.89,1.81
Quick Ratio,1.52,1.50,1.24,1.57,2.66,1.93,3.00,2.75,2.72,2.52,2.11
Current Ratio,1.66,1.67,1.38,1.70,2.76,2.00,3.08,2.86,2.83,2.64,2.23
Return on Equity (ROE),8.58%,8.78%,9.33%,7.62%,8.26%,6.67%,6.94%,7.33%,7.07%,8.06%,8.42%
Return on Assets (ROA),6.87%,6.13%,5.99%,4.95%,4.50%,3.86%,4.89%,5.47%,5.98%,7.07%,5.82%
Return on Capital (ROIC),7.86%,7.03%,6.94%,5.66%,5.19%,4.48%,5.72%,6.71%,7.46%,8.97%,7.71%
Return on Capital Employed (ROCE),11.20%,9.50%,10.70%,9.30%,8.00%,6.30%,7.00%,9.50%,11.10%,13.00%,11.90%
Earnings Yield,4.27%,3.27%,4.21%,2.90%,3.06%,1.81%,1.68%,1.92%,2.99%,3.05%,4.53%
FCF Yield,4.80%,4.91%,6.92%,6.10%,2.36%,5.59%,0.49%,3.25%,12.28%,-0.62%,0.74%
Buyback Yield / Dilution,-8.74%,-6.55%,-0.80%,-0.73%,-0.68%,-11.99%,-15.06%,-6.54%,-2.41%,-1.43%,-0.68%
