Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,644","1,874","1,245","1,543","1,785","3,001","3,265","2,683","2,787","1,753","2,444"
Market Cap Growth,4.34%,50.56%,-19.32%,-13.57%,-40.52%,-8.08%,21.70%,-3.75%,58.98%,-28.25%,-40.46%
Enterprise Value,"1,449",274,448,607,488,"2,644","2,840","1,804","2,146","1,131","2,036"
Last Close Price,45.13,32.86,22.27,28.08,32.87,43.33,47.75,46.11,57.17,41.73,64.92
PE Ratio,-,2.78,-,-,1.11,-,-,-,-,-,-
PS Ratio,58.10,51.35,46.40,108.35,-,-,-,28.42,64.80,25.09,41.33
PB Ratio,2.05,1.22,1.54,1.40,1.38,7.51,5.10,3.90,7.42,4.89,7.08
P/TBV Ratio,2.07,1.22,1.54,1.40,1.38,7.51,5.10,3.90,7.42,4.89,7.08
P/FCF Ratio,-,-,-,-,-,-,-,-,-,61.20,-
P/OCF Ratio,-,-,-,-,-,-,-,-,-,45.47,-
EV/Sales Ratio,32.36,7.51,16.70,42.61,-,-,-,19.11,49.88,16.18,34.43
EV/FCF Ratio,-,-,-,-,-,-,-,-,-,39.47,-
Debt / Equity Ratio,0.04,0.04,0.09,0.08,0.08,0.26,0.18,-,-,-,-
Asset Turnover,0.03,0.03,0.03,0.01,-,-,-,0.13,0.07,0.14,0.13
Inventory Turnover,11.63,13.08,21.65,-,-,-,-,-,-,-,-
Quick Ratio,12.81,11.06,11.49,12.54,17.17,6.07,6.25,6.37,4.50,6.18,6.15
Current Ratio,13.82,11.90,12.27,13.30,17.79,6.75,6.59,6.56,4.69,6.33,6.38
Return on Equity (ROE),-27.57%,57.29%,-36.83%,-19.38%,-42.15%,-63.33%,-45.39%,-65.10%,-85.73%,-56.41%,-30.60%
Return on Assets (ROA),-18.71%,-20.47%,-22.49%,-18.17%,-20.65%,-24.08%,-22.60%,-30.76%,-32.51%,-24.18%,-16.27%
Return on Capital (ROIC),-19.71%,-21.45%,-23.65%,-18.88%,-24.98%,-33.35%,-27.42%,-42.62%,-54.62%,-35.70%,-19.28%
Earnings Yield,-15.07%,35.95%,-28.29%,-15.02%,89.89%,-10.91%,-12.60%,-12.90%,-11.29%,-11.32%,-4.82%
FCF Yield,-15.56%,-20.89%,-23.87%,-20.38%,-23.14%,-10.16%,-11.72%,-11.61%,-10.40%,1.63%,-3.97%
Buyback Yield / Dilution,-0.86%,-4.02%,-1.57%,9.36%,12.39%,-15.01%,-4.49%,-23.25%,-19.07%,-4.53%,-11.18%
