Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"2,935","2,794","2,394","2,212","2,094","1,993","1,626","1,663","1,034","1,018",866.28
Revenue Growth (YoY),9.50%,16.73%,8.20%,5.67%,5.08%,22.51%,-2.20%,60.88%,1.52%,17.54%,10.27%
Cost of Revenue,"1,841","1,778","1,530","1,421","1,310","1,340","1,161",955.03,527.99,446.5,367.05
Gross Profit,"1,094","1,016",863.87,791.46,783.95,652.32,464.92,707.96,505.66,571.73,499.23
"Selling, General & Admin",509.06,476.44,429.68,399.7,365.5,326.73,289.6,227.85,109.05,118.76,109.68
Research & Development,205.62,190.71,163.95,195.69,201.85,179.93,188.05,194.19,171.42,179.02,136.87
Other Operating Expenses,-4.31,-,-1.14,-3.96,-,-,-,-,-,-,-
Operating Expenses,710.37,667.15,592.49,591.43,567.35,506.66,477.65,422.04,280.47,297.78,272
Operating Income,383.33,348.36,271.38,200.03,216.6,145.66,-12.73,285.92,225.19,273.95,227.23
Interest Expense,-246.52,-258.6,-210.63,-158.38,-136.33,-146,-168.21,-143.57,-71.06,-55.28,-45.84
Currency Exchange Gain (Loss),1.41,-6.85,1.67,-12.36,-0.36,16.35,-4.96,-19.7,29.09,-14.11,-12.15
Other Non Operating Income (Expenses),-20.25,-42.66,5.12,17.83,15.33,2.59,194.35,2.45,-0.05,-0.67,-
EBT Excluding Unusual Items,117.98,40.26,67.54,47.13,95.25,18.6,8.46,125.1,183.18,203.89,169.25
Merger & Restructuring Charges,-2.23,-2.36,-1.75,-2.13,-9.91,-11.39,-39.97,-278.23,-9.4,-0.07,-0.37
Gain (Loss) on Sale of Assets,7.52,3.76,-,-,-,0.12,7.26,-2.56,-29.23,-,-
Asset Writedown,-22.78,-0.92,-36.13,-11.11,-22.69,-34.58,-126.16,-7.82,-,-,-
Legal Settlements,-1.39,-96.69,-1.82,-269.93,-25,-5.86,-12.44,19.71,29.31,11,8.65
Other Unusual Items,-30.44,0.93,-37.31,-1.02,-10.57,-,-10.77,-19.67,-2.53,-,-1.94
Pretax Income,68.66,-55.01,-40.27,-248.13,31.37,-35.78,-220.24,-202.72,171.32,214.82,175.58
Income Tax Expense,11.04,18.86,8.45,6.66,11.2,-104.36,383.33,-1.42,2,5.4,4.95
Earnings From Continuing Operations,57.62,-73.88,-48.72,-254.79,20.17,68.58,-603.57,-201.3,169.33,209.43,170.63
Minority Interest in Earnings,-51.72,-43.01,-35.27,124.8,-9.55,22.48,241.66,31.58,-1.68,-2.05,-1.18
Net Income,5.9,-116.89,-83.99,-129.99,10.62,91.06,-361.92,-169.73,167.65,207.38,169.45
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-148.81,-,-,-
Net Income to Common,5.9,-116.89,-83.99,-129.99,10.62,91.06,-361.92,-20.92,167.65,207.38,169.45
Net Income Growth,-,-,-,-,-88.33%,-,-,-,-19.16%,22.38%,-4.23%
Shares Outstanding (Basic),312,309,176,151,149,147,132,127,189,189,189
Shares Outstanding (Diluted),320,309,176,151,152,149,132,127,189,189,189
Shares Change (YoY),9.44%,75.42%,16.69%,-0.58%,1.95%,12.72%,3.81%,-32.67%,-,-,-
EPS (Basic),0.02,-0.38,-0.48,-0.86,0.07,0.62,-2.74,-0.16,0.89,1.10,0.90
EPS (Diluted),0.02,-0.38,-0.48,-0.86,0.07,0.61,-2.74,-0.16,0.89,1.10,0.90
EPS Growth,-,-,-,-,-88.52%,-,-,-,-19.16%,22.38%,-
Free Cash Flow,249.62,234.76,298.78,16.3,190.88,317.17,-45.48,167.14,139.42,-7.7,-12.5
Free Cash Flow Per Share,0.78,0.76,1.70,0.11,1.26,2.13,-0.34,1.31,0.74,-0.04,-0.07
Dividend Per Share,-,-,-,-,-,-,-,-,-,1.060,1.360
Dividend Growth,-,-,-,-,-,-,-,-,-,-22.06%,6.25%
Gross Margin,37.27%,36.35%,36.09%,35.77%,37.44%,32.74%,28.59%,42.57%,48.92%,56.15%,57.63%
Operating Margin,13.06%,12.47%,11.34%,9.04%,10.35%,7.31%,-0.78%,17.19%,21.79%,26.91%,26.23%
Profit Margin,0.20%,-4.18%,-3.51%,-5.88%,0.51%,4.57%,-22.25%,-1.26%,16.22%,20.37%,19.56%
Free Cash Flow Margin,8.51%,8.40%,12.48%,0.74%,9.12%,15.92%,-2.80%,10.05%,13.49%,-0.76%,-1.44%
EBITDA,623.81,584.55,500.78,440.21,450,381.05,230.9,433.75,271.13,306.97,252.68
EBITDA Margin,21.25%,20.92%,20.92%,19.90%,21.49%,19.12%,14.20%,26.08%,26.23%,30.15%,29.17%
D&A For EBITDA,240.48,236.19,229.4,240.18,233.41,235.39,243.63,147.83,45.94,33.02,25.45
EBIT,383.33,348.36,271.38,200.03,216.6,145.66,-12.73,285.92,225.19,273.95,227.23
EBIT Margin,13.06%,12.47%,11.34%,9.04%,10.35%,7.31%,-0.78%,17.19%,21.79%,26.91%,26.23%
Effective Tax Rate,16.08%,-,-,-,35.70%,-,-,-,1.17%,2.51%,2.82%
Advertising Expenses,-,34.4,12.4,16.8,-,-,-,-,-,-,0.8
