Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,262.61,144.86,221.12,48.23,100.3,7.86,62.33,43.01,31.14,27.37,154.68
Short-Term Investments,8.86,6.31,-,-,-,-,-,-,-,-,-
Cash & Short-Term Investments,271.47,151.17,221.12,48.23,100.3,7.86,62.33,43.01,31.14,27.37,154.68
Cash Growth,77.11%,-31.64%,358.49%,-51.92%,1175.43%,-87.38%,44.93%,38.09%,13.81%,-82.31%,-8.49%
Receivables,252.62,221.73,162.08,165.44,128.53,95.79,72.13,64.84,58.79,45.9,21.93
Inventory,146.48,136.78,111.2,105.36,81.69,60.8,48.16,40.5,37.73,26.18,13.39
Prepaid Expenses,18.35,17.78,17.4,8.39,7.59,5.86,4,4.52,2.78,3.56,1.45
Restricted Cash,0.04,0.03,-,5.01,-,-,-,-,-,-,-
Other Current Assets,9.45,0.2,8.02,11.85,3.67,-,1.08,-,1.16,-,1.13
Total Current Assets,698.4,527.68,519.82,344.26,321.78,170.32,187.7,152.88,131.61,103.01,192.58
"Property, Plant & Equipment",63.56,56.86,44.59,43.25,52.67,41.27,40.55,38.09,20.4,11,7.13
Long-Term Investments,2.23,4.9,6.24,8.8,-,-,-,-,-,-,-
Goodwill,62.48,59.99,28.22,28.22,27.89,3.58,3.58,3.58,1.84,1.84,1.84
Other Intangible Assets,499.82,541.83,209.01,251.64,294.12,188.51,180.39,201.6,229.79,175.79,66.4
Long-Term Deferred Tax Assets,71.4,85.11,90.71,81.36,67.94,51.7,38.33,27.96,22.67,26.23,17.32
Long-Term Deferred Charges,0.7,0.9,-,-,-,-,-,-,0.83,-,-
Other Long-Term Assets,9.57,6.42,5.84,2.56,7.21,5.81,6.25,6.49,5.01,5,-
Total Assets,"1,408","1,284",904.42,760.09,771.6,461.19,456.79,430.6,412.14,322.86,285.27
Accounts Payable,69.8,45.66,36.68,29.31,22.97,11.26,14.61,8.88,3.63,3.39,2.07
Accrued Expenses,135.45,90.76,57.84,35.89,27.89,22.92,20.08,22.66,23.97,20.41,7.04
Current Portion of Long-Term Debt,15.24,9.17,0.85,0.85,0.85,13.24,9.94,115.72,3.35,-,-
Current Portion of Leases,-,2.04,-,-,-,-,-,-,-,-,-
Current Income Taxes Payable,-,6.75,8.16,-,-,3.91,-,5.02,-,2.4,-
Current Unearned Revenue,-,-,-,-,-,0.08,0.45,0.71,-,-,-
Other Current Liabilities,50.07,39.3,41.94,33.4,35.83,27.16,16.6,12.55,8.27,5.76,2.65
Total Current Liabilities,270.56,193.68,145.48,99.44,87.54,78.57,61.68,165.55,39.23,31.95,11.76
Long-Term Debt,605.07,614.92,284.82,285.67,286.52,186.55,182.02,67.79,198.15,120.64,113.43
Long-Term Leases,11.27,4.55,-,1.38,-,-,-,-,-,-,-
Other Long-Term Liabilities,15.44,42.02,16.53,35.06,38.8,0.37,0.3,-,-,0.63,-
Total Liabilities,902.34,855.17,446.82,421.55,412.86,265.49,244,233.34,237.38,153.22,125.18
Common Stock,0,0,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,586.23,519.65,514.1,403.9,387.84,214.35,200.8,186.81,179.02,172.56,164.43
Retained Earnings,-50.59,-100.28,-80.13,-97.29,-47.77,-4.97,17.58,11.49,-4.01,-2.92,-4.35
Treasury Stock,-32.64,-21.04,-10.08,-5.09,-3.14,-2.25,-0.72,-0.66,-0.26,-,-
Comprehensive Income & Other,2.81,5.34,8.86,12.17,-3.06,-11.44,-4.87,-0.38,-,-,-
Total Common Equity,505.82,403.68,432.75,313.69,333.89,195.7,212.79,197.26,174.76,169.65,160.08
Shareholders' Equity,505.82,428.53,457.6,338.54,358.74,195.7,212.79,197.26,174.76,169.65,160.08
