Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,826.88,614.38,486.82,316.39,216.14,208.48,206.55,201.58,176.84,128.62,76.32
Revenue Growth (YoY),48.86%,26.20%,53.87%,46.38%,3.67%,0.93%,2.47%,13.99%,37.49%,68.53%,36.36%
Cost of Revenue,324.55,250.21,181.51,138.79,100.61,87.16,63.15,73.02,79.03,42.88,12.69
Gross Profit,502.34,364.17,305.3,177.6,115.53,121.32,143.39,128.55,97.81,85.74,63.63
"Selling, General & Admin",303.87,237.24,161.7,124.04,84.29,64.99,55.84,44.06,31.58,26.53,21.16
Research & Development,56.05,44.58,34.29,22.32,11.37,16,19.81,15.39,9.07,2.91,2.87
Other Operating Expenses,-2.66,-,-,-,0.78,11.26,6.71,-,-,-,-
Operating Expenses,448.67,349.55,255.77,203.33,143.7,136.89,126.97,93.19,68.58,51.78,30.93
Operating Income,53.66,14.62,49.53,-25.73,-28.17,-15.57,16.43,35.36,29.23,33.96,32.7
Interest Expense,-32.91,-33.14,-35.05,-28.42,-11.95,-9.48,-13.47,-14.91,-11.32,-11.29,-11.14
Interest & Investment Income,11.25,15.53,8.11,0.37,0.02,0.03,0.5,0.15,-,-,0.14
Other Non Operating Income (Expenses),-4.03,-4.03,-0.16,0.67,-4.71,-0.49,-0.23,-0.55,-0.66,-0.11,0.04
EBT Excluding Unusual Items,29.05,-7.02,22.43,-53.12,-44.8,-25.52,3.23,20.05,17.25,22.56,21.73
Merger & Restructuring Charges,2.42,-12.4,-1.13,-5.68,-,-,-,-,-,-5.9,-
Gain (Loss) on Sale of Investments,0.56,6.31,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-0.3,5.35,-,-,1.82,-,-,-,-,-6.69,-
Asset Writedown,-8.37,-7.6,-,-0.11,-2.37,-0.45,-0.08,-,-0.9,-,-
Legal Settlements,-,-,-,-,-8.75,-,-,-,-,-,-
Other Unusual Items,27.18,-6.85,-1.43,-3.76,-1.96,-,-,-,-,-1.3,-
Pretax Income,50.55,-22.21,19.87,-62.67,-56.06,-25.96,3.16,20.05,16.35,8.68,21.73
Income Tax Expense,9.98,-3.69,1.09,-14.77,-13.46,-3.41,-2.94,4.56,17.43,4.74,6.36
Net Income,40.57,-18.52,18.78,-47.9,-42.6,-22.55,6.09,15.49,-1.08,3.93,15.38
Preferred Dividends & Other Adjustments,6.42,1.63,3.3,1.63,0.19,-,0.1,0.15,-,0.02,0.09
Net Income to Common,34.15,-20.15,15.48,-49.52,-42.79,-22.55,6,15.34,-1.08,3.91,15.29
Net Income Growth,-,-,-,-,-,-,-60.67%,-,-,-74.41%,-46.52%
Shares Outstanding (Basic),20,19,18,16,13,12,12,12,12,11,11
Shares Outstanding (Diluted),21,19,18,16,13,12,12,12,12,12,12
Shares Change (YoY),6.95%,6.18%,11.89%,29.09%,5.28%,-0.63%,2.28%,1.95%,-0.22%,0.14%,4.56%
EPS (Basic),1.73,-1.04,0.86,-3.05,-3.40,-1.88,0.51,1.31,-0.09,0.34,1.34
EPS (Diluted),1.67,-1.04,0.85,-3.05,-3.40,-1.88,0.50,1.30,-0.09,0.34,1.32
EPS Growth,-,-,-,-,-,-,-61.54%,-,-,-74.30%,-48.85%
Free Cash Flow,155.73,47.78,110.09,-40.08,0.77,9.13,39,61.33,29.05,22.91,15.08
Free Cash Flow Per Share,7.58,2.47,6.05,-2.46,0.06,0.76,3.24,5.21,2.52,1.98,1.30
Gross Margin,60.75%,59.27%,62.71%,56.13%,53.45%,58.19%,69.42%,63.77%,55.31%,66.66%,83.37%
Operating Margin,6.49%,2.38%,10.17%,-8.13%,-13.03%,-7.47%,7.95%,17.54%,16.53%,26.41%,42.84%
Profit Margin,4.13%,-3.28%,3.18%,-15.65%,-19.80%,-10.82%,2.90%,7.61%,-0.61%,3.04%,20.03%
Free Cash Flow Margin,18.83%,7.78%,22.61%,-12.67%,0.35%,4.38%,18.88%,30.43%,16.43%,17.81%,19.76%
EBITDA,145.07,82.35,109.32,33.92,19.08,29.07,61.04,69.1,57.16,56.31,39.6
EBITDA Margin,17.54%,13.40%,22.46%,10.72%,8.83%,13.94%,29.55%,34.28%,32.32%,43.78%,51.89%
D&A For EBITDA,91.4,67.73,59.79,59.65,47.25,44.64,44.61,33.74,27.93,22.34,6.9
EBIT,53.66,14.62,49.53,-25.73,-28.17,-15.57,16.43,35.36,29.23,33.96,32.7
EBIT Margin,6.49%,2.38%,10.17%,-8.13%,-13.03%,-7.47%,7.95%,17.54%,16.53%,26.41%,42.84%
Effective Tax Rate,19.74%,-,5.50%,-,-,-,-,22.73%,106.58%,54.67%,29.25%
