Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"9,373","9,469","8,075","10,812","7,797","4,329","6,300","7,502","5,737","5,247","6,251"
Other Revenue,3,3,59,220,228,64,54,53,55,-9,109
Revenue,"9,376","9,472","8,134","11,032","8,025","4,393","6,354","7,555","5,792","5,238","6,360"
Revenue Growth (YoY),4.53%,16.45%,-26.27%,37.47%,82.68%,-30.86%,-15.90%,30.44%,10.58%,-17.64%,-48.08%
Cost of Revenue,"3,137","2,919","2,358","3,324","2,945","1,679","1,725","1,928","1,429","1,629","1,861"
Gross Profit,"6,239","6,553","5,776","7,708","5,080","2,714","4,629","5,627","4,363","3,609","4,499"
"Selling, General & Admin",361,372,351,483,376,290,406,431,395,410,380
Other Operating Expenses,380,422,224,455,305,417,349,301,424,768,427
Operating Expenses,"3,295","4,484","2,310","2,476","2,196","7,072","5,873","3,978","3,648","4,696","14,267"
Operating Income,"2,944","2,069","3,466","5,232","2,884","-4,358","-1,244","1,649",715,"-1,087","-9,768"
Interest Expense,-318,-379,-331,-322,-418,-267,-400,-406,-415,-424,-482
Interest & Investment Income,25,12,10,10,8,-,13,22,19,8,10
Currency Exchange Gain (Loss),-,-,-,-13,-,-,-,-,-11,-25,-11
Other Non Operating Income (Expenses),-9,-6,-,-31,82,-38,-,-39,-,-,-
EBT Excluding Unusual Items,"2,642","1,696","3,145","4,876","2,556","-4,663","-1,631","1,226",308,"-1,528","-10,251"
Merger & Restructuring Charges,-147,-147,-,-,-,-52,-41,-6,-5,-,-132
Impairment of Goodwill,-,-,-,-,-,-87,-,-,-,-,-163
Gain (Loss) on Sale of Investments,-9,-9,-41,-72,-160,-,-,-113,-,-,-148
Gain (Loss) on Sale of Assets,100,16,-204,"1,023",-379,32,43,23,627,21,281
Asset Writedown,-,-,-11,-,-,-68,"-1,295",-56,-,-135,"-1,717"
Other Unusual Items,216,-21,-6,-93,-126,-2,-84,-116,-12,-40,-39
Pretax Income,"2,802","1,535","2,883","5,734","1,891","-4,840","-3,008",958,918,"-1,682","-12,169"
Income Tax Expense,"1,016",417,-324,"1,652",578,64,674,672,-585,-442,"-1,010"
Earnings From Continuing Operations,"1,786","1,118","3,207","4,082","1,313","-4,904","-3,682",286,"1,503","-1,240","-11,159"
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-33,492
Net Income to Company,"1,786","1,118","3,207","4,082","1,313","-4,904","-3,682",286,"1,503","-1,273","-10,667"
Minority Interest in Earnings,-277,-314,-352,-408,-340,44,129,-246,-199,-132,315
Net Income,"1,509",804,"2,855","3,674",973,"-4,860","-3,553",40,"1,304","-1,405","-10,352"
Net Income to Common,"1,509",804,"2,855","3,674",973,"-4,860","-3,553",40,"1,304","-1,405","-10,352"
Net Income Growth,-32.12%,-71.84%,-22.29%,277.59%,-,-,-,-96.93%,-,-,-
Shares Outstanding (Basic),363,353,308,332,374,378,377,382,381,379,378
Shares Outstanding (Diluted),363,353,309,333,375,378,377,384,383,379,378
Shares Change (YoY),7.24%,14.24%,-7.21%,-11.20%,-0.79%,0.27%,-1.82%,0.26%,1.05%,0.27%,-1.56%
EPS (Basic),4.16,2.28,9.27,11.07,2.60,-12.86,-9.42,0.10,3.42,-3.71,-27.39
EPS (Diluted),4.16,2.27,9.25,11.02,2.59,-12.86,-9.43,0.10,3.41,-3.71,-27.40
EPS Growth,-36.84%,-75.46%,-16.06%,325.48%,-,-,-,-96.93%,-,-,-
Free Cash Flow,"1,903",709,796,"3,136","2,386",114,-94,-127,-332,481,"-2,141"
Free Cash Flow Per Share,5.25,2.01,2.58,9.42,6.36,0.30,-0.25,-0.33,-0.87,1.27,-5.66
Dividend Per Share,1.000,1.000,1.000,0.750,0.237,0.100,1.000,1.000,1.000,1.000,1.000
Dividend Growth,-,-,33.33%,215.79%,137.50%,-90.00%,-,-,-,-,-
Gross Margin,66.54%,69.18%,71.01%,69.87%,63.30%,61.78%,72.85%,74.48%,75.33%,68.90%,70.74%
Operating Margin,31.40%,21.84%,42.61%,47.43%,35.94%,-99.20%,-19.58%,21.83%,12.35%,-20.75%,-153.58%
Profit Margin,16.09%,8.49%,35.10%,33.30%,12.13%,-110.63%,-55.92%,0.53%,22.51%,-26.82%,-162.77%
Free Cash Flow Margin,20.30%,7.49%,9.79%,28.43%,29.73%,2.60%,-1.48%,-1.68%,-5.73%,9.18%,-33.66%
EBITDA,"5,831","5,629","5,144","6,606","4,388","1,943","3,795","4,714","3,371","2,386","3,528"
EBITDA Margin,62.19%,59.43%,63.24%,59.88%,54.68%,44.23%,59.73%,62.40%,58.20%,45.55%,55.47%
D&A For EBITDA,"2,887","3,560","1,678","1,374","1,504","6,301","5,039","3,065","2,656","3,473","13,296"
EBIT,"2,944","2,069","3,466","5,232","2,884","-4,358","-1,244","1,649",715,"-1,087","-9,768"
EBIT Margin,31.40%,21.84%,42.61%,47.43%,35.94%,-99.20%,-19.58%,21.83%,12.35%,-20.75%,-153.58%
Effective Tax Rate,36.26%,27.17%,-,28.81%,30.57%,-,-,70.15%,-,-,-
Revenue as Reported,"9,744","9,737","8,192","12,132","7,928","4,308","6,553","7,764","6,423","5,354","6,889"
