Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"3,601","2,578","1,342",-
Market Cap Growth,19.94%,92.14%,-,-
Enterprise Value,"3,018","1,836",919,-
Last Close Price,55.45,45.30,27.94,-
PB Ratio,5.24,3.60,3.53,-
P/TBV Ratio,5.86,3.60,3.53,-
Debt / Equity Ratio,0.02,0.02,0.01,-
Quick Ratio,16.15,18.40,19.30,15.22
Current Ratio,16.36,18.55,19.38,15.24
Return on Equity (ROE),-34.12%,-33.22%,-32.18%,-
Return on Assets (ROA),-23.21%,-23.46%,-21.00%,-
Return on Capital (ROIC),-24.04%,-24.41%,-22.18%,-
Earnings Yield,-6.55%,-7.07%,-6.26%,-
FCF Yield,-6.24%,-6.69%,-5.58%,-
Buyback Yield / Dilution,-17.27%,-120.72%,-915.57%,-
