Period Ending,"Nov '25Nov 6, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021",2018 - 2020
Market Capitalization,"3,072","3,630","4,781","4,349","3,334","1,955",Upgrade
Market Cap Growth,-20.12%,-24.08%,9.95%,30.43%,70.54%,-,Upgrade
Enterprise Value,"4,570","5,124","6,306","5,899","4,795","3,769",Upgrade
Last Close Price,47.24,51.88,63.48,54.43,36.57,20.88,Upgrade
PE Ratio,8.66,8.68,9.21,6.93,4.97,6.33,Upgrade
Forward PE,7.49,8.14,8.52,7.13,6.18,9.75,Upgrade
PS Ratio,0.54,0.61,0.78,0.68,0.49,0.34,Upgrade
PB Ratio,1.52,1.81,2.45,2.67,2.27,1.76,Upgrade
P/TBV Ratio,4.78,6.45,9.29,23.05,119.89,-,Upgrade
P/FCF Ratio,12.65,11.05,14.58,9.80,5.58,2.02,Upgrade
P/OCF Ratio,6.40,6.87,8.92,7.88,4.95,1.93,Upgrade
PEG Ratio,0.55,0.58,0.80,0.38,0.39,-,Upgrade
EV/Sales Ratio,0.77,0.86,1.02,0.92,0.71,0.66,Upgrade
EV/EBITDA Ratio,7.59,7.89,7.99,6.19,4.73,6.97,Upgrade
EV/EBIT Ratio,9.51,9.64,9.30,6.97,5.28,8.66,Upgrade
EV/FCF Ratio,19.09,15.60,19.22,13.29,8.03,3.88,Upgrade
Debt / Equity Ratio,0.89,0.89,0.87,1.09,1.26,1.81,Upgrade
Debt / EBITDA Ratio,2.20,2.02,1.67,1.52,1.52,2.72,Upgrade
Debt / FCF Ratio,7.69,5.44,5.17,3.99,3.09,2.08,Upgrade
Asset Turnover,1.18,1.24,1.33,1.39,1.51,1.31,Upgrade
Inventory Turnover,2.67,3.13,3.27,3.41,4.09,3.79,Upgrade
Quick Ratio,0.26,0.32,0.42,0.34,0.45,0.34,Upgrade
Current Ratio,1.64,1.78,1.87,1.62,1.52,1.21,Upgrade
Return on Equity (ROE),18.42%,21.14%,28.98%,40.58%,52.07%,29.40%,Upgrade
Return on Assets (ROA),5.92%,6.94%,9.14%,11.53%,12.65%,6.24%,Upgrade
Return on Capital (ROIC),7.94%,8.93%,12.02%,15.77%,17.62%,7.99%,Upgrade
Return on Capital Employed (ROCE),11.80%,13.50%,17.90%,23.80%,26.30%,13.50%,Upgrade
Earnings Yield,12.25%,11.53%,10.86%,14.44%,20.14%,15.79%,Upgrade
FCF Yield,7.90%,9.05%,6.86%,10.20%,17.92%,49.63%,Upgrade
Dividend Yield,1.13%,0.89%,0.60%,0.58%,0.21%,-,Upgrade
Payout Ratio,9.39%,7.52%,5.24%,3.92%,-,83.23%,Upgrade
Buyback Yield / Dilution,7.53%,5.71%,7.66%,11.02%,-15.78%,-8.87%,Upgrade
Total Shareholder Return,8.67%,6.59%,8.26%,11.60%,-15.58%,-8.87%,Upgrade
