Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,758","3,096","1,508",767,"1,141",669,440,-
Market Cap Growth,21.66%,105.31%,96.54%,-32.77%,70.61%,52.08%,-,-
Enterprise Value,"2,294","2,863","1,328",578,884,654,-,-
Last Close Price,12.87,16.51,8.21,4.11,6.29,15.01,9.87,-
Forward PE,34.58,77.15,68.88,173.42,-,-,-,-
PS Ratio,6.55,9.37,5.55,3.30,5.95,4.41,3.79,-
PB Ratio,5.86,11.43,6.71,3.16,4.47,-136.86,-29.85,-
P/TBV Ratio,6.59,12.76,8.34,3.85,4.56,-,-,-
P/FCF Ratio,32.46,36.06,46.24,-,444.19,36.96,-,-
P/OCF Ratio,31.09,34.83,43.46,-,226.87,34.98,-,-
EV/Sales Ratio,5.82,8.66,4.89,2.49,4.60,4.31,-,-
EV/EBITDA Ratio,69.93,228.13,-,-,-,-,-,-
EV/EBIT Ratio,85.60,399.47,-,-,-,-,-,-
EV/FCF Ratio,27.11,33.34,40.72,-,343.94,36.12,-,-
Debt / Equity Ratio,0.04,0.06,0.07,0.07,-,-,-0.02,-
Debt / EBITDA Ratio,0.44,0.77,-,-,-,-,-,-
Debt / FCF Ratio,0.22,0.19,0.45,-,-,-,-,-
Asset Turnover,0.65,0.69,0.63,0.58,0.69,1.14,-,-
Quick Ratio,2.30,1.70,1.77,2.08,2.93,1.28,0.80,-
Current Ratio,2.37,1.77,1.84,2.15,3.01,1.31,0.85,-
Return on Equity (ROE),0.67%,-11.76%,-9.19%,-15.52%,-26.52%,-,-,-
Return on Assets (ROA),2.78%,0.93%,-2.24%,-6.38%,-11.99%,-7.22%,-,-
Return on Capital (ROIC),4.68%,1.70%,-3.84%,-9.96%,-26.67%,-,-,-
Return on Capital Employed (ROCE),5.40%,2.40%,-5.80%,-15.10%,-19.30%,-20.10%,-65.90%,-
Earnings Yield,0.07%,-0.94%,-1.44%,-5.43%,-3.09%,-2.54%,-4.59%,-
FCF Yield,3.08%,2.77%,2.16%,-0.60%,0.22%,2.71%,-0.71%,-
Buyback Yield / Dilution,-19.77%,-0.80%,-0.17%,-28.50%,-57.96%,-21.12%,-775.82%,-
