Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,560.79,554.82,467.54,336.34,316.12,311.99,291.52,263.09,222.02,204.47,190.29
Interest Income on Investments,190.89,169.32,156.4,83.48,10.9,15.13,45.14,40.11,26.05,14.1,10.75
Total Interest Income,751.68,724.14,623.94,419.82,327.02,327.11,336.66,303.2,248.07,218.57,201.05
Interest Paid on Deposits,268.63,272.91,195.05,41.97,8.23,18.47,52.74,40.46,18.79,12.64,10.25
Interest Paid on Borrowings,4.31,4.36,4.43,4.18,3.13,1.97,2,2.27,2.14,2.1,2
Total Interest Expense,272.94,277.27,199.48,46.15,11.36,20.45,54.74,42.73,20.93,14.74,12.25
Net Interest Income,478.74,446.87,424.46,373.67,315.66,306.67,281.92,260.48,227.14,203.83,188.79
Net Interest Income Growth (YoY),9.80%,5.28%,13.59%,18.38%,2.93%,8.78%,8.23%,14.68%,11.44%,7.96%,4.10%
Trust Income,22.74,21.8,18.78,15.65,12.91,13.13,13.6,12.83,12,10.63,9.09
Gain (Loss) on Sale of Assets,1.11,-0.01,1.6,0.45,2.76,0.13,-0.04,0.58,-0.06,0.05,0.08
Gain (Loss) on Sale of Investments,-0.23,0.1,-1.83,-1.83,1.05,-0.39,0.81,0.05,4.06,-0.06,9.27
Other Non-Interest Income,96.29,90.45,86.88,78.18,62.6,43.85,42.66,38,33.6,31.36,27.75
Total Non-Interest Income,193.83,184.58,185.41,183.75,170.03,137.22,137.23,125.2,118.07,107.03,105.81
Non-Interest Income Growth (YoY),6.08%,-0.45%,0.90%,8.07%,23.91%,-0.01%,9.61%,6.04%,10.31%,1.16%,9.74%
Revenues Before Loan Losses,672.56,631.45,609.86,557.42,485.69,443.89,419.15,385.68,345.21,310.86,294.6
Provision for Loan Losses,6.01,9,7.46,10.08,-8.69,62.65,8.29,3.8,8.51,11.52,7.68
Revenue,666.55,622.45,602.41,547.34,494.38,381.24,410.86,381.87,336.7,299.34,286.93
Revenue Growth (YoY),9.57%,3.33%,10.06%,10.71%,29.68%,-7.21%,7.59%,13.42%,12.48%,4.33%,4.45%
Salaries and Employee Benefits,211.68,202.12,191.24,178.23,160.27,159.52,147.34,134.12,121.32,115.67,109.37
Occupancy Expenses,43.02,40.33,39.68,37.93,35.41,31.03,25.33,24.03,22.19,22.43,21.48
Federal Deposit Insurance,6.79,6.35,5.83,4.74,3.46,2.08,1.14,2.43,2.26,2.9,3.36
Amortization of Goodwill & Intangibles,3.5,3.55,3.53,3.45,3.12,3.82,3.37,3.01,2.19,2.27,1.94
"Selling, General & Administrative",31.2,30.03,26.23,22.41,20.59,18.95,20.08,18.41,15.87,16.02,15.28
Other Non-Interest Expense,53.78,51.74,50.01,53.26,54.05,43.86,44.83,39.89,36.14,32.86,33.97
Total Non-Interest Expense,364.79,347.16,332.46,309.91,285.98,257.73,241.3,222.12,200.39,191.4,185.72
EBT Excluding Unusual Items,301.77,275.28,269.95,237.43,208.4,123.51,169.56,159.75,136.31,107.94,101.21
Pretax Income,301.77,275.28,269.95,237.43,208.4,123.51,169.56,159.75,136.31,107.94,101.21
Income Tax Expense,64.18,58.93,57.48,44.33,40.77,23.93,34.68,33.94,49.87,37.26,35.04
Net Income,237.59,216.35,212.47,193.1,167.63,99.59,134.88,125.81,86.44,70.67,66.17
Net Income to Common,237.59,216.35,212.47,193.1,167.63,99.59,134.88,125.81,86.44,70.67,66.17
Net Income Growth,13.78%,1.83%,10.03%,15.19%,68.33%,-26.17%,7.21%,45.55%,22.31%,6.81%,3.57%
Basic Shares Outstanding,33,33,33,33,33,33,33,33,32,31,31
Diluted Shares Outstanding,34,34,33,33,33,33,33,33,33,32,32
Shares Change (YoY),0.75%,0.37%,0.16%,0.38%,0.31%,-0.36%,-0.30%,2.65%,2.34%,0.16%,0.58%
EPS (Basic),7.15,6.55,6.45,5.89,5.12,3.05,4.13,3.85,2.72,2.26,2.13
EPS (Diluted),7.04,6.44,6.34,5.77,5.03,3.00,4.05,3.76,2.65,2.22,2.09
EPS Growth,13.17%,1.58%,9.88%,14.71%,67.67%,-25.93%,7.71%,41.89%,19.37%,6.22%,3.46%
Dividend Per Share,1.870,1.780,1.660,1.520,1.400,1.320,1.240,1.020,0.800,0.740,0.700
Dividend Growth,6.86%,7.23%,9.21%,8.57%,6.06%,6.45%,21.57%,27.50%,8.11%,5.71%,7.69%
Effective Tax Rate,21.27%,21.41%,21.29%,18.67%,19.56%,19.37%,20.45%,21.24%,36.58%,34.52%,34.62%
