Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,692.7,655.59,577.89,450.92,445.73,466.36,471.47,413.37,374.45,359.61,237.29
Interest Income on Investments,103.71,110.51,123.68,121.65,74.77,52.79,54.21,50.28,37.84,31.87,17.14
Total Interest Income,796.41,766.1,701.57,572.57,520.5,519.15,525.69,463.65,412.28,391.48,254.43
Interest Paid on Deposits,202.52,199.47,100.13,10.12,11.77,25.02,37.63,20.64,12.27,11.11,8.39
Interest Paid on Borrowings,17.88,24.92,25.44,9.27,11.84,12.83,19.14,12.02,6.98,5.3,3.77
Total Interest Expense,220.4,224.39,125.57,19.39,23.61,37.85,56.77,32.66,19.25,16.41,12.15
Net Interest Income,576.01,541.72,576.01,553.18,496.89,481.3,468.92,430.99,393.03,375.07,242.28
Net Interest Income Growth (YoY),6.75%,-5.95%,4.13%,11.33%,3.24%,2.64%,8.80%,9.66%,4.79%,54.81%,34.70%
Mortgage Banking Activities,13.31,12.21,11.82,10.83,33.95,51.08,22.22,21.34,20.88,25.55,17.72
Gain (Loss) on Sale of Assets,-,-,-,7.8,-,-,-,0.83,4.3,-,-
Gain (Loss) on Sale of Investments,0.65,-5.19,-19.24,-3.25,0.48,1.01,0.03,-0.84,-2.08,0.47,1.46
Other Non-Interest Income,20.09,16.5,10.2,15.41,22.49,12.14,13.06,14.58,6.46,8.3,2.51
Total Non-Interest Income,77.62,66.89,44.41,75.26,96.42,98.62,81.94,83.99,73.01,76.23,62.29
Non-Interest Income Growth (YoY),27.45%,50.62%,-40.99%,-21.95%,-2.23%,20.35%,-2.44%,15.04%,-4.22%,22.37%,35.68%
Revenues Before Loan Losses,653.63,608.6,620.41,628.43,593.31,579.92,550.86,514.98,466.05,451.29,304.57
Provision for Loan Losses,13.6,7.58,10.79,10.36,-33.39,67.88,10,8.5,8,6.03,-
Revenue,640.03,601.02,609.63,618.07,626.7,512.04,540.86,506.48,458.05,445.26,304.57
Revenue Growth (YoY),7.86%,-1.41%,-1.37%,-1.38%,22.39%,-5.33%,6.79%,10.57%,2.87%,46.19%,34.89%
Salaries and Employee Benefits,247.38,240.52,235.39,233.4,235.09,236.23,219.27,196.06,186.13,176.38,122.95
Occupancy Expenses,34.23,33.99,33.12,34.18,33.53,34.1,35.2,32.02,31.47,28.3,20.17
Federal Deposit Insurance,11.32,11.4,10.53,6.65,5.58,6.52,2.84,4.45,4.69,4.55,3.19
Amortization of Goodwill & Intangibles,1.84,2.63,3.76,5.28,6.57,7.73,8.15,6.05,6.25,7.06,3.16
"Selling, General & Administrative",71.4,66.98,67,70.66,81.25,71.33,64.36,68.87,65.78,58.31,39.12
Other Non-Interest Expense,37.29,35.72,31.94,21.15,3.12,8.31,20.06,27.53,26.69,29.11,21.51
Total Non-Interest Expense,404.11,391.54,381.2,371.21,365.12,364.03,350.18,335.76,318.97,303.89,210.49
EBT Excluding Unusual Items,235.92,209.49,228.42,246.86,261.58,148.02,190.68,170.72,139.08,141.37,94.08
Other Unusual Items,-,-,-,-0.79,-2.72,-3.5,-,-,-,-,-
Pretax Income,235.92,209.49,227.09,240.78,246.59,142.45,183.13,165.11,151.26,129.64,67.97
Income Tax Expense,45.4,40.59,43.46,45.4,45.55,26.53,36.85,28.6,90.49,44.26,22.75
Net Income,190.52,168.9,183.62,195.38,201.05,115.93,146.28,136.52,60.78,85.39,45.22
Net Income to Common,190.52,168.9,183.62,195.38,201.05,115.93,146.28,136.52,60.78,85.39,45.22
Net Income Growth,15.38%,-8.02%,-6.02%,-2.82%,73.42%,-20.75%,7.15%,124.62%,-28.82%,88.81%,-16.36%
Basic Shares Outstanding,35,34,34,34,35,35,35,33,33,34,24
Diluted Shares Outstanding,35,35,34,34,35,36,35,33,33,34,24
Shares Change (YoY),0.56%,0.52%,-0.03%,-1.31%,-1.72%,1.60%,6.30%,-0.28%,-2.56%,41.84%,23.01%
EPS (Basic),5.52,4.90,5.35,5.70,5.81,3.29,4.20,4.16,1.85,2.52,1.90
EPS (Diluted),5.49,4.88,5.33,5.67,5.76,3.26,4.18,4.15,1.84,2.52,1.89
EPS Growth,14.84%,-8.44%,-6.00%,-1.56%,76.69%,-22.01%,0.72%,125.54%,-26.98%,33.33%,-32.26%
Dividend Per Share,1.920,1.920,1.920,1.760,1.640,1.230,1.640,1.460,1.000,0.880,0.720
Dividend Growth,-,-,9.09%,7.32%,33.33%,-25.00%,12.33%,46.00%,13.64%,22.22%,-
Effective Tax Rate,19.24%,19.38%,19.14%,18.86%,18.47%,18.62%,20.12%,17.32%,59.82%,34.14%,33.47%
