Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Market Capitalization,"2,570","2,417","2,482","1,711","1,476","1,275",Upgrade
Market Cap Growth,-3.24%,-2.62%,45.04%,15.95%,15.75%,-15.55%,Upgrade
Enterprise Value,"3,367","3,071","3,049","2,150","2,060","1,772",Upgrade
Last Close Price,42.74,40.80,42.78,32.67,28.75,24.87,Upgrade
PS Ratio,3.55,3.65,3.87,2.91,2.62,7.16,Upgrade
PB Ratio,4.49,4.51,4.59,5.71,4.82,4.38,Upgrade
P/TBV Ratio,9.85,10.76,10.83,39794.86,218.43,-,Upgrade
P/FCF Ratio,-,-,-,47.96,35.18,-,Upgrade
P/OCF Ratio,92.67,145.32,1526.34,32.08,19.09,-,Upgrade
EV/Sales Ratio,4.66,4.63,4.76,3.65,3.65,9.96,Upgrade
EV/EBITDA Ratio,39.74,152.49,138.27,50.49,22.82,-,Upgrade
EV/EBIT Ratio,171.91,-,-,-,107.04,-,Upgrade
EV/FCF Ratio,-,-,-,60.26,49.10,-,Upgrade
Debt / Equity Ratio,1.52,1.36,1.26,2.19,2.64,2.30,Upgrade
Debt / EBITDA Ratio,9.91,31.83,27.43,14.48,8.95,-,Upgrade
Debt / FCF Ratio,-,-,-,18.39,19.25,-,Upgrade
Asset Turnover,0.45,0.44,0.43,0.37,0.35,0.11,Upgrade
Quick Ratio,0.68,0.56,0.81,0.92,1.22,1.05,Upgrade
Current Ratio,0.87,0.63,0.93,1.11,2.17,1.41,Upgrade
Return on Equity (ROE),-0.17%,-5.81%,-29.83%,-11.28%,-4.35%,-23.32%,Upgrade
Return on Assets (ROA),0.76%,-1.56%,-1.85%,-0.97%,0.74%,-5.06%,Upgrade
Return on Capital (ROIC),0.90%,-1.90%,-2.54%,-1.48%,1.16%,-8.45%,Upgrade
Return on Capital Employed (ROCE),1.40%,-,-,-,1.30%,-,Upgrade
Earnings Yield,-0.04%,-1.29%,-5.05%,-2.00%,-0.88%,-6.12%,Upgrade
FCF Yield,-4.75%,-2.87%,-2.72%,2.08%,2.84%,-10.67%,Upgrade
Buyback Yield / Dilution,-2.18%,-1.89%,0.64%,-19.48%,13.33%,-17.65%,Upgrade
