Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,014",953.68,922.44,942.36,799.02,703.64,643.71,643.68,594.79,553.2,552.49
Revenue Growth (YoY),7.55%,3.39%,-2.11%,17.94%,13.55%,9.31%,0.00%,8.22%,7.52%,0.13%,2.05%
Cost of Revenue,650.48,617.48,620.38,661.91,555.85,479.75,432.34,439.43,405.78,372.34,384.4
Gross Profit,363.07,336.21,302.06,280.45,243.17,223.9,211.37,204.25,189.01,180.86,168.1
"Selling, General & Admin",140.03,135.39,130.13,120.78,102.15,102.42,95.16,83.77,80.64,82.7,68.15
Research & Development,17.97,16.79,15.05,12.19,13.52,10.33,11.38,11.59,9.31,7.33,5.99
Operating Expenses,157.99,152.18,145.18,132.97,115.67,112.75,106.54,95.37,89.94,90.02,74.14
Operating Income,205.08,184.03,156.88,147.48,127.5,111.15,104.83,108.89,99.07,90.84,93.96
Interest Expense,-11.14,-16.53,-23.73,-12.52,-4.71,-6.71,-7.32,-7.25,-7.53,-7.27,-6.59
Interest & Investment Income,-,-,1.12,2.25,2.26,2.28,1.36,-,-,0.01,0.01
Earnings From Equity Investments,-0.49,-0.49,-0.51,-0.56,-0.56,-0.58,-0.39,-0.57,-0.55,-0.29,-
Other Non Operating Income (Expenses),0.63,0.56,1.19,-1.12,0.74,0.28,0.27,0.11,-0.34,-0.36,-0.31
EBT Excluding Unusual Items,194.08,167.57,134.94,135.54,125.23,106.42,98.75,101.18,90.65,82.93,87.06
Merger & Restructuring Charges,-0.69,-1.21,-8.98,-2.26,-,-,-2.27,-1.79,-2.16,-,-
Other Unusual Items,0.09,0.09,11.3,0.47,-,-,-,-0.36,-,-,-
Pretax Income,193.48,166.45,137.26,133.75,125.23,106.42,96.48,99.03,88.49,82.93,87.06
Income Tax Expense,44.28,37.98,28.72,28.38,29.13,21.79,16.81,20.46,-1.58,26.96,27.34
Net Income,149.2,128.48,108.54,105.37,96.1,84.62,79.67,78.57,90.07,55.97,59.72
Net Income to Common,149.2,128.48,108.54,105.37,96.1,84.62,79.67,78.57,90.07,55.97,59.72
Net Income Growth,22.76%,18.36%,3.01%,9.64%,13.57%,6.22%,1.40%,-12.77%,60.92%,-6.28%,13.05%
Shares Outstanding (Basic),32,32,32,32,32,32,32,32,32,32,31
Shares Outstanding (Diluted),33,33,32,32,33,33,33,32,32,32,32
Shares Change (YoY),0.30%,0.83%,0.17%,-0.85%,0.52%,-0.01%,0.18%,0.67%,0.96%,0.91%,1.49%
EPS (Basic),4.61,3.97,3.38,3.29,2.98,2.63,2.48,2.45,2.83,1.78,1.92
EPS (Diluted),4.57,3.93,3.35,3.25,2.94,2.60,2.45,2.42,2.79,1.75,1.89
EPS Growth,22.48%,17.31%,3.08%,10.54%,13.08%,6.12%,1.24%,-13.26%,59.43%,-7.41%,11.83%
Free Cash Flow,161.6,146.34,145.87,88.59,123.15,116.67,96.05,98.97,82.5,84.58,62.53
Free Cash Flow Per Share,4.94,4.47,4.50,2.73,3.77,3.59,2.96,3.05,2.56,2.65,1.98
Dividend Per Share,0.870,0.870,0.790,0.710,0.640,0.580,0.520,0.470,0.420,0.380,0.340
Dividend Growth,10.13%,10.13%,11.27%,10.94%,10.35%,11.54%,10.64%,11.91%,10.53%,11.77%,13.33%
Gross Margin,35.82%,35.25%,32.75%,29.76%,30.43%,31.82%,32.84%,31.73%,31.78%,32.69%,30.43%
Operating Margin,20.23%,19.30%,17.01%,15.65%,15.96%,15.80%,16.29%,16.92%,16.66%,16.42%,17.01%
Profit Margin,14.72%,13.47%,11.77%,11.18%,12.03%,12.03%,12.38%,12.21%,15.14%,10.12%,10.81%
Free Cash Flow Margin,15.94%,15.34%,15.81%,9.40%,15.41%,16.58%,14.92%,15.38%,13.87%,15.29%,11.32%
EBITDA,249.66,231.71,211.52,199,176.1,162.15,150.41,152.87,142.97,136.51,133.32
EBITDA Margin,24.63%,24.30%,22.93%,21.12%,22.04%,23.04%,23.37%,23.75%,24.04%,24.68%,24.13%
D&A For EBITDA,44.58,47.69,54.65,51.51,48.6,51,45.58,43.99,43.91,45.68,39.36
EBIT,205.08,184.03,156.88,147.48,127.5,111.15,104.83,108.89,99.07,90.84,93.96
EBIT Margin,20.23%,19.30%,17.01%,15.65%,15.96%,15.80%,16.29%,16.92%,16.66%,16.42%,17.01%
Effective Tax Rate,22.88%,22.82%,20.92%,21.22%,23.26%,20.48%,17.42%,20.66%,-,32.51%,31.40%
