Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,724","3,668","4,552","3,055","3,704","2,779","3,815","2,977","4,433","2,975","3,035"
Market Cap Growth,-28.88%,-19.43%,49.01%,-17.52%,33.29%,-27.15%,28.16%,-32.85%,49.00%,-1.99%,54.98%
Enterprise Value,"3,725","4,678","5,312","3,932","4,225","3,303","4,410","3,376","4,754","3,334","3,261"
Last Close Price,57.78,73.92,86.70,58.86,78.98,57.56,79.47,62.43,93.30,62.83,64.16
PE Ratio,-,-,2501.30,-,650.07,360.11,320.35,66.38,60.20,65.52,118.34
Forward PE,11.97,16.56,20.11,19.70,26.90,20.77,36.63,27.41,40.35,29.88,37.59
PS Ratio,2.45,3.17,4.12,2.89,3.99,3.04,4.24,3.51,5.62,4.07,4.76
PB Ratio,25.23,25.83,5.63,4.11,5.17,6.52,9.61,7.96,13.18,12.02,14.41
P/FCF Ratio,9.74,12.71,23.35,15.95,18.34,23.50,22.31,15.95,26.69,21.89,27.45
P/OCF Ratio,9.57,12.39,22.80,14.98,17.34,18.78,20.91,14.78,25.14,19.36,23.49
PEG Ratio,1.53,1.82,0.86,4.91,8.97,3.78,-,3.20,3.88,1.43,1.45
EV/Sales Ratio,3.28,4.05,4.81,3.72,4.55,3.62,4.90,3.98,6.03,4.56,5.11
EV/EBITDA Ratio,12.50,18.44,29.73,39.72,50.48,31.80,44.49,25.13,36.53,25.24,32.22
EV/EBIT Ratio,14.81,25.94,47.42,117.60,130.85,77.09,129.14,47.29,68.92,47.68,64.43
EV/FCF Ratio,13.49,16.21,27.25,20.52,20.91,27.93,25.80,18.09,28.62,24.53,29.48
Debt / Equity Ratio,9.93,7.84,1.03,1.23,1.42,1.32,1.47,1.04,1.30,1.38,1.94
Debt / EBITDA Ratio,3.59,4.32,4.48,8.49,10.80,3.84,4.58,2.88,3.37,2.59,4.04
Debt / FCF Ratio,3.89,3.86,4.26,4.76,5.04,4.75,3.42,2.08,2.64,2.52,3.69
Asset Turnover,0.48,0.43,0.37,0.36,0.37,0.45,0.50,0.50,0.51,0.58,0.59
Quick Ratio,0.13,0.12,0.13,0.11,0.14,0.13,0.12,0.15,0.13,0.16,0.17
Current Ratio,0.69,0.78,0.78,0.75,0.77,0.81,0.74,0.74,0.82,0.75,0.71
Return on Equity (ROE),-77.16%,-59.57%,0.23%,-6.21%,1.00%,1.88%,3.09%,12.63%,25.22%,19.82%,12.94%
Return on Assets (ROA),6.68%,4.17%,2.37%,0.70%,0.80%,1.33%,1.18%,2.61%,2.77%,3.45%,2.92%
Return on Capital (ROIC),11.34%,7.79%,4.25%,1.23%,1.48%,2.72%,2.45%,5.81%,6.32%,7.23%,5.83%
Return on Capital Employed (ROCE),21.40%,14.50%,6.50%,1.90%,1.70%,4.20%,3.40%,8.80%,8.40%,11.10%,7.70%
Earnings Yield,-9.36%,-7.72%,0.04%,-1.49%,0.15%,0.28%,0.31%,1.51%,1.66%,1.53%,0.84%
FCF Yield,10.27%,7.87%,4.28%,6.27%,5.45%,4.26%,4.48%,6.27%,3.75%,4.57%,3.64%
Dividend Yield,-,-,-,-,-,0.21%,0.60%,0.77%,0.51%,0.76%,0.75%
Payout Ratio,-,-,-,-,-,77.23%,198.25%,51.99%,31.33%,50.24%,87.75%
Buyback Yield / Dilution,9.73%,5.88%,-4.17%,-6.92%,0.96%,-0.80%,-0.56%,-0.56%,-0.97%,-1.76%,-1.53%
Total Shareholder Return,9.73%,5.88%,-4.17%,-6.92%,0.96%,-0.59%,0.05%,0.21%,-0.46%,-1.00%,-0.78%
