Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,716","6,707","5,922","4,821","6,551","4,745","5,683","4,739","3,622","4,548","2,936"
Market Cap Growth,18.27%,13.26%,22.83%,-26.41%,38.07%,-16.51%,19.94%,30.83%,-20.35%,54.91%,-16.67%
Last Close Price,115.72,92.14,78.18,60.92,73.21,49.11,49.11,38.61,28.43,34.20,21.73
PE Ratio,10.26,10.95,10.97,4.38,7.02,9.40,8.52,7.71,34.84,21.35,3.29
PS Ratio,2.77,2.50,2.31,1.62,2.35,2.29,2.48,2.30,2.27,2.70,1.74
PB Ratio,1.27,1.20,1.15,1.18,1.10,0.79,0.95,0.87,0.71,0.88,0.57
P/FCF Ratio,12.88,14.54,12.37,5.29,7.03,7.67,9.03,6.18,6.31,9.16,4.83
P/OCF Ratio,9.53,9.94,8.63,4.75,6.52,6.99,8.06,5.59,5.69,7.62,4.38
Debt / Equity Ratio,0.23,0.23,0.24,0.39,0.23,0.26,0.26,0.31,0.40,0.40,0.48
Debt / FCF Ratio,2.33,2.84,2.60,1.73,1.44,2.55,2.51,2.18,3.53,4.15,4.00
Return on Equity (ROE),13.05%,11.42%,11.72%,21.92%,15.58%,8.41%,11.72%,11.73%,2.09%,4.18%,19.08%
Return on Assets (ROA),1.06%,0.85%,0.78%,1.54%,1.33%,0.86%,1.35%,1.35%,0.26%,0.58%,2.60%
Earnings Yield,10.05%,9.16%,9.14%,22.87%,14.27%,10.68%,11.81%,13.05%,2.97%,4.76%,30.50%
FCF Yield,7.76%,6.88%,8.08%,18.89%,14.23%,13.04%,11.08%,16.18%,15.84%,10.91%,20.69%
Dividend Yield,2.57%,2.78%,2.90%,3.61%,2.39%,3.26%,2.44%,2.59%,3.52%,1.75%,1.38%
Payout Ratio,25.27%,29.38%,29.53%,14.65%,15.13%,26.38%,17.26%,17.06%,89.07%,30.43%,2.15%
Buyback Yield / Dilution,4.35%,0.23%,4.63%,7.55%,5.30%,11.36%,4.25%,0.72%,1.29%,-0.24%,-0.27%
Total Shareholder Return,6.94%,3.01%,7.53%,11.16%,7.69%,14.62%,6.70%,3.31%,4.81%,1.51%,1.11%
