Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"4,268",174,283,267
Market Cap Growth,2334.65%,-38.60%,6.29%,-
Last Close Price,8.63,11.62,10.82,10.18
PS Ratio,4.02,0.45,0.73,0.69
PB Ratio,5.56,0.29,0.50,0.52
P/FCF Ratio,10.86,0.95,0.61,-
P/OCF Ratio,10.81,0.94,0.60,-
Debt / Equity Ratio,0.15,0.03,0.02,0.02
Debt / FCF Ratio,0.29,0.08,0.03,-
Asset Turnover,0.21,0.23,0.33,-
Quick Ratio,1.30,1.23,1.59,0.99
Current Ratio,1.35,1.26,1.67,1.82
Return on Equity (ROE),-2.53%,-4.42%,0.75%,-
Return on Assets (ROA),-0.80%,-1.55%,0.34%,-
Earnings Yield,1.82%,-13.04%,2.14%,18.78%
FCF Yield,9.20%,105.02%,164.40%,-23.53%
Buyback Yield / Dilution,-13.84%,-0.63%,-2.58%,-
