Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,674.42,426.42,385.85,287.48,252.1,284.96,304.19,251.25,202.64,147.82,100.4
Interest Income on Investments,115.66,97.26,94.7,72.7,46.7,41.64,52.04,34.78,21.66,17.07,17.63
Total Interest Income,790.08,523.68,480.54,360.18,298.8,326.6,356.23,286.03,224.3,164.89,118.02
Interest Paid on Deposits,274.22,178.46,123.99,16.11,12.58,30.69,55.08,32.6,12.93,7.07,4.76
Interest Paid on Borrowings,22.23,22.61,35.94,20.44,15.52,12.97,13.93,12.03,8,3.16,1.45
Total Interest Expense,296.45,201.07,159.92,36.55,28.1,43.66,69.01,44.63,20.94,10.23,6.21
Net Interest Income,493.63,322.61,320.62,323.63,270.7,282.94,287.22,241.41,203.37,154.66,111.82
Net Interest Income Growth (YoY),54.58%,0.62%,-0.93%,19.55%,-4.32%,-1.49%,18.98%,18.70%,31.49%,38.32%,10.08%
Trust Income,68.11,63.63,57.31,55.38,53.09,42.93,38.56,30.97,27.04,20.3,20.36
Mortgage Banking Activities,2.26,2.08,1.09,1.9,7.24,13.04,11.7,5.55,11.14,11.95,7.17
Gain (Loss) on Sale of Assets,-,7.72,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-10.26,-6.1,-2.2,-2.13,3.07,1.33,-0.02,0.33,1.14,1.23,0.38
Other Non-Interest Income,84.79,72.36,65.02,71.47,69.41,60.97,66.17,53.14,45.15,41.68,36.88
Total Non-Interest Income,142.51,139.68,121.21,126.61,132.8,118.27,116.42,89.99,84.47,75.17,64.79
Non-Interest Income Growth (YoY),5.71%,15.24%,-4.26%,-4.66%,12.29%,1.59%,29.36%,6.53%,12.38%,16.02%,9.93%
Revenues Before Loan Losses,636.13,462.29,441.84,450.24,403.5,401.2,403.64,331.4,287.84,229.83,176.61
Provision for Loan Losses,52.22,8.59,2.4,4.62,-15.1,38.8,10.41,4.43,5.3,5.55,1.6
Revenue,583.91,453.7,439.44,445.62,418.6,362.4,393.23,326.97,282.54,224.28,175.01
Revenue Growth (YoY),30.63%,3.25%,-1.39%,6.45%,15.51%,-7.84%,20.27%,15.73%,25.98%,28.15%,10.40%
Salaries and Employee Benefits,216.75,167.14,153.08,147.93,129.63,117.11,131.9,101.83,91.33,73.99,62.1
Occupancy Expenses,21.02,16.24,15.73,16.25,18.35,17.61,18.18,14.8,13.83,11.63,8.7
Federal Deposit Insurance,9.07,5.6,5.65,4.06,3.08,-,-,-,-,-,2.36
Amortization of Goodwill & Intangibles,14.65,10.06,10.43,11.63,11.27,10.01,9.55,5.85,5.25,4.44,3.19
"Selling, General & Administrative",87.11,55.58,45.86,46.18,39.27,40.4,33.04,29.83,30.76,26.62,19.32
Other Non-Interest Expense,52.85,42.82,50.19,52.77,42.83,38.36,46.04,34.72,25.42,28.57,19.64
Total Non-Interest Expense,402.28,298.27,281.77,279.69,244.43,223.49,238.7,187.04,166.58,145.26,115.31
EBT Excluding Unusual Items,181.63,155.43,157.66,165.93,174.17,138.92,154.53,139.93,115.96,79.02,59.7
Pretax Income,146.51,153.3,153.9,161.74,156.82,128.21,134.44,133.93,108.11,76.42,59.7
Income Tax Expense,43.89,39.61,31.34,33.43,33.37,27.86,31.49,35,45.39,26.72,20.7
Net Income,102.62,113.69,122.57,128.31,123.45,100.34,102.95,98.93,62.73,49.69,39.01
Preferred Dividends & Other Adjustments,5.29,-,-,-,-,-,-,-,-,-,0.7
Net Income to Common,97.33,113.69,122.57,128.31,123.45,100.34,102.95,98.93,62.73,49.69,38.31
Net Income Growth,-7.83%,-7.24%,-4.48%,3.94%,23.03%,-2.53%,4.07%,57.72%,26.22%,27.40%,19.02%
Basic Shares Outstanding,76,57,55,55,55,55,55,49,43,35,29
Diluted Shares Outstanding,77,58,56,56,56,55,55,49,43,35,29
Shares Change (YoY),35.09%,2.29%,0.21%,0.23%,2.16%,-0.55%,12.02%,14.12%,21.78%,21.68%,0.02%
EPS (Basic),1.28,2.01,2.21,2.32,2.23,1.84,1.88,2.02,1.47,1.42,1.32
EPS (Diluted),1.27,1.98,2.18,2.29,2.20,1.83,1.87,2.01,1.45,1.40,1.32
EPS Growth,-35.06%,-9.17%,-4.80%,4.09%,20.22%,-2.14%,-6.97%,38.62%,3.57%,6.06%,20.00%
Dividend Per Share,0.990,0.960,0.960,0.920,0.920,0.880,0.840,0.800,0.720,0.680,0.620
Dividend Growth,3.13%,-,4.35%,-,4.54%,4.76%,5.00%,11.11%,5.88%,9.68%,8.77%
Effective Tax Rate,29.96%,25.84%,20.36%,20.67%,21.28%,21.73%,23.42%,26.13%,41.98%,34.97%,34.67%
