Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,868","5,686","6,695","6,131","10,257","6,165","8,390","7,409","6,263","4,498","4,471"
Market Cap Growth,-12.99%,-15.06%,9.19%,-40.22%,66.36%,-26.51%,13.23%,18.30%,39.25%,0.59%,55.50%
PE Ratio,11.65,22.94,23.40,11.44,10.70,14.65,12.79,12.91,13.32,13.52,14.92
PS Ratio,4.22,6.13,7.45,5.18,6.09,6.70,6.90,6.91,7.28,5.76,6.32
PB Ratio,3.09,3.25,3.82,3.78,5.62,2.68,3.56,3.72,4.08,3.83,4.82
P/FCF Ratio,4.47,5.01,5.58,4.96,9.66,6.31,10.68,10.92,11.23,8.97,11.17
P/OCF Ratio,4.46,5.00,5.56,4.95,9.59,6.26,10.33,10.53,11.07,8.87,11.06
Debt / Equity Ratio,4.04,3.63,2.89,2.83,2.53,2.00,1.93,1.92,2.00,2.22,2.23
Debt / FCF Ratio,5.85,5.59,4.22,3.72,4.35,4.72,5.78,5.63,5.51,5.19,5.17
Quick Ratio,9.18,4.87,17.44,23.98,36.92,37.19,33.59,30.69,24.17,23.30,24.40
Current Ratio,9.73,5.17,18.59,25.54,39.27,39.23,35.18,32.30,25.50,24.65,25.71
Asset Turnover,0.14,0.11,0.12,0.17,0.23,0.12,0.18,0.19,0.19,0.21,0.23
Return on Equity (ROE),28.14%,14.15%,16.94%,31.08%,46.44%,18.08%,30.19%,32.55%,34.71%,31.67%,36.77%
Return on Assets (ROA),5.24%,3.01%,3.94%,7.68%,13.18%,5.65%,9.61%,10.23%,10.22%,8.77%,9.73%
Earnings Yield,9.32%,4.36%,4.27%,8.74%,9.34%,6.83%,7.82%,7.75%,7.51%,7.40%,6.70%
FCF Yield,22.38%,19.98%,17.92%,20.15%,10.35%,15.84%,9.36%,9.16%,8.90%,11.15%,8.95%
Buyback Yield / Dilution,4.79%,4.16%,4.51%,15.38%,10.23%,5.49%,2.84%,0.14%,4.17%,2.72%,6.05%
