Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"7,318",-,-,-
Enterprise Value,"7,860",-,-,-
Debt / Equity Ratio,0.79,-1.53,-11.04,1.08
Asset Turnover,-,1.09,0.54,-
Inventory Turnover,-,5.24,4.48,-
Quick Ratio,9.11,0.93,1.86,3.29
Current Ratio,9.93,1.30,2.55,3.77
Return on Equity (ROE),-,-,-293.82%,-
Return on Assets (ROA),-,-42.48%,-35.34%,-
Return on Capital (ROIC),-,-93.29%,-55.45%,-
Buyback Yield / Dilution,-195.29%,-1.59%,-4.73%,-
