Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,126","3,390","3,238","3,035","3,320","2,564","3,033","2,718","3,408","3,000","2,538"
Market Cap Growth,-7.28%,4.69%,6.68%,-8.57%,29.47%,-15.45%,11.56%,-20.24%,13.60%,18.22%,24.43%
Last Close Price,45.17,46.57,42.21,37.19,37.99,27.58,31.22,26.57,32.59,28.74,23.11
PE Ratio,10.42,11.85,9.14,8.42,11.13,11.21,10.87,10.00,19.36,17.13,15.75
PS Ratio,4.45,4.90,4.13,3.91,4.97,4.77,4.84,4.52,6.44,6.43,5.99
PB Ratio,1.06,1.19,1.18,1.23,1.36,1.06,1.32,1.28,1.73,1.64,1.45
P/FCF Ratio,7.92,10.41,8.49,6.54,10.04,8.16,7.09,8.24,13.87,13.00,14.65
P/OCF Ratio,7.81,10.30,8.42,6.50,9.93,8.02,6.97,8.08,13.69,12.80,14.36
Debt / Equity Ratio,0.13,0.09,0.27,0.29,0.08,0.14,0.38,0.35,0.38,0.46,0.47
Debt / FCF Ratio,0.98,0.80,1.96,1.53,0.59,1.05,2.06,2.24,3.02,3.64,4.72
Return on Equity (ROE),10.63%,10.25%,13.59%,14.66%,12.26%,9.71%,12.64%,13.28%,9.26%,9.79%,9.62%
Return on Assets (ROA),1.29%,1.24%,1.57%,1.68%,1.49%,1.23%,1.60%,1.68%,1.17%,1.26%,1.30%
Earnings Yield,9.75%,8.44%,10.94%,11.88%,8.98%,8.92%,9.20%,10.00%,5.17%,5.84%,6.35%
FCF Yield,12.63%,9.60%,11.78%,15.29%,9.96%,12.25%,14.11%,12.13%,7.21%,7.70%,6.82%
Dividend Yield,3.01%,2.92%,3.22%,3.66%,3.42%,4.50%,3.97%,4.14%,2.76%,2.71%,2.77%
Payout Ratio,31.39%,34.26%,27.85%,27.99%,33.30%,43.12%,35.51%,30.69%,39.70%,33.85%,28.11%
Buyback Yield / Dilution,3.23%,0.73%,2.41%,4.97%,1.51%,0.59%,1.67%,-0.74%,-1.34%,1.68%,-1.48%
Total Shareholder Return,6.19%,3.65%,5.64%,8.63%,4.93%,5.08%,5.64%,3.40%,1.42%,4.39%,1.29%
