Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2017 - 2019
Revenue,"1,026",944.8,866.38,782.45,688.29,633.06,Upgrade
Revenue Growth (YoY),10.64%,9.05%,10.73%,13.68%,8.72%,2.76%,Upgrade
Cost of Revenue,255.12,222,203.32,187,168.43,182.41,Upgrade
Gross Profit,770.48,722.8,663.05,595.45,519.86,450.65,Upgrade
"Selling, General & Admin",374.6,351.84,332.7,286.25,398.96,165.55,Upgrade
Research & Development,227.88,201.49,173.11,156.96,165.99,109.51,Upgrade
Amortization of Goodwill & Intangibles,86.76,80.77,98.44,99.22,98.68,98.61,Upgrade
Operating Expenses,689.23,634.1,604.24,542.43,663.63,373.67,Upgrade
Operating Income,81.25,88.71,58.82,53.02,-143.77,76.98,Upgrade
Interest Expense,-75.51,-64.61,-63.58,-38.99,-50.62,-90.25,Upgrade
Interest & Investment Income,8,12.2,16.25,0.91,-,-,Upgrade
Currency Exchange Gain (Loss),-,-,-,-,-,0.33,Upgrade
Other Non Operating Income (Expenses),1.41,16.61,-13.3,32.44,-64.39,-,Upgrade
EBT Excluding Unusual Items,15.16,52.91,-1.81,47.38,-258.77,-12.94,Upgrade
Merger & Restructuring Charges,-16.5,-8.7,-,-1.2,-0.91,-,Upgrade
Impairment of Goodwill,-,-,-77.41,-,-,-,Upgrade
Gain (Loss) on Sale of Investments,-,-,-,3.59,-,-,Upgrade
Asset Writedown,-,-,-5.34,-,-,-,Upgrade
Other Unusual Items,0.1,0.1,-,0.1,-15.24,-8.62,Upgrade
Pretax Income,-1.24,44.31,-84.55,49.86,-274.92,-21.56,Upgrade
Income Tax Expense,-1.07,13.07,5.52,11.46,-26,-4.68,Upgrade
Earnings From Continuing Operations,-0.17,31.24,-90.07,38.41,-248.92,-16.88,Upgrade
Minority Interest in Earnings,-2.69,-5.1,-2.41,-,-,-,Upgrade
Net Income,-2.86,26.15,-92.48,38.41,-248.92,-16.88,Upgrade
Net Income to Common,-2.86,26.15,-92.48,38.41,-248.92,-16.88,Upgrade
Shares Outstanding (Basic),631,611,618,608,544,504,Upgrade
Shares Outstanding (Diluted),631,642,618,643,544,504,Upgrade
Shares Change (YoY),-0.06%,3.88%,-3.88%,18.27%,7.82%,0.13%,Upgrade
EPS (Basic),-0.00,0.04,-0.15,0.06,-0.46,-0.03,Upgrade
EPS (Diluted),-0.00,0.04,-0.15,0.06,-0.46,-0.03,Upgrade
Free Cash Flow,255.34,230.87,195,151.96,89.01,73.84,Upgrade
Free Cash Flow Per Share,0.41,0.36,0.32,0.24,0.16,0.15,Upgrade
Gross Margin,75.13%,76.50%,76.53%,76.10%,75.53%,71.19%,Upgrade
Operating Margin,7.92%,9.39%,6.79%,6.78%,-20.89%,12.16%,Upgrade
Profit Margin,-0.28%,2.77%,-10.67%,4.91%,-36.17%,-2.67%,Upgrade
Free Cash Flow Margin,24.90%,24.44%,22.51%,19.42%,12.93%,11.66%,Upgrade
EBITDA,212.5,203.38,167.69,153.23,-46.96,167.04,Upgrade
EBITDA Margin,20.72%,21.53%,19.36%,19.58%,-6.82%,26.39%,Upgrade
D&A For EBITDA,131.24,114.68,108.87,100.21,96.81,90.06,Upgrade
EBIT,81.25,88.71,58.82,53.02,-143.77,76.98,Upgrade
EBIT Margin,7.92%,9.39%,6.79%,6.78%,-20.89%,12.16%,Upgrade
Effective Tax Rate,-,29.50%,-,22.98%,-,-,Upgrade
Advertising Expenses,-,2,1.5,1.1,1.1,1.6,Upgrade
