Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,445.03,337.7,239.75,203.36
Short-Term Investments,742.73,468.69,560.88,734.61
Cash & Short-Term Investments,"1,188",806.39,800.63,937.97
Cash Growth,-,0.72%,-14.64%,-
Accounts Receivable,237.65,111.1,105.18,59.99
Other Receivables,-,105.06,71.37,63.21
Receivables,237.65,216.16,176.55,123.2
Prepaid Expenses,90.85,64.86,45.96,58.14
Restricted Cash,13.68,12.3,-,25.12
Other Current Assets,228.96,187.32,138.7,126.91
Total Current Assets,"1,759","1,287","1,162","1,271"
"Property, Plant & Equipment",172.13,142.03,157.5,146.21
Goodwill,-,27.49,-,-
Other Long-Term Assets,31.28,4.48,0.91,0.2
Total Assets,"1,962","1,461","1,320","1,418"
Accounts Payable,40.03,35.85,22.14,20.79
Accrued Expenses,181.59,180.98,141.81,83.32
Current Portion of Leases,-,15.75,11.96,6.27
Other Current Liabilities,134.3,142.25,112.74,105.14
Total Current Liabilities,355.92,374.82,288.65,215.52
Long-Term Leases,125.84,80.59,92.93,94.54
Other Long-Term Liabilities,37.28,46.11,2.16,6.66
Total Liabilities,519.04,501.52,383.74,316.71
Common Stock,0.03,0,0,0
Additional Paid-In Capital,"4,773",433.36,384.49,353.37
Retained Earnings,"-3,329","-2,364","-2,339","-2,136"
Comprehensive Income & Other,-0.08,0.2,0.72,-6.83
Total Common Equity,"1,443","-1,931","-1,954","-1,789"
Shareholders' Equity,"1,443",959.52,936.51,"1,101"
Total Liabilities & Equity,"1,962","1,461","1,320","1,418"
Total Debt,125.84,96.34,104.89,100.81
Net Cash (Debt),"1,062",710.05,695.73,837.17
Net Cash Growth,-,2.06%,-16.89%,-
Net Cash Per Share,6.71,10.94,11.03,14.46
Filing Date Shares Outstanding,374.42,66.95,64.39,57.88
Total Common Shares Outstanding,374.42,66.95,64.39,57.88
Working Capital,"1,403",912.22,873.19,"1,056"
Book Value Per Share,3.85,-28.84,-30.34,-30.91
Tangible Book Value,"1,443","-1,958","-1,954","-1,789"
Tangible Book Value Per Share,3.85,-29.25,-30.34,-30.91
Machinery,-,12.91,11.66,9.94
Leasehold Improvements,-,61.74,58.88,50.7
