Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Jan '21Jan 31, 2021"
Revenue,206.45,151.27,126.84,3.04,-,-
Revenue Growth (YoY),35.41%,19.26%,4076.56%,-,-,-
Cost of Revenue,136.3,123.16,107.71,0.75,-,-
Gross Profit,70.15,28.11,19.13,2.29,-,-
"Selling, General & Admin",35.49,32.66,27.8,70.84,78.71,0.04
Other Operating Expenses,-50.24,-66.19,-11.04,1.46,-,-
Operating Expenses,168.67,68.91,75.85,76.68,78.71,0.04
Operating Income,-98.51,-40.8,-56.72,-74.39,-78.71,-0.04
Interest Expense,-3.79,-1.71,-2,-0.14,-0.03,-
Interest & Investment Income,1.3,3.38,0.16,0.22,0,-
Earnings From Equity Investments,-9.86,-0.38,-2.53,-36.97,-,-
Other Non Operating Income (Expenses),35.08,-4.81,36.52,74.07,0.14,-
EBT Excluding Unusual Items,-75.79,-44.32,-24.57,-37.21,-78.6,-0.04
Merger & Restructuring Charges,-,-,-,-,-0.11,-
Other Unusual Items,4.05,-,2.36,-,-,-
Pretax Income,-71.74,-44.32,-22.21,-37.21,-78.71,-0.04
Income Tax Expense,-1.21,0.32,3.57,1.84,-,-
Net Income,-70.53,-44.64,-25.78,-39.05,-78.71,-0.04
Net Income to Common,-70.53,-44.64,-25.78,-39.05,-78.71,-0.04
Shares Outstanding (Basic),369,323,252,248,218,-
Shares Outstanding (Diluted),369,323,252,248,218,-
Shares Change (YoY),22.61%,27.99%,1.70%,13.85%,-,-
EPS (Basic),-0.19,-0.14,-0.10,-0.16,-0.36,-
EPS (Diluted),-0.19,-0.14,-0.10,-0.16,-0.36,-
Free Cash Flow,-520.27,-389.96,-148.63,-248.24,-165.42,-
Free Cash Flow Per Share,-1.41,-1.21,-0.59,-1.00,-0.76,-
Gross Margin,33.98%,18.58%,15.09%,75.37%,-,-
Operating Margin,-47.72%,-26.97%,-44.71%,-2449.32%,-,-
Profit Margin,-34.16%,-29.51%,-20.32%,-1285.91%,-,-
Free Cash Flow Margin,-252.00%,-257.79%,-117.18%,-8173.76%,-,-
EBITDA,84.91,61.65,2.38,-70.01,-78.71,-
EBITDA Margin,41.13%,40.75%,1.87%,-,-,-
D&A For EBITDA,183.42,102.45,59.09,4.38,0.01,-
EBIT,-98.51,-40.8,-56.72,-74.39,-78.71,-0.04
EBIT Margin,-47.72%,-26.97%,-44.71%,-,-,-
