Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Jan '21Jan 31, 2021"
Market Capitalization,"8,866","1,614","1,062",139,"1,141",220
Market Cap Growth,391.52%,52.01%,665.82%,-87.85%,417.66%,-
Enterprise Value,"8,531","1,612","1,084",116,858,-
Last Close Price,24.71,4.64,4.13,0.56,4.63,10.26
Forward PE,52.94,10.83,258.13,-,-,-
PS Ratio,44.20,10.67,8.37,45.65,-,-
PB Ratio,12.42,2.37,2.16,0.40,3.23,-63323.07
P/TBV Ratio,11.24,2.40,2.20,0.41,3.23,-
EV/Sales Ratio,41.32,10.65,8.54,38.29,-,-
EV/EBITDA Ratio,100.47,26.14,456.05,-,-,-
Debt / Equity Ratio,1.33,0.08,0.05,0.06,-,-
Debt / EBITDA Ratio,11.93,0.88,5.07,-,-,-
Asset Turnover,0.11,0.21,0.26,0.01,-,-
Quick Ratio,2.12,0.06,2.57,0.30,420.52,-
Current Ratio,2.49,1.28,4.60,1.18,448.22,-
Return on Equity (ROE),-9.69%,-7.61%,-6.18%,-11.21%,-,-
Return on Assets (ROA),-3.40%,-3.59%,-7.20%,-12.03%,-,-
Return on Capital (ROIC),-4.88%,-4.07%,-8.09%,-12.97%,-,-
Earnings Yield,-0.81%,-2.77%,-2.43%,-28.17%,-6.90%,-0.02%
FCF Yield,-5.98%,-24.16%,-14.00%,-179.07%,-14.50%,-
Buyback Yield / Dilution,-22.61%,-27.99%,-1.70%,-13.85%,-,-
