Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,212.45,176.26,181.13,173.66,396.75,156.61,114.99,127.03,108.52,113.15,116.15
Short-Term Investments,63.71,48.57,23.52,27.85,22.22,16.44,12.65,-,-,-,-
Trading Asset Securities,1.48,5.26,14.22,41.54,10.81,-,-,-,-,-,-
Cash & Short-Term Investments,277.64,230.09,218.88,243.05,429.78,173.06,127.64,127.03,108.52,113.15,116.15
Cash Growth,76.86%,5.12%,-9.94%,-43.45%,148.35%,35.58%,0.48%,17.05%,-4.09%,-2.58%,29.05%
Accounts Receivable,969.85,869.95,726.76,669.8,573.71,433.25,436.72,554.7,487.28,347.61,318.37
Other Receivables,157.46,139.24,155.85,114.25,252.21,103,80.31,13.09,13.82,8.48,13.99
Receivables,"1,314","1,124","1,096",837.63,"1,024",787.03,535.47,567.79,501.09,356.09,332.36
Prepaid Expenses,165.41,90.52,73.59,61.32,44.17,35.96,42.83,62.47,54.74,37.08,31.86
Restricted Cash,45.66,41.72,37.94,25.38,28.53,20.92,-,-,-,-,-
Other Current Assets,69.56,112.7,48.24,46.04,44.86,18.85,12.12,-,-,-,-
Total Current Assets,"1,872","1,599","1,474","1,213","1,571","1,036",718.06,757.3,664.36,506.32,495.98
"Property, Plant & Equipment",648.7,625.82,593.4,506.12,461.27,417.36,370.84,93.48,83.9,65.27,62.55
Long-Term Investments,-,69.61,52.5,59.51,42.16,20.36,15.68,11.71,6.51,7.03,5.9
Goodwill,"2,629","2,298","2,038","1,989","1,091","1,089",949.22,887.89,455.13,348.01,305.68
Other Intangible Assets,"1,242","1,184","1,080","1,160",561.83,610.33,477.45,497.93,183.04,139.56,120.96
Long-Term Accounts Receivable,21.32,22.4,19.69,15.76,7.65,5.34,6.16,10.96,7.1,-,-
Long-Term Deferred Tax Assets,91.3,79.26,59.47,63.46,68.5,45.01,37.42,34.2,48.4,82.25,84.04
Long-Term Deferred Charges,-,5.79,3.11,4.04,2.46,3.75,4.47,4.23,2.95,2.04,2.68
Other Long-Term Assets,301.24,111.38,66.47,20.43,19.83,22.33,265.13,13.22,11.19,11.31,4.52
Total Assets,"6,806","6,101","5,482","5,098","3,874","3,292","2,893","2,358","1,508","1,190","1,092"
