Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,552","6,866","6,001","3,945","6,554","3,560","3,101","2,163","2,353","1,424","1,690"
Market Cap Growth,-2.41%,14.40%,52.14%,-39.81%,84.08%,14.81%,43.38%,-8.06%,65.24%,-15.73%,-8.14%
Enterprise Value,"11,038","10,031","9,107","6,538","8,027","5,317","4,256","3,152","2,759","1,783","2,041"
Last Close Price,148.15,135.81,126.06,91.46,147.26,88.17,77.01,54.28,59.43,36.13,43.67
PE Ratio,64.54,42.45,91.56,85.28,-,72.55,30.14,22.15,45.80,20.95,72.37
PS Ratio,1.38,1.42,1.38,0.89,1.60,1.28,1.02,0.77,0.97,0.75,0.98
PB Ratio,2.78,2.77,3.12,2.51,5.84,3.46,3.54,2.94,5.25,4.10,5.84
P/FCF Ratio,34.12,26.31,73.96,-,28.37,28.23,11.63,9.75,13.57,10.85,12.54
P/OCF Ratio,26.15,21.06,36.23,58.85,22.68,21.39,9.98,8.40,11.05,9.11,10.75
EV/Sales Ratio,2.02,2.08,2.10,1.47,1.96,1.91,1.40,1.12,1.13,0.94,1.19
EV/EBITDA Ratio,17.18,17.21,16.47,10.65,14.69,17.57,12.47,10.43,11.73,9.16,11.66
EV/EBIT Ratio,28.45,27.76,26.00,14.98,20.00,30.10,17.25,14.11,15.14,11.91,14.96
EV/FCF Ratio,49.87,38.45,112.24,-,34.74,42.16,15.97,14.21,15.92,13.59,15.15
Debt / Equity Ratio,0.92,0.83,1.11,1.33,1.16,1.22,1.04,0.91,0.56,0.76,0.90
Debt / EBITDA Ratio,3.15,2.83,3.12,2.87,1.97,3.04,2.04,2.22,1.06,1.35,1.49
Debt / FCF Ratio,11.33,7.90,26.34,-,5.61,9.93,3.42,3.03,1.44,2.00,1.94
Asset Turnover,0.84,0.83,0.82,0.99,1.14,0.90,1.16,1.46,1.81,1.66,1.26
Quick Ratio,0.86,0.82,0.76,0.77,0.82,0.64,0.70,0.87,0.84,0.92,0.94
Current Ratio,1.14,1.06,1.02,0.90,1.02,0.94,0.78,0.95,0.92,0.99,1.03
Return on Equity (ROE),8.61%,10.77%,8.28%,14.44%,-22.09%,9.92%,17.07%,21.72%,23.64%,28.78%,11.87%
Return on Assets (ROA),3.72%,3.90%,4.14%,6.08%,7.00%,3.57%,5.87%,7.22%,8.45%,8.20%,6.24%
Return on Capital (ROIC),4.84%,5.25%,5.67%,8.96%,10.68%,5.43%,9.65%,13.26%,17.42%,16.14%,14.37%
Return on Capital Employed (ROCE),7.50%,7.90%,8.70%,11.60%,17.20%,8.10%,12.50%,14.30%,23.30%,22.00%,22.20%
Earnings Yield,1.55%,2.36%,1.09%,1.17%,-5.96%,1.38%,3.32%,4.52%,2.18%,4.77%,1.38%
FCF Yield,2.93%,3.80%,1.35%,-0.02%,3.52%,3.54%,8.60%,10.26%,7.37%,9.22%,7.97%
Dividend Yield,0.20%,0.22%,0.24%,0.33%,0.14%,0.11%,0.13%,0.18%,0.17%,0.28%,0.32%
Payout Ratio,13.07%,9.07%,20.62%,28.32%,-,8.13%,3.83%,4.00%,7.54%,5.11%,30.75%
Buyback Yield / Dilution,-2.42%,-8.45%,-5.36%,-2.33%,-6.82%,-0.50%,-0.47%,-1.24%,-1.13%,-3.41%,-3.52%
Total Shareholder Return,-2.22%,-8.22%,-5.13%,-2.00%,-6.69%,-0.38%,-0.34%,-1.05%,-0.96%,-3.13%,-3.20%
