Period Ending,"Aug '25Aug 31, 2025","Nov '24Nov 30, 2024","Nov '23Nov 30, 2023","Nov '22Nov 30, 2022","Nov '21Nov 30, 2021","Nov '20Nov 30, 2020","Nov '19Nov 30, 2019","Nov '18Nov 30, 2018","Nov '17Nov 30, 2017"
Cash & Equivalents,350.26,240.57,295.34,145.38,182.04,152.66,79.66,123.39,-
Cash & Short-Term Investments,350.26,240.57,295.34,145.38,182.04,152.66,79.66,123.39,-
Cash Growth,42.24%,-18.54%,103.14%,-20.14%,19.25%,91.64%,-35.44%,-,-
Accounts Receivable,"2,052","1,927","1,889","1,390","1,208","1,081",931.08,943.61,-
Other Receivables,-,-,-,-,-,-,17.5,14.85,-
Receivables,"2,052","1,927","1,889","1,390","1,208","1,081","1,016",995.68,-
Restricted Cash,188.23,189.03,221.15,12.08,0.97,3.7,3.86,4.5,-
Other Current Assets,547.11,486.08,453.27,206.4,152.1,185.54,199.84,174.98,-
Total Current Assets,"3,138","2,842","2,859","1,754","1,543","1,423","1,300","1,299",-
"Property, Plant & Equipment","1,587","1,531","1,562",876.87,896.32,958.02,411.47,419.6,-
Goodwill,"5,192","4,987","5,079","2,904","1,814","1,836","1,829","1,776",-
Other Intangible Assets,"2,079","2,287","2,805",985.57,655.53,798.96,934.12,"1,104",-
Long-Term Deferred Tax Assets,282.49,218.4,72.33,48.54,48.41,47.42,64.88,71.35,-
Other Long-Term Assets,132.5,125.64,114.93,100.05,89.54,113.73,114.36,97.47,-
Total Assets,"12,410","11,991","12,492","6,670","5,046","5,178","4,654","4,767",-
Accounts Payable,221.57,209.81,243.57,161.19,129.36,140.58,192.05,136.65,-
Accrued Expenses,"1,238","1,448","1,498",718.86,639.21,621.52,506.57,602.94,-
Short-Term Debt,-,-,-,-,-,-,"1,981","2,243",-
Current Portion of Long-Term Debt,37.5,2.52,2.31,-,-,33.75,-,-,-
Current Portion of Leases,252.17,235.91,229.01,158.8,153.33,163.05,-,-,-
Current Income Taxes Payable,81.36,99.55,80.58,68.66,33.78,20.73,16.21,29.41,-
Other Current Liabilities,178.56,0.17,20.86,24.61,12.54,29.04,2.1,0.97,-
Total Current Liabilities,"2,009","1,996","2,074","1,132",968.21,"1,009","2,698","3,013",-
Long-Term Debt,"4,818","4,741","4,957","2,224",802.02,"1,111",-,-,-
Long-Term Leases,638.55,625.89,623.29,340.67,354.47,373.64,-,-,-
Pension & Post-Retirement Benefits,-,61.25,64.87,56.9,-,-,-,-,-
Long-Term Deferred Tax Liabilities,302.41,312.57,414.25,105.46,109.47,153.56,188.57,181.08,-
Other Long-Term Liabilities,297.54,215.67,215.16,114.42,191.94,228.24,297.03,253.41,-
Total Liabilities,"8,066","7,952","8,349","3,974","2,426","2,875","3,184","3,447",-
Common Stock,0.01,0.01,0.01,0.01,0.01,"2,306","1,520","1,359",-
Additional Paid-In Capital,"3,766","3,684","3,583","2,428","2,356",-,-,-,-
Retained Earnings,"1,326","1,192","1,024",774.11,392.5,-,-,-,-
Treasury Stock,-537.97,-421.45,-271.97,-190.78,-57.49,-,-,-,-
Comprehensive Income & Other,-209.12,-414.31,-191.73,-315.75,-70.53,-3.81,-50.08,-39.2,-
Shareholders' Equity,"4,344","4,040","4,143","2,696","2,620","2,302","1,470","1,320",-
Total Liabilities & Equity,"12,410","11,991","12,492","6,670","5,046","5,178","4,654","4,767",-
Total Debt,"5,747","5,605","5,812","2,724","1,310","1,682","1,981","2,243",-
Net Cash (Debt),"-5,396","-5,364","-5,516","-2,578","-1,128","-1,529","-1,902","-2,119",-
Net Cash Per Share,-84.81,-82.43,-102.13,-49.83,-21.72,-29.63,-36.85,-41.07,-
Filing Date Shares Outstanding,62.26,64.4,66.33,51.1,51.98,51.6,51.6,51.6,-
Total Common Shares Outstanding,62.21,64.24,65.73,51.1,51.59,51.6,51.6,51.6,-
Working Capital,"1,128",846.61,784.61,622.21,574.85,414.71,"-1,399","-1,714",-
Book Value Per Share,69.83,62.89,63.03,52.76,50.79,44.61,28.48,-,-
Tangible Book Value,"-2,927","-3,234","-3,740","-1,194",151.23,-332.92,"-1,294","-1,560",-
Tangible Book Value Per Share,-47.05,-50.35,-56.90,-23.37,2.93,-6.45,-25.07,-,-
Land,28.52,28.24,28.04,27.34,27.68,29,28.87,12.49,-
Buildings,688.26,617.88,566.38,362.22,364.17,336.19,280.38,237.02,-
Machinery,"1,141","1,005",920.39,631.38,578.71,567.19,462.34,383.08,-
Construction In Progress,50,44.57,35.18,14.98,10.74,10.12,9.94,18.05,-
