Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '17Dec 31, 2017"
Cash & Equivalents,125.3,98.17,53.23,139.89,219.68,242.19,37.42,28.27
Short-Term Investments,265.59,188.91,212.48,119.39,-,-,-,-
Cash & Short-Term Investments,390.89,287.08,265.71,259.28,219.68,242.19,37.42,28.27
Cash Growth,16.50%,8.04%,2.48%,18.02%,-9.29%,547.15%,32.38%,-
Receivables,-,-,-,-,-,-,2,0.83
Prepaid Expenses,6.35,9.4,5.06,4.44,2.95,2.72,1.17,-
Restricted Cash,-,-,-,1.26,-,-,-,-
Total Current Assets,397.24,296.47,270.77,264.97,222.63,244.91,40.59,42.38
"Property, Plant & Equipment",23.87,26.56,30.34,31.1,4.48,4.75,7.15,4.11
Long-Term Investments,-,-,7.46,-,-,-,-,-
Other Long-Term Assets,4.82,4.86,4.86,4.75,4.98,1.26,1.68,-
Total Assets,425.93,327.9,313.44,300.81,232.09,250.92,49.42,49.12
Accounts Payable,16.03,12.01,10.66,5.84,3.48,0.73,3.18,1.35
Accrued Expenses,43.23,41.76,25.69,17.48,7.98,4.47,6.24,-
Current Portion of Leases,1.71,1.57,1.39,1.42,2.32,2.05,1.62,-
Current Unearned Revenue,-,-,-,-,-,-,1.32,-
Other Current Liabilities,1.29,0.37,0.44,2.1,3.3,5.84,0.89,-
Total Current Liabilities,62.25,55.71,38.17,26.85,17.08,13.09,13.25,11.19
Long-Term Leases,14.6,15.9,17.47,18.23,0.83,3.16,4.41,-
Other Long-Term Liabilities,2.37,-,-,-,-,-,-,9.62
Total Liabilities,123.47,71.61,55.64,45.08,17.91,16.25,17.66,20.81
Common Stock,0.14,0.11,0.09,0.07,0.04,0.03,0.01,-
Additional Paid-In Capital,"1,280","1,005",801.06,601.15,399.71,322.45,155.65,-
Retained Earnings,"-1,086",-859.48,-603.62,-411.21,-270.97,-198.7,-123.89,-
Comprehensive Income & Other,0.21,0.45,0.25,-0.1,-,-,-,-
Total Common Equity,194.55,145.69,197.77,189.91,128.78,123.79,31.76,28.31
Shareholders' Equity,302.46,256.29,257.8,255.74,214.18,234.67,31.76,28.31
Total Liabilities & Equity,425.93,327.9,313.44,300.81,232.09,250.92,49.42,49.12
Total Debt,60.56,17.47,18.85,19.65,3.16,5.21,6.03,-
Net Cash (Debt),330.33,269.61,254.32,239.63,216.53,236.98,31.39,-
Net Cash Growth,0.80%,6.01%,6.13%,10.67%,-8.63%,654.91%,-,-
Net Cash Per Share,2.77,2.59,3.19,4.07,5.59,21.39,4.12,-
Filing Date Shares Outstanding,142.45,110.54,103.91,69.95,45.81,37.19,7.67,-
Total Common Shares Outstanding,139.9,110.54,86.12,69.89,43.81,32.35,7.67,-
Working Capital,335,240.76,232.6,238.12,205.56,231.82,27.34,-
Book Value Per Share,1.39,1.32,2.30,2.72,2.94,3.83,4.14,-
Tangible Book Value,194.55,145.69,197.77,189.91,128.78,123.79,31.76,-
Tangible Book Value Per Share,1.39,1.32,2.30,2.72,2.94,3.83,4.14,-
Machinery,-,10.08,9.54,6.93,1.21,0.14,6.07,-
Construction In Progress,-,0.04,0.03,0.48,0.65,-,-,-
Leasehold Improvements,-,2.46,2.44,1.78,0.41,0.41,0.43,-
