Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,424","3,369","3,487","3,464","3,126","2,502","3,042","2,802","2,466","2,377","2,326"
Revenue Growth (YoY),2.75%,-3.40%,0.66%,10.80%,24.98%,-17.78%,8.57%,13.63%,3.75%,2.19%,10.74%
Cost of Revenue,"1,698","1,677","1,757","1,753","1,514","1,278","1,527","1,416","1,306","1,267","1,253"
Gross Profit,"1,726","1,691","1,730","1,711","1,612","1,224","1,516","1,386","1,160","1,110","1,074"
"Selling, General & Admin","1,436","1,388","1,358","1,250","1,124",989.53,"1,136","1,049",910.89,800.57,772.3
Other Operating Expenses,-22.73,-23.56,-21.67,-22.02,-18.37,-12.11,-15.49,-15.79,-13.9,-10.24,-8.19
Operating Expenses,"1,469","1,420","1,395","1,282","1,161","1,041","1,120","1,033",896.99,849.53,819.61
Operating Income,256.62,270.74,335.28,428.7,451,183.05,395.37,353.08,262.97,260.82,253.89
Interest Expense,-,-,-,-,-,-,-,-,-0.43,-1.04,-1.1
Interest & Investment Income,19.32,27.7,13.69,2.71,1.38,0.44,8.3,9.88,4.52,2,1.53
Currency Exchange Gain (Loss),5.22,5.95,-1.3,-1.64,-0.16,-2.05,0.41,3.33,-4.12,2.74,2.84
Other Non Operating Income (Expenses),-3.06,-6.21,3.52,3.23,-0.22,4.09,1.75,-3.48,3.8,-3.31,-5.67
EBT Excluding Unusual Items,278.11,298.19,351.19,433.01,452.01,185.52,405.83,362.82,266.73,261.21,251.49
Merger & Restructuring Charges,-,-,-,-,-,-16.5,-,-,-,-,-
Impairment of Goodwill,-29,-,-25,-16.9,-,-,-,-,-,-,-
Asset Writedown,-,-,-,-18.7,-0.5,-29.5,-0.4,-2.1,-,-4.31,-4.17
Pretax Income,249.11,298.19,326.19,397.41,451.51,139.52,405.43,360.72,266.73,256.9,247.32
Income Tax Expense,62.49,74.91,74.79,85.97,97.4,31.51,74.94,85.77,154.42,58.46,67.47
Earnings From Continuing Operations,186.61,223.27,251.4,311.44,354.11,108.01,330.49,274.95,112.32,198.44,179.85
Minority Interest in Earnings,-,-,-,-,-,-,-,-6.69,-7.19,-6.54,-5.51
Net Income,186.61,223.27,251.4,311.44,354.11,108.01,330.49,268.26,105.12,191.9,174.34
Net Income to Common,186.61,223.27,251.4,311.44,354.11,108.01,330.49,268.26,105.12,191.9,174.34
Net Income Growth,-12.82%,-11.19%,-19.28%,-12.05%,227.84%,-67.32%,23.20%,155.18%,-45.22%,10.07%,27.09%
Shares Outstanding (Basic),55,58,61,63,66,66,68,70,70,70,70
Shares Outstanding (Diluted),56,59,61,63,66,67,68,70,70,71,71
Shares Change (YoY),-6.43%,-4.76%,-2.46%,-5.19%,-0.53%,-2.51%,-2.71%,-0.07%,-0.25%,-0.61%,0.54%
EPS (Basic),3.37,3.83,4.11,4.96,5.37,1.63,4.87,3.85,1.51,2.75,2.48
EPS (Diluted),3.37,3.82,4.09,4.95,5.33,1.62,4.83,3.81,1.49,2.72,2.45
EPS Growth,-6.37%,-6.60%,-17.37%,-7.13%,229.01%,-66.46%,26.77%,155.71%,-45.22%,11.02%,26.29%
Free Cash Flow,169.49,431.24,581.69,-83.71,319.66,247.32,161.94,223.95,287.78,225.18,25.19
Free Cash Flow Per Share,3.05,7.37,9.47,-1.33,4.81,3.70,2.36,3.18,4.08,3.19,0.35
Dividend Per Share,1.200,1.200,1.200,1.200,1.040,0.260,0.960,0.900,0.730,0.690,0.620
Dividend Growth,-,-,-,15.38%,300.00%,-72.92%,6.67%,23.29%,5.80%,11.29%,8.77%
Gross Margin,50.40%,50.20%,49.61%,49.39%,51.58%,48.93%,49.82%,49.47%,47.04%,46.71%,46.15%
Operating Margin,7.50%,8.04%,9.62%,12.38%,14.43%,7.32%,13.00%,12.60%,10.66%,10.97%,10.91%
Profit Margin,5.45%,6.63%,7.21%,8.99%,11.33%,4.32%,10.86%,9.57%,4.26%,8.07%,7.50%
Free Cash Flow Margin,4.95%,12.80%,16.68%,-2.42%,10.22%,9.89%,5.32%,7.99%,11.67%,9.47%,1.08%
EBITDA,312.53,326.69,393.35,483.46,566.58,329.65,517.1,414.28,326.77,320.83,310.41
EBITDA Margin,9.13%,9.70%,11.28%,13.96%,18.12%,13.18%,17.00%,14.78%,13.25%,13.50%,13.34%
D&A For EBITDA,55.9,55.94,58.06,54.75,115.57,146.6,121.73,61.2,63.8,60.02,56.52
EBIT,256.62,270.74,335.28,428.7,451,183.05,395.37,353.08,262.97,260.82,253.89
EBIT Margin,7.50%,8.04%,9.62%,12.38%,14.43%,7.32%,13.00%,12.60%,10.66%,10.97%,10.91%
Effective Tax Rate,25.09%,25.12%,22.93%,21.63%,21.57%,22.58%,18.48%,23.78%,57.89%,22.76%,27.28%
Advertising Expenses,-,198.7,209.4,205.9,184.8,141.3,166.4,150.4,121.8,118.66,120.76
