Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,1.54,1.04,4.01,4.74,1.08,0.07,1.19,2.43,2.05,0.59
Revenue Growth (YoY),47.74%,-74.11%,-15.28%,339.43%,1418.31%,-94.05%,-50.87%,18.73%,247.20%,-
Cost of Revenue,313.57,240.16,168.53,130.23,84.26,57,41.51,24.48,9.23,5.1
Gross Profit,-312.04,-239.12,-164.51,-125.49,-83.18,-56.93,-40.31,-22.05,-7.19,-4.51
"Selling, General & Admin",165.81,99.74,58.09,42.39,24.53,18.03,13.52,6.66,1.94,1.53
Operating Expenses,165.81,99.74,58.09,42.39,24.53,18.03,13.52,6.66,1.94,1.53
Operating Income,-477.85,-338.85,-222.61,-167.88,-107.7,-74.95,-53.83,-28.71,-9.13,-6.04
Interest Expense,-,-,-,-,-,-,-,-,-,-0.01
Interest & Investment Income,55.2,41.44,13.44,4.32,0.16,0.99,3.46,1.75,0.03,0.04
Earnings From Equity Investments,-,-0.47,-5.2,-1.01,-,-,-,-,-,-
Currency Exchange Gain (Loss),-,-,-,-,-0.11,-,-,-,-,-
Other Non Operating Income (Expenses),-0.45,-0.52,-0.16,0.66,0.01,0.15,-0.05,-0.15,-0.06,-0
Pretax Income,-423.1,-298.41,-214.53,-163.92,-107.64,-73.81,-50.42,-27.12,-9.16,-6.02
Net Income,-423.1,-298.41,-214.53,-163.92,-107.64,-73.81,-50.42,-27.12,-9.16,-6.02
Net Income to Common,-423.1,-298.41,-214.53,-163.92,-107.64,-73.81,-50.42,-27.12,-9.16,-6.02
Shares Outstanding (Basic),93,81,58,52,38,30,24,12,1,1
Shares Outstanding (Diluted),93,81,58,52,38,30,24,12,1,1
Shares Change (YoY),24.75%,39.11%,11.71%,35.24%,26.24%,25.95%,99.10%,785.63%,35.61%,-
EPS (Basic),-4.54,-3.69,-3.69,-3.15,-2.80,-2.42,-2.09,-2.23,-6.68,-5.95
EPS (Diluted),-4.54,-3.69,-3.69,-3.15,-2.80,-2.42,-2.09,-2.23,-6.68,-5.95
Free Cash Flow,-354,-229.81,-171,-116.86,-89.02,-62.21,-46.87,-20.52,-9.78,-5.66
Free Cash Flow Per Share,-3.80,-2.85,-2.94,-2.25,-2.32,-2.04,-1.94,-1.69,-7.14,-5.60
Operating Margin,-31130.16%,-32613.47%,-5547.17%,-3544.06%,-9990.91%,-105567.61%,-4512.32%,-1182.45%,-446.31%,-1026.15%
Profit Margin,-27563.32%,-28720.69%,-5345.85%,-3460.38%,-9985.25%,-103960.56%,-4226.49%,-1116.76%,-447.78%,-1021.90%
Free Cash Flow Margin,-23061.95%,-22118.77%,-4261.03%,-2466.98%,-8258.26%,-87623.94%,-3929.00%,-845.06%,-478.39%,-960.61%
EBITDA,-474.16,-336.07,-221.51,-166.9,-106.78,-74.01,-52.95,-28.24,-9,-5.95
D&A For EBITDA,3.68,2.79,1.1,0.98,0.92,0.95,0.89,0.47,0.13,0.09
EBIT,-477.85,-338.85,-222.61,-167.88,-107.7,-74.95,-53.83,-28.71,-9.13,-6.04
Revenue as Reported,-,-,-,-,-,0.07,1.19,-,-,-
