Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,006","3,360","4,972","3,183","5,799","10,818","3,621","1,489",963,807,-
Market Cap Growth,22.64%,-32.44%,56.24%,-45.12%,-46.39%,198.74%,143.22%,54.58%,19.42%,-,-
Enterprise Value,"3,273","1,651","3,474","1,452","3,527","9,501","3,033","1,002",710,763,-
Last Close Price,52.53,39.36,62.60,40.65,75.78,153.11,60.91,28.57,23.48,20.26,-
PE Ratio,-,-,-,-,15.36,-,54.16,-,-,-,-
PS Ratio,119.84,90.03,13.40,2656.64,6.34,15045.33,12.50,476.58,23.49,156.18,-
PB Ratio,2.57,1.74,2.64,1.70,2.42,6.50,3.86,3.80,5.13,3.46,-
P/TBV Ratio,2.61,1.74,2.64,1.70,2.42,6.50,3.86,3.80,5.14,3.47,-
P/FCF Ratio,-,-,-,-,12.68,-,72.43,-,-,-,-
P/OCF Ratio,-,-,-,-,10.76,-,63.89,-,-,-,-
EV/Sales Ratio,85.38,44.26,9.36,1211.76,3.86,13213.93,10.47,320.59,17.31,147.84,-
EV/EBITDA Ratio,-,-,-,-,9.01,-,58.93,-,-,-,-
EV/EBIT Ratio,-,-,-,-,9.44,-,64.89,-,-,-,-
EV/FCF Ratio,-,-,-,-,7.71,-,60.67,-,-,-,-
Debt / Equity Ratio,0.11,0.12,0.13,0.13,0.09,0.04,0.06,-,-,-,1.08
Debt / EBITDA Ratio,-,-,-,-,0.53,-,0.77,-,-,-,-
Debt / FCF Ratio,-,-,-,-,0.49,-,1.05,-,-,-,0.66
Asset Turnover,0.02,0.02,0.17,0,0.40,0,0.37,0.01,0.13,0.02,0.00
Quick Ratio,16.10,22.00,17.47,15.08,19.92,18.05,17.17,16.58,16.70,14.49,15.39
Current Ratio,16.22,22.07,17.54,15.30,20.17,18.21,17.29,16.81,17.12,14.56,15.45
Return on Equity (ROE),-25.33%,-19.20%,-8.17%,-30.42%,18.59%,-26.80%,10.04%,-56.89%,-32.50%,-17.30%,-148.89%
Return on Assets (ROA),-13.28%,-13.04%,-6.22%,-16.85%,10.20%,-15.30%,3.75%,-26.13%,-13.11%,-16.88%,-19.98%
Return on Capital (ROIC),-13.92%,-13.63%,-6.56%,-17.74%,10.73%,-16.30%,4.22%,-34.25%,-19.21%,-27.78%,-44.04%
Return on Capital Employed (ROCE),-22.50%,-21.70%,-10.50%,-31.70%,14.20%,-20.40%,4.60%,-34.50%,-25.20%,-21.10%,-17.20%
Earnings Yield,-9.75%,-10.90%,-3.09%,-20.43%,6.51%,-3.23%,1.85%,-11.08%,-7.10%,-2.87%,-
FCF Yield,-6.06%,-4.31%,-5.43%,-16.74%,7.89%,-2.37%,1.38%,-6.65%,-8.09%,-6.93%,-
Buyback Yield / Dilution,-5.48%,-6.49%,-1.90%,3.29%,-21.90%,-15.84%,-18.70%,-19.74%,-226.80%,-143.33%,-41.50%
