Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Apr '23Apr 1, 2023","Apr '22Apr 2, 2022","Apr '21Apr 3, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Apr '17Apr 1, 2017","Apr '16Apr 2, 2016"
Market Capitalization,"4,265","4,118","3,331","2,762","2,234","2,136","1,357","1,069","1,570","1,047",831
Market Cap Growth,26.11%,23.65%,20.58%,23.63%,4.59%,57.39%,26.94%,-31.90%,49.99%,26.03%,24.96%
Enterprise Value,"3,910","3,779","3,007","2,400","1,976","1,823","1,154",922,"1,475",973,792
Last Close Price,546.26,513.96,399.06,317.74,243.84,232.41,148.47,117.53,173.75,116.40,93.20
PE Ratio,22.41,24.08,21.11,11.48,11.30,27.87,18.08,15.58,25.53,27.58,29.10
Forward PE,20.72,20.21,19.00,13.88,12.45,27.15,16.05,17.49,26.41,26.22,24.15
PS Ratio,2.04,2.04,1.86,1.29,1.37,1.93,1.28,1.11,1.80,1.35,1.17
PB Ratio,3.96,3.87,3.22,2.83,2.69,3.13,2.23,2.02,3.44,2.65,2.35
P/TBV Ratio,4.50,4.45,3.77,3.32,3.19,3.60,2.62,2.39,4.20,3.33,3.04
P/FCF Ratio,23.69,26.22,16.07,13.06,17.79,24.14,15.53,42.43,31.04,25.85,20.75
P/OCF Ratio,20.26,23.07,14.83,10.80,15.49,18.74,13.34,32.57,26.63,22.86,19.08
PEG Ratio,1.39,1.35,0.84,0.62,0.55,1.21,0.71,0.78,1.76,1.75,1.38
EV/Sales Ratio,1.82,1.88,1.68,1.12,1.22,1.65,1.09,0.96,1.69,1.26,1.11
EV/EBITDA Ratio,15.31,17.21,15.23,7.61,9.29,19.31,12.94,10.79,20.10,17.35,17.25
EV/EBIT Ratio,16.63,18.87,16.80,8.04,9.79,20.69,13.84,11.42,21.26,18.58,18.86
EV/FCF Ratio,21.72,24.06,14.51,11.34,15.74,20.60,13.21,36.57,29.16,24.02,19.78
Debt / Equity Ratio,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.07,0.13,0.15,0.18
Debt / EBITDA Ratio,0.15,0.20,0.24,0.11,0.11,0.26,0.28,0.41,0.83,1.03,1.38
Debt / FCF Ratio,0.21,0.29,0.23,0.17,0.19,0.29,0.29,1.40,1.21,1.43,1.59
Asset Turnover,1.51,1.46,1.35,1.74,1.55,1.26,1.38,1.38,1.36,1.33,1.35
Inventory Turnover,6.33,6.04,5.22,6.10,6.50,7.10,7.24,6.72,6.80,6.53,6.68
Quick Ratio,1.70,1.71,1.72,1.34,1.30,1.80,1.93,1.56,1.50,1.46,1.27
Current Ratio,2.94,3.00,3.12,2.74,2.53,2.75,3.00,2.66,2.37,2.54,2.39
Return on Equity (ROE),18.50%,16.30%,15.71%,26.63%,26.11%,11.87%,13.20%,13.91%,14.45%,10.15%,8.48%
Return on Assets (ROA),10.32%,9.07%,8.40%,15.14%,11.97%,6.25%,6.79%,7.21%,6.76%,5.64%,4.97%
Return on Capital (ROIC),13.32%,11.42%,10.67%,19.95%,16.12%,8.20%,8.70%,9.31%,8.94%,7.53%,6.53%
Return on Capital Employed (ROCE),20.80%,18.10%,16.60%,29.40%,23.40%,12.30%,13.10%,14.60%,13.90%,11.20%,9.80%
Earnings Yield,4.62%,4.15%,4.74%,8.71%,8.85%,3.59%,5.53%,6.42%,3.92%,3.63%,3.44%
FCF Yield,4.22%,3.81%,6.22%,7.66%,5.62%,4.14%,6.44%,2.36%,3.22%,3.87%,4.82%
Buyback Yield / Dilution,3.41%,3.86%,3.73%,3.67%,0.31%,-0.26%,-0.00%,-0.73%,-1.05%,-0.66%,-0.34%
