Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"2,528","2,548","2,502","2,325","2,158","1,914","1,661","1,392","1,107",844.8,603.8
Revenue Growth (YoY),-0.44%,1.86%,7.60%,7.74%,12.75%,15.20%,19.37%,25.74%,31.01%,39.91%,-
Cost of Revenue,486.7,442.7,475.6,444.2,444.2,414.6,411,394.7,368.9,390.6,407.4
Gross Profit,"2,042","2,106","2,026","1,881","1,714","1,499","1,250",997,737.9,454.2,196.4
"Selling, General & Admin",616.8,686.8,694.5,632.3,650.9,650.6,668.7,722.8,471.3,358,301
Research & Development,756.5,885.2,908.7,891.9,755.9,727.5,662.1,768.2,380.3,289.7,201.6
Operating Expenses,"1,373","1,572","1,603","1,524","1,407","1,378","1,331","1,491",851.6,647.7,502.6
Operating Income,668.4,533.5,422.8,356.5,306.9,121.2,-80.5,-494,-113.7,-193.5,-306.2
Interest Expense,-93.3,-25.1,-15.2,-12.4,-12.7,-10.8,-10.3,-9.7,-14,-17.3,-15.2
Interest & Investment Income,37.9,39,34.6,15.7,7.5,12.5,22.8,16.8,3,0.9,-
Currency Exchange Gain (Loss),-,-,-3.2,-,-,-,-,-,-,-3.6,-4.6
Other Non Operating Income (Expenses),1.6,4.5,-0.5,3.1,16.5,7.6,16,6.8,13.2,8.5,0.4
EBT Excluding Unusual Items,614.6,551.9,438.5,362.9,318.2,130.5,-52,-480.1,-111.5,-205,-325.6
Merger & Restructuring Charges,-50.9,-47.2,-39.3,-,-1.2,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,0.5,-0.2,-,5,-,17.5,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-31.3,-,-,-,-,-,-
Asset Writedown,-2.7,-0.1,-3.6,-175.2,-,-398.2,-,-,-,-,-
Other Unusual Items,5.4,5.4,158.8,-,13.6,-,-,-,-,-,-
Pretax Income,566.9,509.8,554.4,192.7,299.3,-250.2,-52,-480.1,-111.5,-205,-325.6
Income Tax Expense,64.4,57.5,100.8,-360.5,-36.5,6.1,0.7,4.8,0.2,5.2,0.3
Net Income,502.5,452.3,453.6,553.2,335.8,-256.3,-52.7,-484.9,-111.7,-210.2,-325.9
Net Income to Common,502.5,452.3,453.6,553.2,335.8,-256.3,-52.7,-484.9,-111.7,-210.2,-325.9
Net Income Growth,-12.88%,-0.29%,-18.00%,64.74%,-,-,-,-,-,-,-
Shares Outstanding (Basic),281,318,341,361,388,414,412,359,196,189,185
Shares Outstanding (Diluted),367,403,427,446,396,414,412,359,196,189,185
Shares Change (YoY),-11.08%,-5.58%,-4.31%,12.66%,-4.46%,0.66%,14.78%,83.05%,3.60%,2.48%,-
EPS (Basic),1.79,1.42,1.33,1.53,0.87,-0.62,-0.13,-1.35,-0.57,-1.11,-1.77
EPS (Diluted),1.67,1.40,1.31,1.52,0.87,-0.62,-0.13,-1.35,-0.57,-1.11,-1.77
EPS Growth,0.55%,6.57%,-13.79%,75.92%,-,-,-,-,-,-,-
Free Cash Flow,916.4,871.6,759.4,763.5,707.7,490.7,392.4,362.4,305,137.4,-63.9
Free Cash Flow Per Share,2.50,2.16,1.78,1.71,1.79,1.18,0.95,1.01,1.56,0.73,-0.35
Gross Margin,80.75%,82.63%,80.99%,80.89%,79.42%,78.34%,75.26%,71.64%,66.67%,53.76%,32.53%
Operating Margin,26.44%,20.94%,16.90%,15.33%,14.22%,6.33%,-4.85%,-35.50%,-10.27%,-22.91%,-50.71%
Profit Margin,19.87%,17.75%,18.13%,23.79%,15.56%,-13.39%,-3.17%,-34.84%,-10.09%,-24.88%,-53.97%
Free Cash Flow Margin,36.24%,34.21%,30.36%,32.84%,32.80%,25.64%,23.62%,26.04%,27.56%,16.26%,-10.58%
EBITDA,823.3,670.8,592.8,513.6,458.3,280.5,93,-327.2,68.1,-1.9,-156.6
EBITDA Margin,32.56%,26.32%,23.70%,22.09%,21.24%,14.66%,5.60%,-23.51%,6.15%,-0.22%,-25.94%
D&A For EBITDA,154.9,137.3,170,157.1,151.4,159.3,173.5,166.8,181.8,191.6,149.6
EBIT,668.4,533.5,422.8,356.5,306.9,121.2,-80.5,-494,-113.7,-193.5,-306.2
EBIT Margin,26.44%,20.94%,16.90%,15.33%,14.22%,6.33%,-4.85%,-35.50%,-10.27%,-22.91%,-50.71%
Effective Tax Rate,11.36%,11.28%,18.18%,-,-,-,-,-,-,-,-
Advertising Expenses,-,142.6,131.7,94.8,108.6,81.4,88.8,100.9,80.1,46.6,59.5
