Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,010","2,857","3,699","3,462","4,943","3,669","2,877","1,620","1,416","1,255","1,117"
Market Cap Growth,-25.82%,-22.75%,6.84%,-29.97%,34.74%,27.52%,77.59%,14.41%,12.80%,12.42%,-14.88%
Enterprise Value,"1,724","2,699","3,553","3,468","5,010","3,582","2,878","1,684","1,569","1,462","1,045"
Last Close Price,43.33,61.67,80.52,76.14,109.81,70.50,56.37,32.26,28.67,25.67,22.98
PE Ratio,31.40,64.90,16.28,10.45,21.61,37.41,18.77,15.58,-,78.78,46.00
Forward PE,32.10,34.40,30.12,11.68,19.27,22.28,20.59,12.99,17.07,25.82,29.97
PS Ratio,1.41,2.18,2.23,1.73,2.74,2.99,2.30,1.34,1.34,1.33,1.32
PB Ratio,1.06,1.53,2.04,2.19,3.80,3.61,2.50,1.66,1.62,1.53,1.33
P/TBV Ratio,1.21,1.85,2.42,2.68,4.98,5.28,3.40,2.45,2.62,2.66,2.40
P/FCF Ratio,10.76,61.57,28.42,19.15,25.05,32.93,21.92,16.52,20.24,18.97,-
P/OCF Ratio,7.75,23.92,13.17,8.82,14.60,19.60,12.52,8.73,7.82,10.06,9.45
PEG Ratio,-,1.05,1.05,1.05,1.05,1.05,1.05,0.87,1.14,0.61,1.43
EV/Sales Ratio,1.21,2.06,2.14,1.73,2.78,2.91,2.30,1.39,1.49,1.55,1.23
EV/EBITDA Ratio,9.74,14.32,9.17,6.51,12.56,14.72,10.04,6.51,8.59,10.67,8.43
EV/EBIT Ratio,51.23,52.52,14.21,8.57,18.14,26.63,16.34,10.95,18.04,38.36,23.87
EV/FCF Ratio,9.23,58.16,27.30,19.18,25.39,32.16,21.93,17.17,22.43,22.09,-
Debt / Equity Ratio,0.05,0.05,0.05,0.14,0.26,0.48,0.13,0.23,0.31,0.52,0.55
Debt / EBITDA Ratio,0.51,0.44,0.24,0.39,0.79,1.86,0.50,0.87,1.48,3.13,3.75
Debt / FCF Ratio,0.54,1.98,0.76,1.18,1.70,4.39,1.16,2.28,3.86,6.48,-
Asset Turnover,0.59,0.55,0.71,0.89,0.87,0.68,0.79,0.81,0.70,0.60,0.61
Inventory Turnover,2.05,2.02,2.68,3.31,3.46,2.94,3.47,3.61,3.42,3.31,3.12
Quick Ratio,1.80,1.71,1.77,1.65,1.55,1.17,1.84,1.89,1.66,2.67,2.79
Current Ratio,3.32,3.26,3.02,2.69,2.52,2.01,2.84,2.89,2.68,3.95,4.18
Return on Equity (ROE),3.50%,2.76%,13.60%,23.51%,20.38%,9.15%,14.47%,11.39%,0.03%,2.22%,3.21%
Return on Assets (ROA),0.87%,1.35%,6.71%,11.28%,8.27%,4.65%,6.96%,6.38%,3.60%,1.52%,1.97%
Return on Capital (ROIC),1.05%,1.66%,8.44%,14.73%,10.99%,5.99%,8.79%,8.20%,4.54%,1.86%,2.42%
Return on Capital Employed (ROCE),1.60%,2.60%,12.70%,21.80%,16.00%,9.20%,13.00%,12.10%,7.00%,2.80%,3.10%
Earnings Yield,3.19%,1.54%,6.14%,9.57%,4.63%,2.67%,5.33%,6.42%,-0.13%,1.27%,2.17%
FCF Yield,9.30%,1.62%,3.52%,5.22%,3.99%,3.04%,4.56%,6.05%,4.94%,5.27%,-1.35%
Buyback Yield / Dilution,-0.20%,-0.21%,-0.60%,-0.56%,12.18%,-0.53%,-1.82%,-4.32%,1.94%,-0.58%,-1.86%
