Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Revenue,3.68,3.62,4.13,1.47,-
Revenue Growth (YoY),9.14%,-12.40%,180.93%,-,-
Cost of Revenue,1.49,0.62,0.16,0.05,-
Gross Profit,2.19,3,3.97,1.42,-
"Selling, General & Admin",120.69,134.42,10.16,10.97,4.15
Research & Development,41.1,49.1,9.72,13.63,2.81
Operating Expenses,185.68,186.46,19.93,24.66,6.96
Operating Income,-183.49,-183.46,-15.97,-23.25,-6.96
Interest Expense,-15.95,-3.09,-39.43,-2.04,-0.71
Interest & Investment Income,58.19,14.72,-,-,-
Other Non Operating Income (Expenses),-,-225.92,-2.79,75.81,-56.8
EBT Excluding Unusual Items,-141.25,-397.74,-58.19,50.52,-64.47
Merger & Restructuring Charges,-2.58,-2.58,-,-,-
Other Unusual Items,-,-0.54,-,-,-
Pretax Income,-143.83,-400.86,-58.19,50.52,-64.47
Income Tax Expense,0.39,-,0,0,-
Net Income,-144.17,-400.86,-58.19,50.52,-64.47
Net Income to Common,-144.17,-400.86,-58.19,50.52,-64.47
Shares Outstanding (Basic),240,170,88,88,100
Shares Outstanding (Diluted),240,170,88,88,100
Shares Change (YoY),75.59%,93.86%,-,-12.50%,-
EPS (Basic),-0.60,-2.36,-0.67,0.58,-0.64
EPS (Diluted),-0.60,-2.36,-0.67,0.58,-0.64
Free Cash Flow,-6.28,-66.02,-9.74,-24.29,-4.22
Free Cash Flow Per Share,-0.03,-0.39,-0.11,-0.28,-0.04
Gross Margin,59.42%,82.89%,96.01%,96.29%,-
Operating Margin,-4989.03%,-5069.53%,-386.52%,-1580.91%,-
Profit Margin,-3919.78%,-11077.28%,-1408.56%,3435.82%,-
Free Cash Flow Margin,-170.65%,-1824.27%,-235.67%,-1651.55%,-
EBITDA,-175.81,-180.52,-15.91,-23.19,-6.95
D&A For EBITDA,7.68,2.93,0.06,0.06,0.01
EBIT,-183.49,-183.46,-15.97,-23.25,-6.96
