Period Ending,"Nov '25Nov 13, 2025","Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Market Capitalization,"8,459","9,025","9,989","10,057","9,690","9,585","7,637","8,984","9,332","9,349","8,553"
Market Cap Growth,-16.66%,-9.66%,-0.67%,3.78%,1.09%,25.52%,-14.99%,-3.74%,-0.18%,9.31%,-2.15%
Enterprise Value,"8,961","9,563","10,329","10,148","9,742","9,479","7,525","8,568","8,815","8,386","7,428"
Last Close Price,76.91,82.05,85.43,80.72,74.50,69.65,51.85,58.44,57.26,55.00,48.80
PE Ratio,15.23,15.98,20.25,18.60,17.63,13.93,15.34,18.74,26.33,21.40,20.90
Forward PE,10.27,10.94,12.63,13.36,14.05,14.81,12.25,14.76,15.60,16.23,15.58
PS Ratio,1.89,1.99,2.00,2.06,2.12,2.24,1.83,2.20,2.35,2.42,2.30
PB Ratio,2.49,2.60,2.86,2.82,2.72,2.64,2.08,2.54,2.67,2.62,2.48
P/TBV Ratio,22.12,23.60,22.13,16.95,14.32,13.48,13.45,13.60,15.92,8.92,8.91
P/FCF Ratio,13.11,13.99,16.14,14.40,18.30,13.41,16.88,17.33,28.66,18.60,17.45
P/OCF Ratio,11.29,12.05,13.79,12.23,12.81,10.35,11.60,13.69,16.75,14.70,13.79
PEG Ratio,1.08,1.16,1.37,1.31,1.22,1.56,1.44,1.74,1.84,1.91,1.67
EV/Sales Ratio,1.98,2.11,2.06,2.08,2.13,2.21,1.81,2.10,2.22,2.17,2.00
EV/EBITDA Ratio,8.89,9.49,10.84,11.02,10.95,11.74,9.49,11.05,12.17,11.45,10.69
EV/EBIT Ratio,11.03,11.77,13.60,14.00,14.65,15.83,12.65,15.04,17.17,16.21,15.38
EV/FCF Ratio,13.89,14.82,16.69,14.53,18.40,13.26,16.63,16.53,27.07,16.68,15.16
Debt / Equity Ratio,0.24,0.24,0.23,0.23,0.23,0.24,0.28,-,-,-,0.06
Debt / EBITDA Ratio,0.78,0.78,0.78,0.82,0.83,0.97,1.17,-,-,-,0.29
Debt / FCF Ratio,1.28,1.28,1.28,1.16,1.56,1.23,2.28,-,-,-,0.41
Asset Turnover,0.72,0.72,0.78,0.76,0.71,0.67,0.72,0.77,0.75,0.73,0.70
Quick Ratio,0.93,0.93,1.07,1.28,1.45,1.45,1.57,1.25,1.19,1.61,1.40
Current Ratio,1.17,1.17,1.20,1.41,1.60,1.59,1.71,1.39,1.33,1.75,1.54
Return on Equity (ROE),16.29%,16.29%,14.05%,15.24%,15.27%,18.86%,13.81%,13.63%,10.03%,12.43%,11.93%
Return on Assets (ROA),8.04%,8.04%,7.41%,7.07%,6.44%,5.82%,6.39%,6.69%,6.04%,6.09%,5.67%
Return on Capital (ROIC),11.82%,11.82%,10.96%,10.34%,9.33%,8.12%,9.02%,10.12%,9.08%,8.95%,8.29%
Return on Capital Employed (ROCE),16.60%,16.60%,15.50%,14.30%,12.90%,11.50%,11.60%,13.90%,12.70%,12.60%,12.20%
Earnings Yield,6.68%,6.26%,4.94%,5.38%,5.67%,7.18%,6.52%,5.34%,3.80%,4.67%,4.79%
FCF Yield,7.63%,7.15%,6.20%,6.94%,5.46%,7.46%,5.92%,5.77%,3.49%,5.38%,5.73%
Dividend Yield,2.96%,-,2.19%,2.11%,2.07%,2.02%,2.44%,1.89%,1.69%,1.55%,1.55%
Payout Ratio,40.79%,39.74%,42.98%,36.89%,33.86%,25.78%,32.95%,30.79%,37.89%,27.82%,26.70%
Buyback Yield / Dilution,3.79%,3.79%,3.63%,2.53%,4.36%,3.69%,2.81%,3.89%,2.53%,2.48%,3.59%
Total Shareholder Return,6.75%,3.79%,5.82%,4.64%,6.43%,5.71%,5.25%,5.78%,4.22%,4.03%,5.14%
