Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018"
Cash & Equivalents,162.03,169.95,176.52,227.11,523.41,172.61,34.94,37.53
Cash & Short-Term Investments,162.03,169.95,176.52,227.11,523.41,172.61,34.94,37.53
Cash Growth,-20.64%,-3.72%,-22.27%,-56.61%,203.23%,394.09%,-6.91%,-
Accounts Receivable,188.21,179.61,151.26,179.89,117.9,84.81,74.13,21.03
Other Receivables,16.03,13.71,15.93,15.08,6.87,3.06,4.61,15.4
Receivables,204.23,193.32,167.19,194.96,124.77,87.86,78.74,43.2
Inventory,65.2,67.53,83.17,72.04,46.99,43.04,26.15,8.49
Prepaid Expenses,35.18,42.27,46.71,38.93,23.33,23.84,14.49,11.2
Restricted Cash,0.34,0.36,0.66,0.79,0.79,15.83,-,-
Other Current Assets,118.16,184.01,346.86,37.58,49.64,30.5,31.01,19.78
Total Current Assets,585.13,657.44,821.11,571.41,768.93,373.68,185.32,120.19
"Property, Plant & Equipment","1,329","2,395","2,828","2,845","2,347","1,712",134.38,92.7
Goodwill,"1,445","1,403","1,456","2,277","1,910","1,727",870.62,588.24
Other Intangible Assets,655.79,665.9,739.4,765.9,816.18,829.31,672.02,500.13
Long-Term Deferred Tax Assets,9.15,8.21,3.66,2.91,1.51,-,-,-
Long-Term Deferred Charges,7.59,7.25,6.31,7.12,10.57,8.66,6.72,4.76
Other Long-Term Assets,120.8,125.42,56.57,30.56,3.18,-,-,-
Total Assets,"4,153","5,262","5,911","6,500","5,857","4,655","1,876","1,307"
Accounts Payable,89.36,95.26,67.53,60.61,83.03,67.8,58.92,31.27
Accrued Expenses,226.4,168.48,166.74,235.55,249.03,126.77,64.04,40.94
Current Portion of Long-Term Debt,277.77,28.47,28.25,28.25,22.94,20.84,13.05,7.3
Current Portion of Leases,-,90.1,79.36,81.5,60.69,62.24,-,-
Current Income Taxes Payable,13.19,6.86,5.4,4.45,11.05,3.51,-,-
Other Current Liabilities,41.43,44.73,79.89,95.06,51.03,24.28,22.83,11.04
Total Current Liabilities,648.15,433.9,427.17,505.42,477.78,305.45,158.83,90.54
Long-Term Debt,"1,937","2,648","2,896","2,665","2,328","2,095","1,302",693.93
Long-Term Leases,541.11,"1,315","1,347","1,218",959.56,834.73,-,-
Long-Term Unearned Revenue,29.64,31.31,30.51,30.05,28.24,20.76,14.27,8.36
Pension & Post-Retirement Benefits,-,-,-,6,-,-,-,-
Long-Term Deferred Tax Liabilities,72.25,87.49,154.74,276.75,257.07,249.04,111.36,76.4
Other Long-Term Liabilities,131.68,138.37,148.33,145.33,161.11,43.76,-,-
Total Liabilities,"3,359","4,654","5,004","4,846","4,212","3,549","1,586",869.23
Common Stock,1.65,1.64,1.64,1.67,1.67,0.57,284.79,438.79
Additional Paid-In Capital,"1,725","1,700","1,652","1,629","1,606","1,055",-,-
Retained Earnings,-888.65,"-1,003",-710.09,84.8,41.61,31.98,-,-
Comprehensive Income & Other,-44.68,-91.57,-37.88,-62.44,-5.03,16.53,3.63,-1.1
Total Common Equity,793.49,607.33,906.08,"1,653","1,644","1,104",288.41,437.69
Minority Interest,-,-,0.64,0.63,1.1,2.12,1.46,-
Shareholders' Equity,793.49,607.33,906.72,"1,654","1,645","1,106",289.88,437.69
Total Liabilities & Equity,"4,153","5,262","5,911","6,500","5,857","4,655","1,876","1,307"
Total Debt,"2,755","4,082","4,351","3,993","3,372","3,013","1,315",701.23
Net Cash (Debt),"-2,593","-3,912","-4,174","-3,765","-2,848","-2,840","-1,280",-663.7
Net Cash Per Share,-15.98,-24.40,-25.78,-22.58,-17.30,-27.23,-14.38,-7.46
Filing Date Shares Outstanding,164.45,163.84,163.97,167.44,167.51,167.41,88.99,88.99
Total Common Shares Outstanding,164.45,163.84,163.97,167.4,167.51,167.41,88.99,88.99
Working Capital,-63.02,223.54,393.94,65.99,291.14,68.24,26.5,29.66
Book Value Per Share,4.82,3.71,5.53,9.87,9.82,6.60,3.24,-
Tangible Book Value,"-1,308","-1,462","-1,289","-1,390","-1,082","-1,452","-1,254",-650.69
Tangible Book Value Per Share,-7.95,-8.92,-7.86,-8.30,-6.46,-8.68,-14.09,-
Land,-,106.15,138.24,127.61,152.84,115.13,0.33,-
Buildings,-,484.3,644.69,641.52,671.52,350.98,6.96,6.41
Machinery,-,546.81,617.69,448.58,357.01,247.36,48.61,31.51
Construction In Progress,-,79.62,129.08,313.82,133.72,27.43,18.99,9.54
Leasehold Improvements,-,289.18,275.48,228.01,172.74,155.04,93.63,68.66
