Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"2,021","1,923","1,779","1,647","1,804","1,831","1,452",780.41,819.14,734.41,457.52
Cash & Short-Term Investments,"2,021","1,923","1,779","1,647","1,804","1,831","1,452",780.41,819.14,734.41,457.52
Cash Growth,-13.25%,8.05%,8.05%,-8.71%,-1.50%,26.15%,86.02%,-4.73%,11.54%,60.52%,-2.24%
Receivables,297.2,284.9,370.6,270.8,203.01,117.52,201.94,202.51,744.88,502.99,423.3
Inventory,-,-,-,-,-,-,-,-,-,78.12,72.11
Prepaid Expenses,288.7,244,266,308.7,167.86,192.02,162.94,113.33,208.22,116.49,95.74
Restricted Cash,44.2,9.2,15.2,7.4,3.69,3.33,34.3,31.24,81.37,77.67,45.31
Other Current Assets,"1,590","1,576","1,732","1,493","1,130","1,222","1,068",960.1,36.57,75.31,37.03
Total Current Assets,"4,241","4,037","4,163","3,727","3,308","3,366","2,919","2,088","1,890","1,585","1,131"
"Property, Plant & Equipment",517.5,461.8,474.7,486.3,506.88,540.52,737.52,291.87,268.3,202.15,157.37
Long-Term Investments,-,26.7,-,-,-,-,-,-,-,-,-
Goodwill,949.9,859.2,847.5,828.3,641.61,665.82,743.82,704.2,717.39,689.71,685.18
Other Intangible Assets,199.1,188.9,167.6,188.3,97.79,121.88,141.85,114.49,150.54,165.33,167.97
Long-Term Deferred Tax Assets,-,25.3,28.3,-,36.8,27.4,-,-,-,-,-
Other Long-Term Assets,279.9,174.7,153.6,174,152.78,205.16,115.74,123.02,113.61,70.7,51.19
Total Assets,"6,275","5,835","5,894","5,404","4,744","4,927","4,658","3,321","3,140","2,713","2,193"
Accounts Payable,209.5,223.8,241.2,222.4,193.53,147.59,81.74,72.91,494.84,456.68,456.16
Accrued Expenses,420.9,420.7,398.3,460.4,340.26,331.71,246.7,211,393.68,331.78,197.13
Short-Term Debt,"1,232",812.7,150.3,0.1,0.82,0.8,6.09,38.02,27.76,23.89,5.73
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,13.53,8.27,6.33
Current Portion of Leases,55.4,49.6,51.9,53.2,56.28,58.84,133.27,5.46,5.37,3.29,1.99
Current Income Taxes Payable,111,86.4,81.6,67.5,59.04,36.36,52.58,40.16,54.44,27.61,14.96
Current Unearned Revenue,55.2,56.4,56.7,65.4,77.04,73.36,58.59,59.29,52,44.2,35.89
Other Current Liabilities,"1,589","1,576","1,721","1,485","1,126","1,207","1,055",951.56,366.11,283.37,185.75
Total Current Liabilities,"3,673","3,226","2,701","2,354","1,853","1,855","1,634","1,378","1,408","1,179",903.93
Long-Term Debt,"1,071","1,134","1,715","1,609","1,420","1,438","1,091",589.78,404.01,561.66,405.47
Long-Term Leases,100.3,87.4,95.8,102.7,111.36,106.5,250.03,8.2,9.75,6.97,4.15
Long-Term Deferred Tax Liabilities,59.9,71.8,47,28.4,46.51,37.88,56.07,57.15,54.97,44.08,33.92
Other Long-Term Liabilities,92.1,85.7,85.9,65,58.17,43.4,47.31,54.79,64.1,20.5,19.31
Total Liabilities,"4,997","4,605","4,645","4,159","3,489","3,481","3,078","2,088","1,941","1,812","1,367"
Common Stock,1.3,1.3,1.3,1.3,1.28,1.27,1.26,1.2,1.18,1.17,1.16
Additional Paid-In Capital,"1,341","1,370","1,312","1,252","1,274","1,228","1,190","1,104","1,072","1,046","1,023"
Retained Earnings,"2,192","1,934","1,628","1,348","1,084","1,013","1,017",669.81,436.95,278.84,104.43
Treasury Stock,"-2,199","-1,755","-1,488","-1,106",-931.21,-703.03,-463.7,-391.55,-217.16,-215.46,-138.75
Comprehensive Income & Other,-71.7,-321.5,-203.2,-251,-172.58,-94.21,-164.89,-151.04,-94.46,-210.66,-165.53
Total Common Equity,"1,263","1,229","1,250","1,245","1,255","1,446","1,579","1,233","1,199",899.55,824.56
Minority Interest,15.3,0.5,-0.2,-0.2,0.04,0.28,0.07,0.17,0.96,1.01,1.37
Shareholders' Equity,"1,279","1,229","1,250","1,244","1,256","1,446","1,579","1,233","1,199",900.56,825.93
Total Liabilities & Equity,"6,275","5,835","5,894","5,404","4,744","4,927","4,658","3,321","3,140","2,713","2,193"
Total Debt,"2,459","2,084","2,013","1,765","1,589","1,604","1,480",641.46,460.42,604.09,423.67
Net Cash (Debt),-438.1,-161.5,-234,-118.3,215.34,227.58,-28.61,138.95,358.72,130.33,33.85
Net Cash Growth,-,-,-,-,-5.38%,-,-,-61.26%,175.25%,285.04%,-38.72%
Net Cash Per Share,-9.69,-3.36,-4.53,-2.21,4.02,4.32,-0.52,2.54,6.51,2.41,0.63
Filing Date Shares Outstanding,42.04,43.74,45.78,49.83,51.16,52.75,53.52,51.87,51.42,52.36,53.07
Total Common Shares Outstanding,39.69,43.73,45.78,49.82,51.15,52.73,54.22,51.82,52.81,52.3,53.03
Working Capital,568.2,810.5,"1,462","1,373","1,456","1,510","1,285",709.19,482.47,405.89,227.08
Book Value Per Share,31.83,28.10,27.30,24.98,24.55,27.41,29.13,23.79,22.70,17.20,15.55
Tangible Book Value,114.3,180.6,234.8,228,516.08,657.92,693.6,413.99,330.59,44.51,-28.59
Tangible Book Value Per Share,2.88,4.13,5.13,4.58,10.09,12.48,12.79,7.99,6.26,0.85,-0.54
Land,-,0.6,0.6,0.6,0.69,1.29,1.24,1.25,1.26,1.92,2.01
Machinery,-,918.7,988.4,912.4,877.33,867.59,768.99,663.8,583.21,462.69,397.47
