Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,953","2,094","1,669","1,822","1,807",916,"1,278",868,"1,041",860,568
Market Cap Growth,0.35%,25.45%,-8.40%,0.86%,97.26%,-28.35%,47.25%,-16.62%,21.02%,51.59%,45.42%
Last Close Price,52.54,55.49,42.92,45.98,43.37,31.68,42.66,32.82,39.00,36.76,23.92
PE Ratio,10.24,11.54,8.77,9.16,13.58,12.32,13.79,9.73,21.61,17.62,14.76
PS Ratio,3.01,3.45,2.85,3.43,4.45,3.63,4.63,3.89,5.18,5.38,4.04
PB Ratio,1.02,1.15,0.97,1.20,1.18,0.85,1.47,1.44,1.90,2.22,1.62
P/FCF Ratio,10.18,8.73,6.38,8.49,11.43,6.87,14.85,8.21,24.08,10.75,12.59
P/OCF Ratio,9.64,8.46,6.22,8.41,11.25,6.76,13.83,7.98,22.74,10.43,12.03
Debt / Equity Ratio,0.34,0.26,0.29,0.41,0.39,0.56,0.76,0.69,1.00,1.00,1.25
Debt / FCF Ratio,3.54,2.01,1.91,2.88,3.73,4.53,7.65,3.92,12.68,4.83,9.72
Return on Equity (ROE),10.25%,10.47%,11.98%,13.31%,10.20%,7.64%,12.61%,15.48%,10.30%,13.24%,11.53%
Return on Assets (ROA),1.25%,1.23%,1.41%,1.53%,1.14%,0.87%,1.43%,1.63%,1.03%,1.27%,1.12%
Earnings Yield,9.81%,8.85%,11.63%,11.14%,7.36%,8.12%,7.25%,10.27%,4.63%,5.67%,6.77%
FCF Yield,9.82%,11.46%,15.68%,11.78%,8.75%,14.55%,6.74%,12.18%,4.15%,9.30%,7.94%
Dividend Yield,2.44%,1.91%,2.33%,1.96%,1.73%,2.27%,1.45%,1.43%,1.13%,1.11%,1.10%
Payout Ratio,23.78%,23.37%,21.19%,18.54%,19.66%,26.61%,17.87%,12.16%,21.27%,16.81%,13.68%
Buyback Yield / Dilution,0.50%,-0.16%,-0.02%,-8.71%,-27.82%,-3.17%,-12.32%,-0.17%,-14.58%,0.13%,-1.03%
Total Shareholder Return,2.93%,1.75%,2.31%,-6.75%,-26.09%,-0.90%,-10.87%,1.26%,-13.46%,1.25%,0.07%
