Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,160.31,153.36,136.95,118.67,135.34,218.53,119.17,95.88,86.8,213.16,205.32
Short-Term Investments,229.83,187.22,153.88,179.03,179.43,184.29,202.24,184.49,178.48,13.49,13.68
Cash & Short-Term Investments,390.14,340.58,290.83,297.7,314.77,402.82,321.4,280.37,265.27,226.65,219
Cash Growth,19.77%,17.10%,-2.31%,-5.42%,-21.86%,25.33%,14.64%,5.69%,17.04%,3.49%,16.44%
Accounts Receivable,379.09,340.39,310.94,260.13,195.55,149.45,173.28,165.95,136.11,113.07,92.65
Other Receivables,19.51,19.41,18.5,15.72,18.02,15.83,13.05,14.15,7.6,11.87,-
Receivables,398.59,359.8,329.44,275.85,213.57,165.28,186.33,180.1,143.7,124.94,92.65
Prepaid Expenses,26.18,21.06,18.17,18.13,14.66,11.34,13.25,11.33,9.78,7.86,8.03
Restricted Cash,11.32,9.97,4.06,4.9,6.17,4.69,5.45,5.61,3.67,3.85,1.87
Other Current Assets,65.72,63.78,37.17,16.22,28.97,25.15,14.83,22.53,30.38,15.54,17.65
Total Current Assets,891.95,795.19,679.67,612.79,578.14,609.28,541.26,499.94,452.82,378.82,339.2
"Property, Plant & Equipment",166.22,148.42,144.02,122.77,153.64,172.42,154.74,67.12,65.16,47.12,47.99
Long-Term Investments,8,13.97,4.43,34.78,3.19,3.17,4.47,3.07,9.91,-,-
Goodwill,419.87,420.39,405.64,405.64,403.9,349.09,349.53,349.98,204.48,186.77,171.54
Other Intangible Assets,58.31,71.54,71.38,80.23,90.15,71.97,84.78,101.89,50.55,55.68,52.73
Long-Term Accounts Receivable,3.49,3.63,6.84,1.86,1.21,2.62,3.98,4.24,2.24,-,-
Long-Term Deferred Tax Assets,115.83,104.75,82.93,55.79,21.4,7.75,11.86,6.6,9.28,14.8,13.75
Long-Term Deferred Charges,33.91,31.74,21.37,12.69,4.31,2.74,5.58,2.82,2.3,-,-
Other Long-Term Assets,36.06,28.79,25.71,19.57,26.97,28.82,26.9,26.28,28.73,23.34,25.58
Total Assets,"1,734","1,618","1,442","1,346","1,283","1,248","1,183","1,062",825.47,706.53,650.78
Accounts Payable,6.77,5.88,5.06,7.79,5.65,6.99,6.56,5.65,5.92,3.29,6.4
Accrued Expenses,216.69,222.37,201.79,179.09,172.84,119.59,129.72,99.6,98.9,81.52,70.76
Short-Term Debt,-,-,-,-,-,-,-,-,-,-,10
Current Portion of Long-Term Debt,4.89,4.89,65,30,260.02,25,40.87,21.42,10.32,10,-
Current Portion of Leases,20.01,16.93,12.97,15.14,18.63,19.12,24.4,0.22,0.27,0.23,0.38
Current Income Taxes Payable,0.24,0.28,1.21,2.95,0.9,3.49,1.43,1.01,-,-,-
Current Unearned Revenue,17.5,19.26,12.32,18.78,20,32.65,13.44,7.72,10.72,16.62,11.52
Other Current Liabilities,40.92,20.5,28.05,24.2,17.65,14.24,12.93,19.46,18.13,12.57,8.01
Total Current Liabilities,307,290.12,326.4,277.95,495.69,221.08,229.35,155.1,144.25,124.23,107.08
Long-Term Debt,349.93,283.6,135,220,-,201.96,194.13,263.24,50.39,35,60
Long-Term Leases,61.7,61.2,58.79,48.51,68.74,85.16,75.14,0.32,0.33,0.3,0.28
Long-Term Unearned Revenue,25.36,18.21,10.2,4.41,1,0.92,1.91,0.95,1.03,-,-
Pension & Post-Retirement Benefits,22.86,24.8,16.67,12.98,9.6,8.94,6.52,3.62,3.38,1.98,1.44
Long-Term Deferred Tax Liabilities,2.47,1.4,1.5,0.55,0.97,0.85,0.97,8.45,0.7,-,-
Other Long-Term Liabilities,11.92,9.22,3.99,23.55,13.76,9.78,5.07,11.96,25.35,12.84,16.21
Total Liabilities,781.24,688.54,552.54,587.94,589.75,528.69,513.09,443.62,225.43,174.35,185.01
Common Stock,0.21,0.21,0.2,0.2,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Additional Paid-In Capital,627.97,588.58,508.03,444.95,395.74,420.98,391.24,364.18,322.25,284.65,254.05
Retained Earnings,"1,473","1,282","1,084",899.11,756.14,641.38,551.9,484.24,427.06,382.72,320.99
Treasury Stock,-979.54,-786.17,-575.42,-441.93,-369.29,-268.24,-188.29,-146.93,-103.82,-60.36,-42.16
Comprehensive Income & Other,-168.98,-154.72,-127.04,-144.14,-89.47,-74.98,-84.89,-83.47,-45.71,-75.06,-67.33
Total Common Equity,952.39,929.86,889.44,758.18,693.16,719.17,670,618.07,599.82,531.99,465.59
Minority Interest,-,-,-,-,-,-,-,0.25,0.22,0.19,0.18
Shareholders' Equity,952.39,929.86,889.44,758.18,693.16,719.17,670,618.32,600.05,532.18,465.77
Total Liabilities & Equity,"1,734","1,618","1,442","1,346","1,283","1,248","1,183","1,062",825.47,706.53,650.78
Total Debt,436.53,366.61,271.76,313.65,347.38,331.24,334.54,285.2,61.31,45.53,70.66
Net Cash (Debt),-46.39,-26.03,19.08,-15.96,-32.61,71.58,-13.14,-4.83,203.97,181.11,148.34
Net Cash Growth,-,-,-,-,-,-,-,-,12.62%,22.10%,8.50%
Net Cash Per Share,-0.28,-0.16,0.11,-0.09,-0.19,0.41,-0.08,-0.03,1.16,1.05,0.87
Filing Date Shares Outstanding,158.7,162.3,165.78,166.5,166.03,167.37,171.69,171.1,170.08,167.75,165.7
Total Common Shares Outstanding,158.88,161.8,165.28,166.17,166.46,167.8,170.79,170.59,168.53,166.91,165.46
Working Capital,584.94,505.07,353.27,334.85,82.46,388.2,311.91,344.84,308.57,254.59,232.12
Book Value Per Share,5.99,5.75,5.38,4.56,4.16,4.29,3.92,3.62,3.56,3.19,2.81
Tangible Book Value,474.21,437.94,412.42,272.31,199.11,298.12,235.7,166.2,344.79,289.54,241.32
