Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,302","7,140","5,088","5,602","4,821","2,876","2,365","1,796","2,036","1,682","1,481"
Market Cap Growth,-5.95%,40.33%,-9.18%,16.20%,67.62%,21.63%,31.67%,-11.79%,21.02%,13.63%,57.01%
Enterprise Value,"6,348","7,240","5,087","5,681","4,815","2,849","2,429","1,855","1,832","1,514","1,368"
Last Close Price,39.71,44.38,30.85,33.89,28.95,17.03,13.89,10.52,12.07,10.09,8.99
PE Ratio,26.83,36.01,27.57,39.19,42.01,32.15,34.95,31.66,41.65,27.25,28.71
Forward PE,19.02,24.80,20.17,27.21,30.66,22.41,21.50,17.96,21.78,20.17,20.29
PS Ratio,3.17,3.88,3.12,3.97,4.30,3.00,2.38,2.03,2.67,2.45,2.36
PB Ratio,6.62,7.68,5.72,7.39,6.96,4.00,3.53,2.91,3.39,3.16,3.18
P/TBV Ratio,13.29,16.30,12.34,20.57,24.21,9.65,10.03,10.81,5.91,5.81,6.14
P/FCF Ratio,21.97,32.12,32.12,46.18,32.77,17.89,18.49,34.77,26.10,21.98,20.82
P/OCF Ratio,18.61,26.59,24.09,33.72,26.15,14.17,14.04,19.43,17.99,16.43,15.31
PEG Ratio,1.36,1.53,1.14,1.80,2.09,2.27,1.79,1.26,1.59,1.37,1.40
EV/Sales Ratio,3.13,3.94,3.12,4.02,4.29,2.97,2.45,2.10,2.40,2.21,2.18
EV/EBITDA Ratio,18.01,23.64,18.21,23.54,24.08,18.40,18.10,15.86,16.64,15.38,13.84
EV/EBIT Ratio,20.69,27.43,21.34,29.71,31.05,26.07,28.59,26.56,25.37,23.57,20.31
EV/FCF Ratio,22.13,32.57,32.11,46.84,32.72,17.73,19.00,35.91,23.49,19.78,19.23
Debt / Equity Ratio,0.46,0.39,0.31,0.41,0.50,0.46,0.50,0.46,0.10,0.09,0.15
Debt / EBITDA Ratio,1.15,1.10,0.89,1.17,1.49,1.74,2.07,2.44,0.56,0.46,0.72
Debt / FCF Ratio,1.52,1.65,1.72,2.59,2.36,2.06,2.62,5.52,0.79,0.60,0.99
Asset Turnover,1.21,1.20,1.17,1.07,0.89,0.79,0.88,0.94,1.00,1.01,1.03
Quick Ratio,2.57,2.41,1.90,2.06,1.07,2.57,2.21,2.97,2.84,2.83,2.91
Current Ratio,2.91,2.74,2.08,2.21,1.17,2.76,2.36,3.22,3.14,3.05,3.17
Return on Equity (ROE),25.96%,21.80%,22.40%,19.70%,16.25%,12.88%,10.50%,9.31%,8.64%,12.37%,11.65%
Return on Assets (ROA),11.47%,10.78%,10.69%,9.09%,7.66%,5.62%,4.73%,4.63%,5.89%,5.91%,6.88%
Return on Capital (ROIC),14.09%,13.42%,13.34%,11.31%,9.27%,6.65%,5.57%,5.58%,7.29%,7.21%,8.36%
Return on Capital Employed (ROCE),21.50%,19.90%,21.40%,17.90%,19.70%,10.60%,8.90%,7.70%,10.60%,11.00%,12.40%
Earnings Yield,3.83%,2.78%,3.63%,2.55%,2.38%,3.11%,2.86%,3.16%,2.40%,3.67%,3.48%
FCF Yield,4.55%,3.11%,3.11%,2.17%,3.05%,5.59%,5.41%,2.88%,3.83%,4.55%,4.80%
Buyback Yield / Dilution,1.04%,2.28%,0.60%,1.20%,0.90%,0.51%,0.85%,0.23%,-1.58%,-1.13%,-1.61%
