Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,"1,921","1,823","1,756","1,645","2,080","1,712","1,724","1,537","1,375","1,196","1,063"
Revenue Growth (YoY),6.33%,3.81%,6.79%,-20.91%,21.49%,-0.73%,12.20%,11.75%,14.97%,12.58%,13.92%
Cost of Revenue,793.76,764.06,734.66,667.67,904.78,793.22,806.52,713.57,636.97,544.78,491.1
Gross Profit,"1,128","1,059","1,022",977.01,"1,175",918.54,917.81,823.28,738.34,651.41,571.43
"Selling, General & Admin",982.82,933.61,902.36,831.81,898.5,720.09,736.29,687.48,600.01,525.87,474.05
Other Operating Expenses,-0.2,-0.1,-0.1,-2.55,-0.11,-0.45,3.61,0.18,-0.05,0.27,0.01
Operating Expenses,"1,073","1,025",992.73,918.75,996.28,811.93,835.34,762,661.93,578.81,518.14
Operating Income,54.14,34.01,28.99,58.27,178.46,106.61,82.47,61.29,76.41,72.6,53.29
Interest Expense,-17.53,-16.18,-14.34,-0.46,-25.61,-48.33,-33.3,-37.48,-60.06,-39.09,-39.29
Earnings From Equity Investments,-,-,-,-,-,-,-,-1.3,-1,-1.4,-0.9
EBT Excluding Unusual Items,36.62,17.82,14.65,57.8,152.85,58.28,49.17,22.5,15.35,32.11,13.1
Merger & Restructuring Charges,-2.97,-0.07,-1.8,-,-,-,-,-,-,-,-
Impairment of Goodwill,-,-,-,-,-,-,-,-15.1,-,-3.3,-4.8
Gain (Loss) on Sale of Investments,-,-,-,-,2.4,-,-,-,-,-,-
Asset Writedown,-22.65,-39.85,-2.7,-5.5,-4.43,-22,-8.89,-2.53,-4.12,-3.83,-2.92
Legal Settlements,-1.9,-4.45,-,-,-,-,-,-,-7,-,-
Other Unusual Items,-,0.86,-0.6,-,-1.5,2.4,-9.79,-,-,-,-
Pretax Income,9.1,-25.68,9.55,52.3,149.33,38.68,30.49,4.87,4.23,24.98,5.39
Income Tax Expense,12.25,1.48,6.01,15.55,21.08,2.4,-2.31,-18.79,-38.91,11.63,1.77
Earnings From Continuing Operations,-3.15,-27.17,3.55,36.76,128.24,36.28,32.8,23.65,43.14,13.34,3.62
Earnings From Discontinued Operations,0.85,-1.33,-69.45,5.36,-,-,-,-,-,-,-
Net Income,-2.31,-28.5,-65.9,42.12,128.24,36.28,32.8,23.65,43.14,13.34,3.62
Net Income to Common,-2.31,-28.5,-65.9,42.12,128.24,36.28,32.8,23.65,43.14,13.34,3.62
Net Income Growth,-,-,-,-67.16%,253.51%,10.61%,38.66%,-45.17%,223.30%,268.90%,-
Shares Outstanding (Basic),79,79,78,80,82,81,79,76,60,56,56
Shares Outstanding (Diluted),79,79,79,80,96,83,82,79,62,57,56
Shares Change (YoY),0.65%,-0.01%,-2.12%,-16.47%,16.11%,1.36%,3.34%,27.41%,8.83%,1.86%,25.22%
EPS (Basic),-0.03,-0.36,-0.84,0.53,1.57,0.45,0.42,0.31,0.72,0.24,0.06
EPS (Diluted),-0.03,-0.37,-0.84,0.53,1.43,0.44,0.40,0.30,0.70,0.23,0.06
EPS Growth,-,-,-,-63.23%,225.60%,10.00%,33.33%,-57.14%,204.35%,283.33%,-
Free Cash Flow,82.96,38.14,58.26,5.65,163.42,158.16,63.76,2.14,-2.97,7.56,5.97
Free Cash Flow Per Share,1.05,0.48,0.74,0.07,1.70,1.91,0.78,0.03,-0.05,0.13,0.11
Gross Margin,58.69%,58.09%,58.17%,59.40%,56.49%,53.66%,53.23%,53.57%,53.69%,54.46%,53.78%
Operating Margin,2.82%,1.86%,1.65%,3.54%,8.58%,6.23%,4.78%,3.99%,5.56%,6.07%,5.02%
Profit Margin,-0.12%,-1.56%,-3.75%,2.56%,6.17%,2.12%,1.90%,1.54%,3.14%,1.11%,0.34%
Free Cash Flow Margin,4.32%,2.09%,3.32%,0.34%,7.86%,9.24%,3.70%,0.14%,-0.22%,0.63%,0.56%
EBITDA,144.57,125.36,118.86,146.96,275.55,198.2,169.71,135.62,138.38,125.28,97.36
EBITDA Margin,7.52%,6.88%,6.77%,8.94%,13.25%,11.58%,9.84%,8.82%,10.06%,10.47%,9.16%
D&A For EBITDA,90.43,91.35,89.87,88.69,97.09,91.59,87.24,74.34,61.97,52.68,44.07
EBIT,54.14,34.01,28.99,58.27,178.46,106.61,82.47,61.29,76.41,72.6,53.29
EBIT Margin,2.82%,1.86%,1.65%,3.54%,8.58%,6.23%,4.78%,3.99%,5.56%,6.07%,5.02%
Effective Tax Rate,134.67%,-,62.88%,29.72%,14.12%,6.21%,-,-,-,46.58%,32.83%
Revenue as Reported,"1,921","1,823","1,756","1,645","2,080","1,712","1,724","1,537","1,375","1,196","1,063"
