Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,598.7,528.3,399.36,329.23,305.51,260.89,182.24,91.25,36.93,4.96,-
Revenue Growth (YoY),21.28%,32.29%,21.30%,7.76%,17.11%,43.16%,99.72%,147.08%,644.86%,-,-
Cost of Revenue,61.22,52.94,37.33,38.6,34.47,31.04,21.96,14.4,6.24,0.83,-
Gross Profit,537.49,475.35,362.03,290.63,271.05,229.84,160.27,76.84,30.69,4.13,-
"Selling, General & Admin",353.07,323.38,275.27,213.04,192.71,156.41,169.86,127.2,88.27,71.15,49.87
Research & Development,142.29,109.36,152.38,276.68,272.05,308.44,286.38,270.9,141.21,104.79,74.34
Operating Expenses,502.97,441.29,435.52,495.06,470.97,473.7,461.01,402.32,233.07,179.19,126.05
Operating Income,34.52,34.06,-73.49,-204.43,-199.92,-243.85,-300.74,-325.48,-202.38,-175.06,-126.05
Interest Expense,-46.69,-49.6,-50.15,-37.12,-32.47,-22.43,-18.87,-22.4,-17.24,-5.4,-1.58
Interest & Investment Income,3.9,5.41,7.08,3.02,0.51,3.23,10.25,10.46,4.1,1.6,0.93
Other Non Operating Income (Expenses),14.96,-9.44,-15.89,4.18,-2.9,-0.78,-2.63,-8.37,6.01,-4.79,-0.08
EBT Excluding Unusual Items,6.68,-19.57,-132.45,-234.35,-234.78,-263.83,-311.99,-345.79,-209.52,-183.65,-126.77
Merger & Restructuring Charges,-,-9.19,-,-,-,-,-,-,-8.5,-0.07,-0.02
Asset Writedown,-1.7,-,-1.13,-6.62,-,-,-,-,-465.43,-,-
Other Unusual Items,-,-,-16.52,-1.08,-6.77,-10.42,-43.92,-3.3,234.32,-20.06,-5.33
Pretax Income,4.98,-28.76,-150.1,-242.04,-241.55,-274.25,-355.91,-349.09,-449.12,-203.78,-132.12
Income Tax Expense,19.04,27.35,1.48,-5.47,8.91,2.6,0.48,-0.09,-165.12,-3.74,-
Net Income,-14.06,-56.11,-151.58,-236.57,-250.46,-276.85,-356.39,-349,-284,-200.04,-132.12
Net Income to Common,-14.06,-56.11,-151.58,-236.57,-250.46,-276.85,-356.39,-349,-284,-200.04,-132.12
Shares Outstanding (Basic),308,304,295,289,271,259,240,186,153,134,110
Shares Outstanding (Diluted),308,304,295,289,271,259,240,186,153,134,110
Shares Change (YoY),1.52%,3.12%,2.11%,6.50%,4.85%,7.67%,29.40%,21.15%,14.10%,22.27%,47.66%
EPS (Basic),-0.05,-0.18,-0.51,-0.82,-0.92,-1.07,-1.48,-1.88,-1.85,-1.49,-1.20
EPS (Diluted),-0.05,-0.18,-0.51,-0.82,-0.92,-1.07,-1.48,-1.88,-1.85,-1.49,-1.20
Free Cash Flow,9.69,-37.44,-76.53,-170.34,-206.38,-236.52,-270.43,-306.26,-218.22,-156.1,-104.96
Free Cash Flow Per Share,0.03,-0.12,-0.26,-0.59,-0.76,-0.91,-1.13,-1.65,-1.42,-1.16,-0.95
Gross Margin,89.78%,89.98%,90.65%,88.28%,88.72%,88.10%,87.95%,84.21%,83.11%,83.20%,-
Operating Margin,5.76%,6.45%,-18.40%,-62.09%,-65.44%,-93.47%,-165.03%,-356.71%,-548.01%,-3530.88%,-
Profit Margin,-2.35%,-10.62%,-37.96%,-71.85%,-81.98%,-106.12%,-195.56%,-382.48%,-769.03%,-4034.73%,-
Free Cash Flow Margin,1.62%,-7.09%,-19.16%,-51.74%,-67.55%,-90.66%,-148.39%,-335.65%,-590.90%,-3148.41%,-
EBITDA,42.12,42.61,-65.62,-199.08,-193.71,-235.01,-295.97,-321.26,-198.79,-171.82,-124.21
EBITDA Margin,7.03%,8.07%,-16.43%,-60.47%,-63.41%,-90.08%,-162.41%,-,-,-,-
D&A For EBITDA,7.6,8.55,7.87,5.34,6.21,8.85,4.78,4.22,3.59,3.24,1.83
EBIT,34.52,34.06,-73.49,-204.43,-199.92,-243.85,-300.74,-325.48,-202.38,-175.06,-126.05
EBIT Margin,5.76%,6.45%,-18.40%,-62.09%,-65.44%,-93.47%,-165.03%,-,-,-,-
