Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Cash & Equivalents,97.68,190.73,177.81,109.13,151.01,187.23,144.55,98.47,91.18,101.41,146.26
Short-Term Investments,168.35,169.3,150.51,129.01,125.06,67.81,76.33,50.53,48.99,7.5,41.33
Cash & Short-Term Investments,266.03,360.02,328.32,238.14,276.07,255.04,220.87,149,140.17,108.91,187.59
Cash Growth,-24.95%,9.66%,37.87%,-13.74%,8.25%,15.47%,48.23%,6.30%,28.71%,-41.95%,14.50%
Accounts Receivable,137.92,111.19,106.76,90.04,116.44,111.3,98.77,95.63,83.12,70.23,36.73
Other Receivables,-,-,-,-,-,-,-,-,2.24,1.39,-
Receivables,137.92,111.19,106.76,90.04,116.44,111.3,98.77,95.63,85.36,71.62,36.73
Inventory,108.83,101.68,111.69,123.16,111.55,99.23,83.26,77.71,67.85,59.81,27.22
Prepaid Expenses,45.43,28.49,25.87,22,17.75,19.6,14.16,14.63,12.11,14.28,6.48
Restricted Cash,1.06,3.75,1.15,1.22,2.23,1.9,1.98,0.85,0.37,0.11,-
Total Current Assets,559.26,605.13,573.78,474.55,524.04,487.07,419.04,337.82,305.85,254.71,258.02
"Property, Plant & Equipment",275.38,232.81,234.92,221.21,181.77,134.86,90.17,54.05,46.75,42.66,23.85
Goodwill,200.84,199.17,201.09,211.44,212.3,212.76,199.2,189.21,189.92,188.01,30.73
Other Intangible Assets,8.39,10.36,12.94,26.75,36.34,59.15,57.61,67.64,97.48,126.61,25.55
Long-Term Deferred Tax Assets,88.27,92.01,78.96,67.65,62,66.24,71.25,77.3,3.13,3.31,3.28
Other Long-Term Assets,4.42,6.74,5.1,6.63,4.08,3.13,2.61,2.19,3.43,3.68,1.29
Total Assets,"1,203","1,146","1,107","1,008","1,021",963.22,839.88,728.22,646.57,618.98,342.72
Accounts Payable,58.39,62.29,63.86,69.31,57.86,62.05,40.91,40.01,35.05,34.08,18.07
Accrued Expenses,34.35,31.18,25.39,19.27,32.77,36.2,24.32,18.23,22.79,21.14,20.06
Current Portion of Long-Term Debt,1.13,1.11,1.08,1.05,8.93,9.52,42.85,29.84,18.44,12.7,-
Current Portion of Leases,7.4,8.36,8.42,7.35,7.9,6.7,6.55,-,-,-,-
Current Income Taxes Payable,2.68,2.97,8.21,12.82,8.09,6.98,6.85,4.22,3.97,4,0.11
Current Unearned Revenue,21.62,15.85,16.7,29.85,23.22,20.96,9.81,4.94,4.98,5.31,3.89
Other Current Liabilities,4.54,9.59,7.44,10.03,9.98,12.17,5.27,5.28,6.94,5.48,1.44
Total Current Liabilities,130.12,131.35,131.1,149.67,148.75,154.57,136.56,102.52,92.16,82.71,43.58
Long-Term Debt,11.36,12.21,13.31,14.39,15.43,24.98,15.64,34.97,87.23,125.48,-
Long-Term Leases,13.32,17.55,25.33,27.59,31.01,28,29.09,-,-,-,-
Long-Term Unearned Revenue,19.48,19.05,19.3,1.05,0.98,1.24,0.99,0.76,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,2.73,3.62,5.35,6.99,2.36,3.38,3.7,-
Other Long-Term Liabilities,19.11,18.29,8.95,4.51,4.94,5.01,9.62,7.46,5.17,6.04,4.46
Total Liabilities,193.38,198.45,197.99,199.94,204.74,219.13,198.89,148.06,187.94,217.93,48.04
Common Stock,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06
Additional Paid-In Capital,857.4,837.59,861.45,844.84,898.95,903.84,885.82,862.9,843.12,833.34,718.9
Retained Earnings,152.09,120.95,51.33,-31.06,-81.79,-165.72,-244.24,-283.59,-387.57,-428.62,-422.06
Comprehensive Income & Other,0.05,-10.84,-4.05,-5.58,-1.45,5.89,-0.66,0.78,3.02,-3.74,-2.22
Shareholders' Equity,"1,010",947.77,908.8,808.29,815.78,744.08,641,580.16,458.64,401.06,294.68
Total Liabilities & Equity,"1,203","1,146","1,107","1,008","1,021",963.22,839.88,728.22,646.57,618.98,342.72
Total Debt,33.21,39.23,48.15,50.37,63.28,69.19,94.12,64.81,105.67,138.18,-
Net Cash (Debt),232.82,320.8,280.17,187.76,212.79,185.84,126.75,84.19,34.5,-29.27,187.59
Net Cash Growth,-25.53%,14.50%,49.22%,-11.76%,14.50%,46.62%,50.55%,144.03%,-,-,14.50%
Net Cash Per Share,2.99,4.09,3.58,2.40,2.69,2.35,1.64,1.12,0.46,-0.45,3.24
Filing Date Shares Outstanding,77.52,77.57,77.6,77.14,78.33,77.75,76.15,74.48,72.95,71.65,58.91
Total Common Shares Outstanding,77.52,77.11,77.38,76.91,78.24,77.44,75.76,74.14,72.53,70.91,58.09
Working Capital,429.15,473.78,442.69,324.89,375.29,332.5,282.48,235.3,213.69,172,214.44
Book Value Per Share,13.02,12.29,11.75,10.51,10.43,9.61,8.46,7.83,6.32,5.66,5.07
Tangible Book Value,800.39,738.24,694.78,570.09,567.14,472.18,384.19,323.31,171.23,86.44,238.4
Tangible Book Value Per Share,10.33,9.57,8.98,7.41,7.25,6.10,5.07,4.36,2.36,1.22,4.10
Land,35.27,17.12,17.12,17.14,4.75,4.75,-,-,-,-,-
Buildings,46.48,46.58,46.53,44.93,41.72,-,-,-,-,-,-
Machinery,386.86,361.98,340.57,329.53,304.59,269.44,243.81,231.49,222.51,205.76,184.31
Construction In Progress,89.87,63.15,67.14,47.46,25.92,45.24,11.86,10.38,6.03,5.9,4.42
Leasehold Improvements,104.55,101.37,91.06,86.5,82.27,79.14,76.08,75.29,73.98,72.95,67.12
