Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Revenue,759.31,763.6,663.1,747.94,769.67,693.62,589.46,529.68,548.44,383.88,282.36
Revenue Growth (YoY),2.30%,15.16%,-11.34%,-2.82%,10.96%,17.67%,11.29%,-3.42%,42.87%,35.95%,5.15%
Cost of Revenue,468.97,455.68,404.02,451.45,442.98,404.86,351.5,319.34,332.28,271.18,196.62
Gross Profit,290.35,307.92,259.08,296.49,326.7,288.76,237.96,210.34,216.17,112.7,85.74
"Selling, General & Admin",133.13,141.79,133.01,131.88,123.74,115.1,106.34,99.25,95.49,66.94,45.09
Research & Development,115.78,121.94,115.77,109.22,100.07,89.03,81.5,74.98,73.81,57.45,44.18
Operating Expenses,248.92,263.72,248.78,241.1,223.81,204.13,187.83,174.23,169.3,124.4,89.27
Operating Income,41.43,44.2,10.3,55.39,102.89,84.63,50.13,36.11,46.87,-11.69,-3.54
Interest Expense,-,0.18,0.19,-0.47,-0.76,-0.93,-1.37,-2.59,-4.41,-2.55,-
Interest & Investment Income,12.01,14.11,7.22,2.22,0.57,1.5,2.71,1.36,0.55,0.33,0.28
Currency Exchange Gain (Loss),1,1,0.6,1.1,-,-0.5,-0.4,-0.3,-0.6,-0.7,-
Other Non Operating Income (Expenses),0.34,-0.66,-1.5,0.11,0.65,1.31,0.45,-0.65,0.36,0.64,0.05
EBT Excluding Unusual Items,52.47,58.83,16.82,58.35,103.35,86.01,51.53,33.93,42.78,-13.98,-3.2
Merger & Restructuring Charges,-,-,-0.5,-0.48,-4.85,-0.84,-0.47,-,-0.57,-23.81,-0.56
Gain (Loss) on Sale of Assets,-,20.58,72.95,-,-,-,-,-,-,-,1
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-0.01
Pretax Income,52.47,79.41,89.27,57.87,98.5,85.18,51.06,33.93,42.21,-50.2,-1.27
Income Tax Expense,11.62,9.8,6.88,7.13,14.58,6.65,11.72,-70.11,1.29,-43.64,0.25
Net Income,40.85,69.61,82.39,50.74,83.92,78.52,39.35,104.04,40.91,-6.56,-1.52
Net Income to Common,40.85,69.61,82.39,50.74,83.92,78.52,39.35,104.04,40.91,-6.56,-1.52
Net Income Growth,-69.91%,-15.50%,62.38%,-39.54%,6.88%,99.57%,-62.18%,154.29%,-,-,-
Shares Outstanding (Basic),77,77,77,78,78,77,75,73,72,65,58
Shares Outstanding (Diluted),78,78,78,78,79,79,77,75,74,65,58
Shares Change (YoY),-1.03%,0.36%,-0.05%,-1.18%,0.17%,2.22%,2.80%,1.27%,14.32%,12.26%,3.47%
EPS (Basic),0.53,0.90,1.06,0.65,1.08,1.02,0.52,1.42,0.57,-0.10,-0.03
EPS (Diluted),0.53,0.89,1.05,0.65,1.06,0.99,0.51,1.38,0.55,-0.10,-0.03
EPS Growth,-69.32%,-15.24%,61.54%,-38.68%,7.07%,94.12%,-63.04%,150.91%,-,-,-
Free Cash Flow,5.33,79.1,8.58,66.53,72.87,113.39,100.2,48.83,68.57,5.9,27.48
Free Cash Flow Per Share,0.07,1.01,0.11,0.85,0.92,1.44,1.30,0.65,0.92,0.09,0.47
Gross Margin,38.24%,40.33%,39.07%,39.64%,42.45%,41.63%,40.37%,39.71%,39.41%,29.36%,30.36%
Operating Margin,5.46%,5.79%,1.55%,7.41%,13.37%,12.20%,8.50%,6.82%,8.55%,-3.05%,-1.25%
Profit Margin,5.38%,9.12%,12.42%,6.78%,10.90%,11.32%,6.68%,19.64%,7.46%,-1.71%,-0.54%
Free Cash Flow Margin,0.70%,10.36%,1.29%,8.89%,9.47%,16.35%,17.00%,9.22%,12.50%,1.54%,9.73%
EBITDA,78.38,77.1,47.76,93.43,147.4,133.31,94.98,79.8,91.44,35.11,20.24
EBITDA Margin,10.32%,10.10%,7.20%,12.49%,19.15%,19.22%,16.11%,15.07%,16.67%,9.14%,7.17%
D&A For EBITDA,36.95,32.9,37.45,38.04,44.52,48.69,44.86,43.69,44.57,46.8,23.77
EBIT,41.43,44.2,10.3,55.39,102.89,84.63,50.13,36.11,46.87,-11.69,-3.54
EBIT Margin,5.46%,5.79%,1.55%,7.41%,13.37%,12.20%,8.50%,6.82%,8.55%,-3.05%,-1.25%
Effective Tax Rate,22.14%,12.34%,7.71%,12.32%,14.80%,7.81%,22.95%,-,3.06%,-,-
