Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,119","8,191","7,254","5,417","8,630","5,957","3,868","2,470","2,517","1,700","1,450"
Market Cap Growth,-15.96%,12.91%,33.93%,-37.23%,44.86%,54.03%,56.59%,-1.88%,48.09%,17.22%,-
Enterprise Value,"8,873","9,860","8,415","6,377","9,434","6,766","5,014","2,845","2,857","1,983","1,666"
Last Close Price,155.74,180.17,160.37,120.52,191.97,133.07,89.96,65.79,66.69,44.94,37.89
PE Ratio,51.39,60.96,72.26,44.74,63.82,68.27,-,37.50,48.92,50.59,67.78
PS Ratio,1.30,1.57,1.67,1.45,2.66,2.15,1.61,1.28,1.46,1.15,1.15
PB Ratio,3.93,5.00,5.35,4.75,8.47,6.98,6.44,6.37,8.12,6.00,5.93
P/FCF Ratio,24.66,47.38,38.66,191.51,79.13,23.61,63.22,41.96,31.71,21.28,21.52
P/OCF Ratio,17.07,28.67,25.88,51.15,51.59,20.42,35.88,24.83,21.77,15.59,16.65
EV/Sales Ratio,1.62,1.89,1.94,1.70,2.90,2.44,2.08,1.47,1.65,1.34,1.32
EV/EBITDA Ratio,16.54,20.19,21.34,19.11,30.18,24.87,22.08,15.39,18.41,15.54,16.51
EV/EBIT Ratio,25.19,30.52,31.59,28.53,44.16,38.95,33.99,21.54,25.25,21.88,23.17
EV/FCF Ratio,30.74,57.04,44.85,225.46,86.50,26.81,81.96,48.33,35.99,24.82,24.72
Debt / Equity Ratio,0.84,0.96,1.04,0.84,0.81,0.88,1.51,0.86,0.87,0.89,0.82
Debt / EBITDA Ratio,2.48,2.83,3.16,2.48,2.31,2.43,3.50,1.81,1.74,1.97,1.99
Debt / FCF Ratio,5.24,9.06,7.55,33.66,7.55,2.99,14.85,5.68,3.40,3.14,2.99
Asset Turnover,1.29,1.33,1.35,1.42,1.38,1.34,1.63,2.08,2.14,2.16,2.08
Inventory Turnover,12.61,13.31,12.07,12.71,14.52,15.83,22.90,30.64,35.14,45.79,68.94
Quick Ratio,1.32,1.39,1.35,1.25,1.17,1.12,1.45,1.39,1.16,1.20,1.30
Current Ratio,1.76,1.83,1.77,1.74,1.56,1.51,1.87,1.83,1.53,1.74,1.77
Return on Equity (ROE),11.25%,12.54%,11.77%,13.43%,16.68%,15.07%,-46.06%,25.87%,25.30%,20.55%,15.78%
Return on Assets (ROA),5.18%,5.16%,5.20%,5.29%,5.68%,5.23%,6.22%,8.90%,8.73%,8.26%,7.39%
Return on Capital (ROIC),6.81%,6.76%,6.84%,7.10%,7.74%,6.97%,8.26%,12.68%,12.70%,11.56%,9.72%
Return on Capital Employed (ROCE),10.10%,9.70%,9.30%,10.50%,11.30%,10.50%,9.20%,16.90%,17.80%,15.20%,15.30%
Earnings Yield,1.95%,1.64%,1.38%,2.23%,1.57%,1.47%,-6.51%,2.67%,2.04%,1.98%,1.47%
FCF Yield,4.05%,2.11%,2.59%,0.52%,1.26%,4.24%,1.58%,2.38%,3.15%,4.70%,4.65%
Dividend Yield,0.69%,0.56%,0.56%,0.67%,0.38%,0.50%,0.67%,0.82%,0.73%,0.98%,0.79%
Payout Ratio,35.47%,32.62%,38.90%,28.81%,23.08%,31.46%,-,28.51%,33.31%,46.05%,33.63%
Buyback Yield / Dilution,-1.37%,-1.08%,-0.68%,-0.21%,-2.82%,-12.97%,-4.52%,-0.03%,-0.53%,0.16%,-0.17%
Total Shareholder Return,-0.68%,-0.53%,-0.11%,0.46%,-2.44%,-12.48%,-3.86%,0.79%,0.20%,1.14%,0.62%
