Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"9,473","8,641","6,228","6,243","7,208",-,-,-,-,-,-
Market Cap Growth,6.17%,38.73%,-0.23%,-13.39%,-,-,-,-,-,-,-
Enterprise Value,"21,155","18,943","15,447","12,823","13,008",-,-,-,-,-,-
Last Close Price,37.84,34.70,25.34,25.48,29.49,-,-,-,-,-,-
PE Ratio,-,-,214.77,14.16,1.46,-,-,-,-,-,-
Forward PE,-,-,-,42.96,34.69,-,-,-,-,-,-
PS Ratio,1.55,1.46,1.08,1.08,1.12,-,-,-,-,-,-
PB Ratio,2.02,1.75,1.18,1.22,1.57,-,-,-,-,-,-
P/TBV Ratio,5.65,5.15,3.68,5.08,19.32,-,-,-,-,-,-
P/OCF Ratio,5.28,5.33,4.63,4.46,9.04,-,-,-,-,-,-
EV/Sales Ratio,3.46,3.19,2.69,2.22,2.03,-,-,-,-,-,-
EV/EBITDA Ratio,9.41,8.91,7.06,5.35,5.45,-,-,-,-,-,-
EV/EBIT Ratio,47.43,37.74,19.96,10.56,11.36,-,-,-,-,-,-
Debt / Equity Ratio,2.56,2.44,2.26,1.85,1.81,-3.49,-4.02,10.73,7.75,3.97,2.83
Debt / EBITDA Ratio,5.24,5.54,5.34,3.87,3.43,6.06,5.40,4.95,4.96,5.20,6.90
Debt / FCF Ratio,-,-,-,-,-,21.16,62.70,27.70,26.63,65.18,35.16
Asset Turnover,0.29,0.29,0.29,0.33,0.39,0.42,0.39,0.36,0.34,0.32,0.24
Quick Ratio,0.25,0.52,1.19,1.11,1.79,0.31,0.51,0.44,0.49,0.62,0.82
Current Ratio,0.31,0.55,1.22,1.13,1.85,0.34,1.08,0.52,0.53,0.68,5.35
Return on Equity (ROE),-7.80%,-6.30%,0.56%,9.06%,-,-,-,-33.20%,-53.11%,-7.36%,-4.23%
Return on Assets (ROA),1.31%,1.52%,2.46%,4.32%,4.30%,4.25%,4.33%,3.90%,3.18%,3.15%,2.68%
Return on Capital (ROIC),1.67%,1.84%,3.04%,5.51%,5.70%,5.71%,5.55%,4.89%,4.04%,4.03%,3.52%
Return on Capital Employed (ROCE),2.40%,2.70%,4.20%,7.40%,7.60%,12.90%,9.70%,7.20%,6.10%,5.30%,3.90%
Earnings Yield,-4.02%,-3.73%,0.47%,7.06%,68.75%,-,-,-,-,-,-
FCF Yield,-14.98%,-13.45%,-29.98%,-21.42%,-12.60%,-,-,-,-,-,-
Buyback Yield / Dilution,-1.02%,0.11%,-1.30%,-23.32%,-90.39%,-0.39%,-16.04%,-15.37%,-0.17%,-7.33%,-8.66%
Total Shareholder Return,-1.02%,0.11%,-1.30%,-23.32%,-90.39%,-0.39%,-16.04%,-15.37%,-0.17%,-7.33%,-8.66%
