Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"2,082",551,385,321,462,532,368,-,-
Market Cap Growth,307.18%,43.03%,19.83%,-30.48%,-13.03%,44.39%,-,-,-
Enterprise Value,"2,437",875,687,557,661,986,-,-,-
Last Close Price,11.10,11.97,8.37,6.71,8.84,10.90,8.39,-,-
PE Ratio,33.81,29.47,30.15,16.22,21.52,131.31,-,-,-
Forward PE,13.04,15.87,13.94,13.22,15.16,-,-,-,-
PS Ratio,1.00,1.08,0.87,0.72,0.87,1.24,0.89,-,-
PB Ratio,556.23,-6.10,-3.46,-3.42,-8.29,16.15,-1.72,-,-
P/FCF Ratio,11.30,4.17,4.36,1.49,2.59,7.95,3.99,-,-
P/OCF Ratio,11.01,3.70,4.18,1.49,2.59,7.80,3.83,-,-
PEG Ratio,-,2.13,2.13,2.05,-,-,-,-,-
EV/Sales Ratio,4.49,1.71,1.55,1.25,1.25,2.30,-,-,-
EV/EBITDA Ratio,19.24,11.39,-,6.62,5.83,-,-,-,-
EV/EBIT Ratio,19.92,11.90,-,6.93,6.04,-,-,-,-
EV/FCF Ratio,12.96,6.62,7.78,2.58,3.71,14.74,-,-,-
Debt / Equity Ratio,129.02,-5.42,-3.90,-4.36,-7.00,11.04,-2.17,-2.15,-
Debt / EBITDA Ratio,3.57,5.42,108.34,4.28,3.44,-,4.86,4.98,-
Debt / FCF Ratio,2.62,3.71,4.91,1.90,2.19,5.44,5.03,3.72,-
Asset Turnover,0.86,0.92,0.89,0.83,0.87,0.85,1.12,-,-
Quick Ratio,1.87,1.41,0.98,1.34,1.63,2.74,1.26,1.05,-
Current Ratio,1.97,1.51,1.12,1.49,1.72,2.85,1.37,1.12,-
Return on Assets (ROA),12.13%,8.22%,-1.49%,9.38%,11.27%,-5.36%,14.26%,-,-
Return on Capital (ROIC),17.24%,12.73%,-2.32%,15.44%,18.70%,-8.34%,22.09%,-,-
Return on Capital Employed (ROCE),21.70%,15.10%,-2.90%,20.10%,24.20%,-8.10%,30.10%,27.30%,-
Earnings Yield,1.60%,3.39%,3.32%,6.17%,4.65%,0.76%,-,-,-
FCF Yield,8.85%,23.97%,22.93%,67.11%,38.55%,12.58%,25.04%,-,-
Dividend Yield,4.43%,3.68%,5.26%,6.26%,4.19%,0.55%,-,-,-
Payout Ratio,137.36%,109.92%,159.08%,93.00%,67.62%,3795.26%,-,-,320.87%
Buyback Yield / Dilution,-4.08%,-1.68%,0.60%,0.26%,-2.63%,-82.47%,-,-,-
Total Shareholder Return,0.30%,1.99%,5.86%,6.52%,1.56%,-81.92%,-,-,-
