Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,602.2,630.2,838,426.41,356.13,227.98,204.89,214.11,241.2,216.08,178.2
Revenue Growth (YoY),-1.41%,-24.80%,96.53%,19.73%,56.21%,11.27%,-4.31%,-11.23%,11.63%,21.25%,104.06%
Cost of Revenue,548.44,560.99,686.45,698,557.32,363.3,298.34,258.11,251.34,223.2,158.15
Gross Profit,53.76,69.21,151.55,-271.59,-201.19,-135.32,-93.45,-44,-10.14,-7.12,20.06
"Selling, General & Admin",96.73,112.91,133.18,136.11,127.13,61.35,52.93,48.65,43.28,39.58,29.83
Operating Expenses,73.46,112.91,133.18,136.11,127.13,61.35,52.93,48.65,43.28,39.58,29.83
Operating Income,-19.7,-43.71,18.38,-407.69,-328.32,-196.67,-146.39,-92.64,-53.42,-46.7,-9.77
Interest Expense,-2.87,-2.87,-0.76,-0.65,-0.59,-0.79,-1.03,-1.01,-1.46,-1.63,-1.4
Interest & Investment Income,40.08,40.08,36.15,9.6,2.08,3.24,4.94,5.98,1.22,0.5,0.45
Earnings From Equity Investments,35.79,46.47,47.3,49.75,60.62,79.05,40.7,19.33,33.65,66.24,22.57
Currency Exchange Gain (Loss),5.06,5.06,8.66,-5.7,1.67,3.27,-,-0.23,-0.32,-0.11,-0.08
Other Non Operating Income (Expenses),4.02,5.13,1.65,-5.97,-11.89,1.22,1.37,1.25,0.43,0.58,0.26
EBT Excluding Unusual Items,62.38,50.17,111.37,-360.67,-276.43,-110.69,-100.41,-67.32,-19.88,18.89,12.03
Gain (Loss) on Sale of Investments,477.46,-,-,-,121.31,-,-,-,-,-,-
Asset Writedown,-4.8,-4.8,-5.77,-,-,-,-,-,-,-,-
Pretax Income,535.03,45.36,105.6,-360.67,-155.12,-110.69,-100.41,-67.32,-19.88,18.89,12.03
Income Tax Expense,67.47,7.19,4.51,-0.28,11.92,4.83,3.27,3.96,3.08,4.33,1.61
Earnings From Continuing Operations,467.56,38.17,101.09,-360.39,-167.04,-115.52,-103.68,-71.29,-22.96,14.56,10.43
Net Income to Company,467.56,38.17,101.09,-360.39,-167.04,-115.52,-103.68,-71.29,-22.96,14.56,10.43
Minority Interest in Earnings,-0.68,-0.44,-0.31,-0.45,-27.61,-10.21,-2.35,-3.52,-3.77,-2.86,-45.44
Net Income,466.88,37.73,100.78,-360.84,-194.65,-125.73,-106.02,-74.81,-26.74,11.7,-35.01
Net Income to Common,466.88,37.73,100.78,-360.84,-194.65,-125.73,-106.02,-74.81,-26.74,11.7,-35.01
Net Income Growth,-,-62.56%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),856,855,850,847,793,698,666,664,617,597,547
Shares Outstanding (Diluted),873,873,869,847,793,698,666,664,617,600,547
Shares Change (YoY),2.18%,0.42%,2.60%,6.87%,13.58%,4.84%,0.21%,7.63%,2.91%,9.72%,3.99%
EPS (Basic),0.55,0.04,0.12,-0.43,-0.25,-0.18,-0.16,-0.11,-0.04,0.02,-0.06
EPS (Diluted),0.53,0.04,0.12,-0.43,-0.25,-0.18,-0.16,-0.11,-0.04,0.02,-0.06
EPS Growth,-,-66.28%,-,-,-,-,-,-,-,-,-
Free Cash Flow,-49.66,-17.44,186.65,-305.26,-220.62,-70.02,-89.48,-39.21,-13.96,-13.9,-12.71
Free Cash Flow Per Share,-0.06,-0.02,0.21,-0.36,-0.28,-0.10,-0.13,-0.06,-0.02,-0.02,-0.02
Gross Margin,8.93%,10.98%,18.09%,-63.69%,-56.49%,-59.36%,-45.61%,-20.55%,-4.20%,-3.29%,11.26%
Operating Margin,-3.27%,-6.93%,2.19%,-95.61%,-92.19%,-86.27%,-71.45%,-43.27%,-22.15%,-21.61%,-5.48%
Profit Margin,77.53%,5.99%,12.03%,-84.62%,-54.66%,-55.15%,-51.75%,-34.94%,-11.09%,5.41%,-19.65%
Free Cash Flow Margin,-8.25%,-2.77%,22.27%,-71.59%,-61.95%,-30.71%,-43.67%,-18.31%,-5.79%,-6.43%,-7.13%
EBITDA,-7.49,-31.36,26.58,-399.03,-321.13,-190.61,-141.44,-89.05,-50.84,-44.36,-7.76
EBITDA Margin,-1.24%,-4.98%,3.17%,-93.58%,-90.17%,-83.61%,-69.03%,-41.59%,-21.08%,-20.53%,-4.35%
D&A For EBITDA,12.21,12.34,8.21,8.66,7.19,6.06,4.94,3.59,2.58,2.34,2.02
EBIT,-19.7,-43.71,18.38,-407.69,-328.32,-196.67,-146.39,-92.64,-53.42,-46.7,-9.77
EBIT Margin,-3.27%,-6.93%,2.19%,-95.61%,-92.19%,-86.27%,-71.45%,-43.27%,-22.15%,-21.61%,-5.48%
Effective Tax Rate,12.61%,15.86%,4.27%,-,-,-,-,-,-,22.93%,13.34%
Revenue as Reported,602.2,630.2,838,426.41,356.13,227.98,204.89,214.11,241.2,216.08,178.2
