Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,733.07,712.96,553.84,528.75,367.92,341.64,274.05,252.18,244.03,179.82,180.8
Revenue Growth (YoY),13.01%,28.73%,4.75%,43.71%,7.69%,24.66%,8.67%,3.34%,35.71%,-0.54%,16.35%
Cost of Revenue,287.53,274.5,204,198.41,129.17,136.32,100.14,93.9,79.47,72.12,92.07
Gross Profit,445.54,438.47,349.84,330.34,238.75,205.32,173.91,158.28,164.56,107.7,88.73
"Selling, General & Admin",129.1,121.91,104.02,90.3,69.19,49.59,57.48,48.96,38.21,31.59,26.9
Operating Expenses,129.1,121.91,104.02,90.3,69.19,49.59,57.48,48.96,38.21,31.59,26.9
Operating Income,316.44,316.55,245.82,240.04,169.56,155.73,116.43,109.32,126.35,76.12,61.83
Interest Expense,-15.37,-13.33,-11.18,-8.62,-4.64,-2.5,-2.82,-3.04,-5.99,-14.57,-12.64
Interest & Investment Income,11.95,8.08,10.01,5.11,0.5,1.68,0.71,0.26,0.53,0.32,0.19
Earnings From Equity Investments,45.91,30.63,36.49,6.54,79.3,30.27,20.25,7.2,17.1,12.8,1.52
Other Non Operating Income (Expenses),-11.95,-2.37,-1.89,-38.2,51.4,0.75,0.44,9.78,5.04,0.08,0.41
EBT Excluding Unusual Items,346.98,339.56,279.25,204.88,296.13,185.92,135.01,123.52,143.03,74.75,51.31
Gain (Loss) on Sale of Investments,44.46,22.72,2.41,37.73,17.55,7.28,5.73,11.14,-,-,5.41
Other Unusual Items,-,-,-,-,-,-,-,-5.1,-3.4,-,-
Pretax Income,391.44,362.28,281.66,242.61,313.68,193.2,140.74,129.56,139.63,74.75,56.72
Income Tax Expense,60.01,48.51,54.45,55.43,66.42,24.42,13.97,30.56,33.33,0.32,0.87
Earnings From Continuing Operations,331.43,313.77,227.21,187.19,247.25,168.79,126.78,99,106.3,74.44,55.85
Minority Interest in Earnings,-103.33,-96.35,-86.35,-78.07,-101.27,-70.76,-65.95,-65.42,-88.96,-73.83,-55.85
Net Income,228.11,217.42,140.86,109.12,145.99,98.02,60.83,33.57,17.34,0.61,-
Preferred Dividends & Other Adjustments,-,-,-,-3.81,-0.95,4.64,-,-,-,-,-
Net Income to Common,228.11,217.42,140.86,112.93,146.94,93.39,60.83,33.57,17.34,0.61,-
Net Income Growth,25.46%,54.35%,29.09%,-25.25%,48.93%,61.15%,81.17%,93.61%,2733.50%,-,-
Shares Outstanding (Basic),41,40,38,37,37,33,28,24,18,18,57
Shares Outstanding (Diluted),41,40,54,54,54,33,28,24,19,18,57
Shares Change (YoY),-24.49%,-25.22%,0.38%,0.04%,60.88%,17.31%,17.04%,27.95%,3.54%,-67.66%,-24.03%
EPS (Basic),5.59,5.45,3.72,3.05,4.02,2.82,2.17,1.41,0.94,0.03,-
EPS (Diluted),5.55,5.41,3.69,3.01,3.98,2.81,2.15,1.40,0.93,0.03,-
EPS Growth,19.80%,46.35%,22.67%,-24.36%,41.91%,30.44%,54.06%,49.83%,2652.36%,-,-
Free Cash Flow,340,288.66,109.78,221.84,161,169.52,114.4,106.26,94.44,80.4,108.25
Free Cash Flow Per Share,8.34,7.16,2.04,4.13,3.00,5.08,4.02,4.37,4.97,4.38,1.91
Dividend Per Share,2.060,1.960,1.780,1.600,1.400,1.250,1.100,0.850,0.700,-,-
Dividend Growth,10.16%,10.11%,11.25%,14.29%,12.00%,13.64%,29.41%,21.43%,-,-,-
Gross Margin,60.78%,61.50%,63.17%,62.48%,64.89%,60.10%,63.46%,62.77%,67.44%,59.89%,49.08%
Operating Margin,43.17%,44.40%,44.38%,45.40%,46.09%,45.58%,42.48%,43.35%,51.78%,42.33%,34.20%
Profit Margin,31.12%,30.50%,25.43%,21.36%,39.94%,27.33%,22.20%,13.31%,7.11%,0.34%,-
Free Cash Flow Margin,46.38%,40.49%,19.82%,41.96%,43.76%,49.62%,41.74%,42.13%,38.70%,44.71%,59.88%
EBITDA,326.09,325.84,254,247.48,175.06,159.86,119.72,111.82,128.24,78.03,63.86
EBITDA Margin,44.48%,45.70%,45.86%,46.80%,47.58%,46.79%,43.69%,44.34%,52.55%,43.39%,35.32%
D&A For EBITDA,9.65,9.29,8.19,7.44,5.5,4.13,3.29,2.5,1.89,1.92,2.03
EBIT,316.44,316.55,245.82,240.04,169.56,155.73,116.43,109.32,126.35,76.12,61.83
EBIT Margin,43.17%,44.40%,44.38%,45.40%,46.09%,45.58%,42.48%,43.35%,51.78%,42.33%,34.20%
Effective Tax Rate,15.33%,13.39%,19.33%,22.84%,21.18%,12.64%,9.92%,23.59%,23.87%,0.42%,1.53%
Revenue as Reported,733.07,712.96,553.84,528.75,367.92,341.64,274.05,252.18,244.03,179.82,180.8
