Period Ending,"Nov '25Nov 14, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"7,418","6,443","4,563","2,855","2,875","3,214","1,650","1,192",862,352,-
Market Cap Growth,-24.89%,41.21%,59.81%,-0.68%,-10.54%,94.74%,38.39%,38.36%,144.85%,-,-
Enterprise Value,"7,549","6,753","4,845","3,137","3,438","3,352","1,718","1,255",928,549,-
Last Close Price,131.25,147.55,110.38,71.06,72.50,81.77,50.16,38.74,32.45,15.86,-
PE Ratio,23.67,29.63,32.39,25.28,19.57,34.41,27.13,35.52,49.70,575.10,-
Forward PE,23.64,30.26,26.41,21.15,23.50,34.58,27.41,23.04,21.85,-,-
PS Ratio,7.30,9.04,8.24,5.40,7.81,9.41,6.02,4.73,3.53,1.96,-
PB Ratio,6.99,6.97,6.75,4.97,3.90,5.45,6.95,7.03,6.33,4.06,-
P/TBV Ratio,8.98,9.14,8.93,7.15,8.85,14.20,11.58,11.50,12.06,6.01,-
P/FCF Ratio,21.82,22.32,41.56,12.87,17.86,18.96,14.43,11.22,9.13,4.38,-
P/OCF Ratio,21.10,21.42,37.75,12.60,16.96,17.08,14.18,10.68,8.91,4.31,-
PEG Ratio,-,2.83,1.89,19.77,1.81,3.14,1.83,1.54,1.46,-,-
EV/Sales Ratio,10.30,9.47,8.75,5.93,9.34,9.81,6.27,4.98,3.80,3.05,-
EV/EBITDA Ratio,23.15,20.73,19.07,12.68,19.64,20.97,14.35,11.22,7.24,7.04,-
EV/EBIT Ratio,23.86,21.33,19.71,13.07,20.27,21.52,14.76,11.48,7.34,7.22,-
EV/FCF Ratio,22.20,23.39,44.13,14.14,21.35,19.77,15.02,11.81,9.82,6.83,-
Debt / Equity Ratio,0.32,0.41,0.43,0.53,0.36,0.43,0.36,0.42,0.62,0.97,-2.17
Debt / EBITDA Ratio,1.10,1.13,1.09,1.19,1.44,1.54,0.68,0.63,0.66,1.08,3.81
Debt / FCF Ratio,1.10,1.32,2.63,1.38,1.66,1.51,0.74,0.67,0.89,1.05,2.25
Asset Turnover,0.43,0.48,0.46,0.43,0.30,0.42,0.66,0.77,0.91,0.82,0.91
Quick Ratio,2.99,3.87,2.82,2.07,1.91,1.58,3.07,1.90,2.54,6.68,5.80
Current Ratio,3.18,4.03,3.02,2.26,2.08,1.71,3.44,2.08,2.70,7.30,6.18
Return on Equity (ROE),33.82%,39.23%,36.35%,28.54%,37.25%,40.79%,62.28%,64.75%,95.46%,-,-
Return on Assets (ROA),11.62%,13.36%,12.74%,12.32%,8.72%,12.09%,17.45%,20.88%,29.55%,21.76%,19.41%
Return on Capital (ROIC),15.10%,17.44%,16.65%,15.91%,11.45%,16.66%,25.86%,29.65%,40.38%,31.47%,24.71%
Return on Capital Employed (ROCE),17.20%,20.00%,20.70%,22.50%,13.80%,14.70%,26.10%,33.90%,47.20%,32.60%,33.90%
Earnings Yield,3.08%,3.37%,3.09%,3.82%,5.08%,3.05%,3.69%,2.82%,2.01%,0.17%,-
FCF Yield,4.58%,4.48%,2.41%,7.77%,5.60%,5.27%,6.93%,8.91%,10.96%,22.84%,-
Dividend Yield,1.65%,1.33%,1.61%,2.25%,1.93%,1.53%,2.19%,2.19%,2.16%,-,-
Payout Ratio,38.05%,55.10%,77.58%,124.50%,66.68%,75.54%,125.66%,206.49%,267.88%,13146.57%,-
Buyback Yield / Dilution,24.49%,25.22%,-0.38%,-0.04%,-60.88%,-17.31%,-17.04%,-27.95%,-3.54%,67.66%,24.03%
Total Shareholder Return,26.13%,26.55%,1.23%,2.21%,-58.95%,-15.78%,-14.85%,-25.76%,-1.38%,67.66%,24.03%
