Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021"
Cash & Equivalents,33.49,85.04,30.5,10.38,21.07,6.72
Cash & Short-Term Investments,33.49,85.04,30.5,10.38,21.07,6.72
Cash Growth,-53.66%,178.80%,193.90%,-50.73%,213.59%,-
Accounts Receivable,6.67,6.99,3.34,0.64,1.17,-
Other Receivables,2.51,1.07,-,-,5.49,-
Receivables,9.18,8.06,3.34,0.64,6.65,-
Prepaid Expenses,13.75,8.24,8.57,3.61,7.6,-
Restricted Cash,6.14,0.59,0.45,-,-,-
Other Current Assets,160.85,154.9,18.76,4.75,1.76,3.07
Total Current Assets,223.41,256.84,61.62,19.37,37.08,9.78
"Property, Plant & Equipment",665.75,242.27,132.6,71.26,119.61,7.42
Long-Term Investments,56.56,88.39,82.66,93.58,-,-
Goodwill,206.62,53.08,57.6,-,-,-
Other Intangible Assets,11.93,13.27,17.28,5.54,-,-
Long-Term Deferred Tax Assets,-,-,-,-,-,2.1
Other Long-Term Assets,"1,524",865,389.09,0.25,88.34,23.87
Total Assets,"2,688","1,519",740.84,190,245.03,43.16
Accounts Payable,62,11.29,14.96,3.61,6.27,1.46
Accrued Expenses,-,30.5,21.7,4.01,1.34,0.38
Current Portion of Long-Term Debt,130.09,64.97,64.13,1.3,77.22,4.09
Current Portion of Leases,10.61,7.47,1.97,0.4,0.5,0.2
Current Unearned Revenue,1.96,6.2,2.7,1.03,14.84,-
Other Current Liabilities,105.35,33.53,7.1,-,-,-
Total Current Liabilities,310,153.96,112.56,10.34,100.16,6.13
Long-Term Debt,217.39,235.62,123.32,149.89,51.06,-
Long-Term Leases,32.57,37.59,14.4,0.94,1.91,0.31
Long-Term Deferred Tax Liabilities,187.82,111.11,0.61,1.45,2.97,-
Other Long-Term Liabilities,286.77,-,2.32,-,1.32,0.86
Total Liabilities,"1,035",538.28,253.2,162.62,157.42,7.29
Common Stock,1.06,1,0.89,0.43,0.42,-
Additional Paid-In Capital,"1,177",789.6,576.24,133.44,128.08,20.31
Retained Earnings,285.16,231.63,-100.25,-106.5,-40.89,-9.08
Comprehensive Income & Other,-20.96,-45.55,10.76,-,-,-
Total Common Equity,"1,442",976.67,487.64,27.37,87.6,11.22
Minority Interest,211.58,3.91,-,-,-,-
Shareholders' Equity,"1,654",980.58,487.64,27.37,87.6,35.87
Total Liabilities & Equity,"2,688","1,519",740.84,190,245.03,43.16
Total Debt,390.65,345.65,203.82,152.53,130.68,4.6
Net Cash (Debt),-357.16,-260.61,-173.31,-142.15,-109.61,2.12
Net Cash Per Share,-3.24,-2.58,-3.53,-3.43,-3.23,0.08
Filing Date Shares Outstanding,108.04,103.86,89.24,221.69,43.12,27.96
Total Common Shares Outstanding,106.31,99.48,88.96,221.61,43.12,27.96
Working Capital,-86.59,102.89,-50.94,9.03,-63.08,3.65
Book Value Per Share,13.56,9.82,5.48,0.12,2.03,0.40
Tangible Book Value,"1,224",910.31,412.77,21.84,87.6,11.22
Tangible Book Value Per Share,11.51,9.15,4.64,0.10,2.03,0.40
Land,18.97,0.26,0.05,-,1.74,-
Machinery,9.01,8.03,8.25,-,-,7.32
Construction In Progress,39.02,55.92,12.47,10.93,32.18,-
Leasehold Improvements,1.95,0.68,0.74,0.06,0.06,-
