Period Ending,"Sep '25Sep 28, 2025","Mar '25Mar 30, 2025","Mar '24Mar 31, 2024","Apr '23Apr 2, 2023","Apr '22Apr 3, 2022","Mar '21Mar 28, 2021","Mar '20Mar 29, 2020","Mar '19Mar 31, 2019","Apr '18Apr 1, 2018","Apr '17Apr 2, 2017","Apr '16Apr 3, 2016"
Revenue,"1,045",974.43,919.16,935.1,774.54,596.87,540.2,556.33,504.17,483.59,413.98
Revenue Growth (YoY),11.86%,6.01%,-1.70%,20.73%,29.77%,10.49%,-2.90%,10.35%,4.25%,16.82%,13.72%
Cost of Revenue,804.56,748.89,725.53,769.98,628.02,473.11,439.28,460.39,417.41,385.52,333.72
Gross Profit,240.67,225.54,193.64,165.12,146.52,123.76,100.92,95.94,86.76,98.07,80.26
"Selling, General & Admin",121.49,106.36,89.6,76.97,75.33,67.88,59.25,59.12,59.4,59.38,44.59
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,-,-,-,-,1.2
Operating Expenses,121.49,106.36,89.6,76.97,75.33,67.88,59.25,59.12,59.4,59.38,45.79
Operating Income,119.18,119.17,104.04,88.15,71.19,55.88,41.67,36.82,27.36,38.69,34.47
Interest Expense,-9.84,-5.43,-4.28,-5.23,-1.4,-1.47,-2.51,-3.36,-3.41,-2.64,-0.81
Other Non Operating Income (Expenses),1.47,0.64,1.39,-0.33,0.19,1.44,-0.2,0.07,0.09,-,-
EBT Excluding Unusual Items,110.81,114.38,101.15,82.58,69.98,55.85,38.96,33.53,24.04,36.05,33.67
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-3.3
Impairment of Goodwill,-,-,-,-,-,-,-,-,-39.12,-,-
Pretax Income,112.54,114.38,101.15,82.58,69.98,55.85,38.96,33.53,-15.08,36.05,30.37
Income Tax Expense,29.42,30.04,25.78,22.54,18.44,14.87,10.59,9.1,-5.9,13.49,12.22
Net Income,83.12,84.35,75.36,60.04,51.54,40.98,28.37,24.43,-9.18,22.56,18.14
Net Income to Common,83.12,84.35,75.36,60.04,51.54,40.98,28.37,24.43,-9.18,22.56,18.14
Net Income Growth,1.72%,11.92%,25.52%,16.49%,25.77%,44.46%,16.10%,-,-,24.32%,-5.57%
Shares Outstanding (Basic),21,21,21,21,21,21,21,21,21,21,21
Shares Outstanding (Diluted),21,21,21,21,21,21,21,21,21,21,21
Shares Change (YoY),-0.19%,-0.37%,-0.00%,-0.57%,-0.59%,-0.23%,-0.67%,1.12%,0.11%,0.17%,-0.52%
EPS (Basic),4.00,4.05,3.61,2.88,2.46,1.95,1.34,1.15,-0.43,1.07,0.86
EPS (Diluted),3.97,4.03,3.59,2.86,2.44,1.93,1.33,1.14,-0.43,1.06,0.86
EPS Growth,1.59%,12.26%,25.52%,17.21%,26.42%,45.11%,16.67%,-,-,23.84%,-4.97%
Free Cash Flow,78.76,70,119.35,29.08,14.33,23,34.35,35.37,7.65,23.24,12.15
Free Cash Flow Per Share,3.77,3.34,5.68,1.38,0.68,1.08,1.61,1.65,0.36,1.10,0.57
Dividend Per Share,0.730,0.700,0.630,0.570,0.522,0.471,0.461,0.340,0.440,0.420,0.400
Dividend Growth,10.61%,11.11%,10.53%,9.09%,10.88%,2.17%,35.66%,-22.73%,4.76%,5.00%,5.26%
Gross Margin,23.03%,23.15%,21.07%,17.66%,18.92%,20.73%,18.68%,17.24%,17.21%,20.28%,19.39%
Operating Margin,11.40%,12.23%,11.32%,9.43%,9.19%,9.36%,7.71%,6.62%,5.43%,8.00%,8.33%
Profit Margin,7.95%,8.66%,8.20%,6.42%,6.65%,6.87%,5.25%,4.39%,-1.82%,4.66%,4.38%
Free Cash Flow Margin,7.54%,7.18%,12.98%,3.11%,1.85%,3.85%,6.36%,6.36%,1.52%,4.81%,2.94%
EBITDA,165.42,159.12,135.84,115.59,95.32,78.55,63.26,58.57,49.75,59.57,49.98
EBITDA Margin,15.83%,16.33%,14.78%,12.36%,12.31%,13.16%,11.71%,10.53%,9.87%,12.32%,12.07%
D&A For EBITDA,46.25,39.95,31.8,27.44,24.13,22.67,21.58,21.76,22.39,20.88,15.51
EBIT,119.18,119.17,104.04,88.15,71.19,55.88,41.67,36.82,27.36,38.69,34.47
EBIT Margin,11.40%,12.23%,11.32%,9.43%,9.19%,9.36%,7.71%,6.62%,5.43%,8.00%,8.33%
Effective Tax Rate,26.14%,26.26%,25.49%,27.30%,26.35%,26.63%,27.18%,27.13%,-,37.43%,40.25%
