Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018"
Market Capitalization,"4,126","2,903","4,694","2,005",641,"1,571",851,-,-
Market Cap Growth,-3.66%,-38.16%,134.16%,212.60%,-59.19%,84.72%,-,-,-
Enterprise Value,"3,714","2,528","4,004","1,574",117,"1,153",730,-,-
Last Close Price,24.30,17.09,32.31,15.51,5.51,16.04,15.56,-,-
PB Ratio,8.16,4.10,7.60,5.53,1.37,4.01,9.04,-,-
P/TBV Ratio,8.15,4.10,7.60,5.53,1.37,4.01,9.04,-,-
Debt / Equity Ratio,-,0,0,0.00,0.01,0.01,0.03,-,-
Quick Ratio,8.28,10.42,13.18,8.72,11.38,21.38,6.76,1.53,-
Current Ratio,9.07,11.16,13.70,9.34,11.52,21.79,7.12,1.94,0.07
Return on Equity (ROE),-95.93%,-62.46%,-52.91%,-50.69%,-36.39%,-44.25%,-130.93%,-979.03%,-
Return on Assets (ROA),-55.42%,-37.97%,-31.50%,-28.26%,-21.02%,-25.90%,-64.70%,-254.87%,-
Return on Capital (ROIC),-62.85%,-41.32%,-34.41%,-31.14%,-22.49%,-27.46%,-76.22%,-608.17%,-
Return on Capital Employed (ROCE),-93.70%,-61.90%,-43.70%,-57.40%,-33.10%,-27.50%,-67.80%,-387.30%,9136.00%
Earnings Yield,-10.97%,-14.26%,-5.52%,-10.52%,-24.44%,-6.84%,-7.80%,-,-
FCF Yield,-10.18%,-12.97%,-4.57%,-9.40%,-16.59%,-5.32%,-6.28%,-,-
Buyback Yield / Dilution,-12.85%,-9.76%,-12.21%,-12.21%,-24.98%,-103.14%,-94.85%,-121.71%,-
