Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,871.71,830.68,790.72,721.03,614.5,583.44,560.44,523.01,448.05,433.64,411.38
Revenue Growth (YoY),7.30%,5.05%,9.66%,17.34%,5.32%,4.10%,7.16%,16.73%,3.32%,5.41%,0.69%
Cost of Revenue,250.19,230.57,225.12,201.15,150.4,142.69,145.14,142.87,124.84,109.24,101.11
Gross Profit,621.52,600.12,565.6,519.89,464.1,440.75,415.3,380.14,323.21,324.4,310.27
"Selling, General & Admin",153.48,165.08,143.71,123.5,100.47,90.05,93.17,97.85,84.41,82.55,81.45
Research & Development,23.16,28.42,20.27,16.22,11.89,12.04,14.31,22.43,15.25,16.08,16.14
Operating Expenses,385.57,396.63,446.48,443.21,417.79,405.26,405.18,338.48,185.12,148.03,149.42
Operating Income,235.95,203.48,119.13,76.68,46.31,35.48,10.12,41.65,138.09,176.37,160.84
Interest Expense,-94.86,-97.72,-97.24,-69.5,-73.91,-95.93,-125.48,-142.7,-,-,-
Interest & Investment Income,5.26,6.58,6.85,4.41,-,1.66,10.08,87.55,4.33,2.93,3.07
Earnings From Equity Investments,-2.66,15.25,-6.09,-1.5,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),0.53,0.53,0.51,0.11,-0.42,0.03,-1.13,0.14,-0.23,-1.14,-3.76
EBT Excluding Unusual Items,142.34,128.14,23.16,10.2,-28.01,-58.76,-106.41,-13.36,142.18,178.17,160.15
Merger & Restructuring Charges,-3.1,-3.1,-,-,-,-,-,-,-,-,-
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-87.04
Asset Writedown,-,-,-37.5,-,-,-,-,-,-36.8,-,-
Other Unusual Items,-,-,3.5,-1.19,-0.88,-30.21,-111.71,-7.29,14.19,-,-
Pretax Income,139.24,125.04,-10.84,9.01,-28.89,-88.96,-218.12,-20.65,119.57,178.17,73.12
Income Tax Expense,13.39,12.26,-26.25,0.29,-19.57,-32.91,-56.12,-7.27,-114.28,67.13,65.99
Net Income,125.85,112.78,15.42,8.72,-9.32,-56.05,-162,-13.38,233.86,111.03,7.12
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,4.19,10.15,15.44,15.56,15.43
Net Income to Common,125.85,112.78,15.42,8.72,-9.32,-56.05,-166.19,-23.53,218.42,95.47,-8.31
Net Income Growth,9.95%,631.60%,76.74%,-,-,-,-,-,110.62%,1458.78%,-90.50%
Shares Outstanding (Basic),109,119,126,128,134,133,125,109,98,96,95
Shares Outstanding (Diluted),110,120,127,130,134,133,125,109,128,125,95
Shares Change (YoY),-10.60%,-5.83%,-2.24%,-2.54%,0.03%,6.65%,14.86%,-14.95%,2.61%,31.31%,-13.07%
EPS (Basic),1.15,0.95,0.12,0.07,-0.07,-0.42,-1.33,-0.22,2.23,0.99,-0.09
EPS (Diluted),1.14,0.94,0.12,0.07,-0.07,-0.42,-1.33,-0.22,1.82,0.89,-0.09
EPS Growth,22.73%,683.33%,76.46%,-,-,-,-,-,105.31%,-,-
Free Cash Flow,305.21,306.07,241.43,273.46,260.73,211.08,80.32,-127.68,-140.49,-180.49,-277.33
Free Cash Flow Per Share,2.76,2.56,1.90,2.10,1.95,1.58,0.64,-1.17,-1.10,-1.45,-2.92
Dividend Per Share,0.570,0.550,0.520,-,-,-,-,-,-,-,-
Dividend Growth,5.56%,5.77%,-,-,-,-,-,-,-,-,-
Gross Margin,71.30%,72.24%,71.53%,72.10%,75.52%,75.54%,74.10%,72.68%,72.14%,74.81%,75.42%
Operating Margin,27.07%,24.50%,15.07%,10.63%,7.54%,6.08%,1.81%,7.96%,30.82%,40.67%,39.10%
Profit Margin,14.44%,13.58%,1.95%,1.21%,-1.52%,-9.61%,-29.65%,-4.50%,48.75%,22.02%,-2.02%
Free Cash Flow Margin,35.01%,36.84%,30.53%,37.93%,42.43%,36.18%,14.33%,-24.41%,-31.36%,-41.62%,-67.42%
EBITDA,444.87,406.61,401.63,380.16,351.75,338.66,307.83,259.86,223.55,225.77,212.68
EBITDA Margin,51.03%,48.95%,50.79%,52.73%,57.24%,58.05%,54.93%,49.69%,49.90%,52.06%,51.70%
D&A For EBITDA,208.93,203.13,282.5,303.48,305.43,303.17,297.71,218.21,85.47,49.39,51.83
EBIT,235.95,203.48,119.13,76.68,46.31,35.48,10.12,41.65,138.09,176.37,160.84
EBIT Margin,27.07%,24.50%,15.07%,10.63%,7.54%,6.08%,1.81%,7.96%,30.82%,40.67%,39.10%
Effective Tax Rate,9.62%,9.80%,-,3.24%,-,-,-,-,-,37.68%,90.26%
Revenue as Reported,871.71,830.68,790.72,721.03,614.5,583.44,560.44,523.01,448.05,433.64,411.38
Advertising Expenses,-,1.3,1.4,1.7,-,1.2,0.9,0.4,0.3,0.5,0.5
