Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,255.61,419.6,36.17,78.83,127.56,88.63,Upgrade
Short-Term Investments,309.61,115.96,97.59,134.31,111.57,246.59,Upgrade
Cash & Short-Term Investments,565.21,535.55,133.76,213.14,239.13,335.22,Upgrade
Cash Growth,8.27%,300.37%,-37.24%,-10.87%,-28.66%,138.50%,Upgrade
Receivables,76.16,79.94,61.48,49.92,46.43,29.93,Upgrade
Inventory,19.56,14.04,13.97,15.16,10.27,5.31,Upgrade
Prepaid Expenses,19.11,16.29,21.59,10.56,9.69,7.36,Upgrade
Total Current Assets,680.04,645.82,230.81,288.77,305.52,377.83,Upgrade
"Property, Plant & Equipment",192.62,172.66,153.43,136.34,140.53,118.96,Upgrade
Long-Term Investments,68.09,61.9,3,-,-,-,Upgrade
Goodwill,0.86,0.86,0.86,0.86,0.86,0.86,Upgrade
Long-Term Deferred Charges,4.85,5.23,4.96,2.52,-,-,Upgrade
Other Long-Term Assets,48.76,44.98,40.08,19.73,16.05,14.09,Upgrade
Total Assets,995.21,931.45,433.14,448.22,462.97,511.74,Upgrade
Accounts Payable,8.28,7.22,5.54,7.52,10.51,4.37,Upgrade
Accrued Expenses,103.41,69.18,75.91,58.65,47.75,35.78,Upgrade
Current Portion of Long-Term Debt,-,-,-,-,11.67,11.67,Upgrade
Current Portion of Leases,16.53,15.87,15.16,13.03,11.14,8.17,Upgrade
Current Income Taxes Payable,2.36,4.01,2.88,2.39,0.75,-,Upgrade
Current Unearned Revenue,4.22,2.93,3.31,3.05,3.05,0.93,Upgrade
Other Current Liabilities,12.11,11.71,4.58,4.46,2.99,4.76,Upgrade
Total Current Liabilities,146.91,110.92,107.37,89.1,87.85,65.67,Upgrade
Long-Term Debt,648.75,646.44,34.95,34.94,9.69,21.34,Upgrade
Long-Term Leases,67.73,74.6,79.72,83.07,85.21,81.29,Upgrade
Other Long-Term Liabilities,9.93,8.58,1.01,1.31,0.7,1.83,Upgrade
Total Liabilities,873.32,840.54,223.05,208.41,183.45,170.13,Upgrade
Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Additional Paid-In Capital,955.6,874.61,855.78,762.38,685.59,646.26,Upgrade
Retained Earnings,-809.03,-758.9,-645.61,-522.2,-406.05,-304.68,Upgrade
Treasury Stock,-25,-25,-,-,-,-,Upgrade
Comprehensive Income & Other,0.29,0.17,-0.11,-0.4,-0.06,0.01,Upgrade
Total Common Equity,121.89,90.91,210.1,239.81,279.52,341.61,Upgrade
Shareholders' Equity,121.89,90.91,210.1,239.81,279.52,341.61,Upgrade
Total Liabilities & Equity,995.21,931.45,433.14,448.22,462.97,511.74,Upgrade
Total Debt,733.01,736.91,129.82,131.04,117.71,122.47,Upgrade
Net Cash (Debt),-167.8,-201.36,3.94,82.11,121.42,212.75,Upgrade
Net Cash Growth,-,-,-95.20%,-32.38%,-42.93%,1679.42%,Upgrade
Net Cash Per Share,-5.28,-6.45,0.13,2.74,4.14,7.67,Upgrade
Filing Date Shares Outstanding,32.22,31.41,30.98,30.22,29.51,29.16,Upgrade
Total Common Shares Outstanding,32.21,31.39,30.95,30.19,29.49,29.02,Upgrade
Working Capital,533.13,534.9,123.44,199.68,217.67,312.16,Upgrade
Book Value Per Share,3.78,2.90,6.79,7.94,9.48,11.77,Upgrade
Tangible Book Value,121.03,90.05,209.24,238.95,278.65,340.75,Upgrade
Tangible Book Value Per Share,3.76,2.87,6.76,7.91,9.45,11.74,Upgrade
Machinery,26.04,18.1,13.93,11.35,9.64,10.47,Upgrade
Construction In Progress,6.75,10.64,10.12,3.45,1.95,-,Upgrade
Leasehold Improvements,28.96,27.12,24.89,23.14,20.4,9.22,Upgrade
